0	2	2	2	2	3	3	2	1	1	2	2	1	3	2	2	2	2	3	1	2	1	1	2	4	4	1	1	3	3	1	3	1	3	2	2	3	2	2	1	1	3	4	1	2	3	3	2	2	2	2	1	2	1	2	1	1	3	2	2	1	4	1	2	2	3	3	2	2	2	1	2	4	3	1	3	1	2	4	5	2	2	3	2	4	1	1	2	1	3	2	1	2	2	1	2	1	2	2	2	3
5	7	8	19	12	25	21	7	9	12	18	15	3	7	4	4	8	6	12	7	7	14	9	13	8	14	12	6	10	12	2	6	14	20	14	19	8	17	11	11	8	15	11	2	7	9	15	13	7	5	18	11	11	3	6	1	6	9	16	10	9	9	16	9	15	11	5	7	9	3	16	16	12	2	10	18	1	7	18	26	5	21	15	6	9	7	3	21	6	7	3	3	11	9	14	11	NA	4	17	2	8
10	24	7	16	9	10	8	11	8	13	21	13	6	14	6	7	8	6	7	10	15	14	6	10	11	9	17	11	18	9	8	8	5	4	15	15	11	16	16	16	9	10	21	3	9	16	7	6	6	12	9	10	16	17	14	NA	9	8	5	20	10	9	8	19	13	6	9	11	16	12	9	11	9	11	21	9	7	5	11	14	6	17	14	4	10	8	8	14	8	11	12	18	11	4	16	10	NA	13	12	6	4
15	31	19	11	6	21	8	10	3	11	28	10	13	19	5	6	12	9	9	7	12	6	12	8	11	19	15	11	7	10	4	12	5	7	17	8	7	35	17	13	16	8	17	10	10	18	11	5	16	8	16	19	12	20	10	NA	15	19	9	13	8	6	7	12	15	5	13	13	13	23	10	15	4	7	13	8	13	6	13	18	5	18	9	4	16	8	10	8	11	14	9	13	10	6	27	5	NA	7	21	14	16
20	22	8	14	26	15	15	15	6	12	13	15	8	19	22	5	8	19	6	18	10	7	8	26	12	7	16	18	13	23	7	20	15	16	15	9	19	19	13	12	20	11	14	6	13	8	10	7	8	9	12	14	17	18	12	NA	6	26	12	25	11	9	10	12	13	6	7	17	11	12	15	22	11	26	11	8	10	5	18	7	5	11	15	11	8	12	17	11	17	15	4	19	15	8	13	10	NA	12	12	11	15
25	15	14	17	18	30	15	19	7	17	12	20	15	8	14	13	12	16	11	15	17	11	18	21	12	7	17	23	10	16	2	10	7	12	13	16	13	16	13	16	15	13	10	15	14	9	13	NA	13	21	13	12	14	16	13	NA	14	12	16	22	10	19	14	14	18	19	16	18	13	10	20	22	7	15	11	11	12	6	16	14	23	14	19	12	17	14	23	11	18	15	12	14	18	10	14	12	NA	10	16	18	8
30	16	15	13	12	14	27	18	12	12	28	24	11	10	13	14	16	20	8	20	18	13	15	24	13	11	22	15	7	36	8	17	8	21	18	23	11	21	19	14	11	9	11	23	10	18	14	NA	7	23	20	19	12	15	21	NA	14	23	18	28	8	9	9	14	17	11	9	12	24	12	15	18	7	15	14	19	13	22	17	19	25	13	26	15	27	31	10	7	18	11	15	14	26	11	29	20	NA	7	19	11	10
35	19	18	20	22	18	20	16	25	13	13	24	14	13	17	11	9	24	7	19	36	24	10	24	10	15	16	18	7	24	4	14	11	20	12	13	12	29	20	13	15	16	15	17	25	12	16	NA	9	11	22	18	20	21	32	NA	13	16	18	25	22	10	22	14	25	10	24	11	19	14	12	22	12	24	15	15	24	12	15	25	17	9	20	12	14	19	15	8	20	40	11	13	24	7	16	16	NA	11	24	11	15
40	18	22	20	22	24	20	13	21	18	16	19	16	23	20	15	13	15	15	29	27	18	14	30	20	12	36	27	13	17	8	16	15	17	23	25	17	19	16	23	15	20	24	18	22	18	7	NA	13	15	18	23	27	33	40	NA	15	15	31	25	8	20	13	17	28	13	17	15	14	11	26	26	5	26	24	28	14	18	32	23	16	30	19	12	18	29	16	12	20	17	6	20	23	15	16	20	NA	9	15	13	22
45	30	24	23	28	20	18	27	35	18	19	15	31	25	24	14	14	23	10	20	18	32	12	23	17	13	21	21	13	18	10	12	13	26	24	20	16	13	20	22	26	27	24	15	29	19	10	NA	12	22	23	25	23	23	20	NA	10	24	14	24	9	13	26	25	26	23	15	24	19	13	18	21	12	21	24	37	25	16	27	30	21	21	19	14	24	18	14	18	38	22	8	27	20	14	17	11	NA	16	37	19	14
