0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	1	3	3	8	2	3	2	3	1	2	2	1	1	5	1	3	2	1	1	5	2	1	1	1	2	1	1	2	2	2	3	2	3	1	2	2	3	3	1	1	1	2	3	1	1	1	2	3	2	2	3	4	1	1	1	1	2	2	3	2	4	1	3	4	2	3	3	1	1	1	1	1	1	2	1	1	4	2	2	4	2	3	4	4	2	2	1	2	1	1	2	2	2	2	1	2	2	1	1	1
10	10	8	5	8	8	10	8	10	10	8	7	8	8	15	8	2	9	7	10	5	9	4	3	7	4	1	6	5	6	6	4	10	4	6	2	8	9	9	8	8	7	9	8	10	6	4	4	6	9	6	9	18	9	1	5	5	9	15	3	4	14	12	14	5	5	11	3	9	11	10	10	6	5	6	13	7	5	4	10	10	7	5	7	6	10	5	8	8	8	14	4	10	6	9	15	6	6	8	12	3
15	14	21	6	22	27	26	15	18	18	10	15	24	13	28	27	20	24	18	8	11	12	13	6	22	8	13	12	7	10	14	10	12	8	22	16	17	13	14	10	38	22	11	8	6	17	14	9	23	23	8	6	36	11	14	8	12	14	14	13	22	24	29	44	12	11	21	9	17	11	23	15	18	19	16	25	14	21	7	21	13	11	12	23	19	8	15	6	24	21	30	13	24	23	11	30	10	9	17	18	9
20	30	28	17	41	42	29	39	31	56	21	29	51	15	57	75	34	56	34	21	29	34	23	9	35	25	26	25	26	17	52	50	23	19	50	34	27	35	17	12	94	53	32	18	7	29	19	11	35	47	17	15	72	18	28	10	32	29	44	32	22	51	64	88	31	25	44	28	25	39	53	33	32	61	37	53	31	26	19	35	24	31	33	43	30	20	11	20	41	35	54	42	51	49	29	43	36	16	25	31	30
25	66	68	47	78	75	57	62	41	86	47	55	120	39	113	149	64	119	72	45	75	52	28	12	69	36	50	48	50	21	98	95	36	35	105	57	48	81	24	30	174	99	65	41	27	42	30	30	74	121	39	31	117	38	77	20	60	43	79	53	48	100	139	166	55	54	92	58	62	90	70	79	70	97	71	101	54	49	40	64	74	34	51	78	61	47	31	54	71	52	99	47	107	88	43	86	89	26	51	75	61
30	147	140	125	160	154	88	122	79	182	111	99	252	99	239	267	130	238	159	95	166	124	40	26	137	106	140	63	89	44	247	188	102	70	235	123	96	124	45	51	373	192	166	67	35	87	49	40	137	240	79	26	235	60	150	41	92	122	141	73	84	195	261	297	102	108	188	103	106	166	146	157	134	235	143	153	120	85	77	122	103	73	118	154	127	100	64	89	153	88	206	123	174	142	80	182	188	80	112	103	115
35	253	234	276	303	312	161	248	171	403	231	179	441	188	401	523	310	485	299	151	308	242	102	75	285	188	230	106	161	70	450	361	185	126	354	211	182	290	72	113	685	375	372	129	84	144	85	83	329	393	135	60	425	97	276	59	189	222	272	154	106	361	531	580	199	211	308	169	223	295	330	316	212	390	244	343	233	173	126	283	195	165	240	251	240	205	130	152	268	144	430	245	346	253	129	352	370	129	206	185	221
40	485	477	481	614	601	306	524	320	783	417	387	776	380	701	887	606	844	568	283	588	426	198	137	506	417	465	208	305	129	852	649	347	237	649	396	345	511	141	201	1194	717	628	194	152	280	166	128	685	785	221	111	689	231	465	99	362	376	504	275	233	663	985	955	430	404	589	317	421	538	623	578	388	717	455	652	480	220	233	587	348	329	461	516	458	365	265	311	539	287	808	472	622	483	248	590	686	279	431	290	424
45	874	707	911	966	1101	611	901	635	1313	764	607	1381	671	1244	1453	1039	1427	982	518	1021	821	340	244	938	800	754	407	586	276	1408	1225	593	485	1082	676	625	917	274	400	1991	1283	1172	373	249	528	300	260	1148	1415	426	207	1177	388	839	175	663	712	951	510	401	1199	1722	1615	673	769	1015	543	728	876	1109	1113	681	1342	787	1100	828	434	461	979	658	591	816	866	829	750	543	564	910	523	1434	843	1094	940	484	1074	1107	530	778	588	843
