0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	1	1	NA	3	1	NA	2	1	NA	1	2	1	1	3	2	1	2	2	1	2	2	1	1	2	1	2	1	1	2	1	1	1	2	1	1	1	1	1	2	1	3	2	2	3	0	1	1	2	1	1	1	3	3	1	2	1	3	1	3	2	2	1	1	2	2	1	2	2	2	2	1	1	4	1	1	1	1	1	1	1	1	2	4	2	NA	1	3	1	1	2	1	1	1	1	2	1	1	1	2	1
10	4	3	NA	1	2	NA	5	3	NA	6	3	6	3	4	4	NA	2	5	5	3	3	4	2	3	2	2	4	2	3	5	2	1	4	2	7	2	2	3	2	4	3	3	2	2	NA	2	2	5	2	3	2	5	4	5	7	3	6	2	4	3	3	3	3	4	2	2	4	6	5	1	1	6	5	2	9	2	4	2	1	3	NA	12	4	3	NA	3	7	1	2	4	6	2	3	1	1	4	5	4	2	1
15	4	7	NA	3	2	NA	9	3	NA	3	2	6	4	5	9	NA	5	9	10	2	4	8	2	4	2	1	9	5	3	4	6	1	1	9	8	3	4	3	3	4	4	2	1	2	NA	7	4	1	2	3	6	10	3	4	7	2	6	5	8	2	4	7	7	10	5	2	8	9	7	3	1	4	4	4	5	3	4	8	2	6	NA	8	6	5	NA	6	6	1	1	7	2	2	3	5	2	8	5	5	4	5
20	8	10	NA	3	5	NA	10	8	NA	7	3	10	7	7	11	NA	5	10	12	5	12	9	NA	10	4	3	5	4	5	9	5	1	1	12	5	3	4	1	2	5	5	3	0	7	NA	8	6	3	5	1	7	14	5	7	2	1	12	7	9	4	4	10	16	9	4	8	4	7	9	5	2	4	8	8	9	3	5	5	3	7	NA	6	9	5	NA	9	6	1	2	8	5	6	3	3	3	11	5	6	5	5
25	7	12	NA	3	5	NA	10	10	NA	7	3	12	14	10	16	NA	3	11	14	7	9	11	NA	8	4	2	10	4	8	10	4	2	1	22	6	4	5	2	2	5	6	2	NA	10	NA	8	4	4	6	7	5	16	11	13	4	2	9	8	9	6	5	6	13	9	12	7	6	6	11	3	4	5	11	10	16	5	6	11	3	11	NA	11	9	2	NA	16	9	1	3	9	7	6	4	1	5	16	9	5	5	4
30	11	16	NA	NA	5	NA	10	6	NA	13	2	17	28	9	17	NA	4	12	19	10	7	9	NA	12	3	4	7	9	10	23	9	4	NA	26	13	6	13	NA	3	NA	2	9	NA	12	NA	9	4	6	7	9	4	19	18	12	5	1	9	9	7	8	11	7	14	6	14	9	8	7	17	9	3	10	10	10	17	7	6	18	3	7	NA	14	7	1	NA	13	16	4	4	10	12	9	11	2	14	12	11	6	3	7
35	13	19	NA	NA	8	NA	8	11	NA	20	1	25	30	13	20	NA	5	7	33	8	4	4	NA	17	6	5	8	10	15	15	10	8	NA	32	18	3	12	NA	2	NA	6	7	NA	16	NA	12	3	4	9	12	6	22	21	17	9	2	14	6	16	11	13	14	13	5	19	11	10	7	19	8	4	14	11	14	16	12	5	21	4	3	NA	19	10	3	NA	26	21	3	3	6	17	7	14	3	14	16	14	11	11	10
40	13	16	NA	NA	7	NA	16	10	NA	16	4	25	32	15	24	NA	16	12	31	12	7	4	NA	26	5	7	8	12	18	18	11	17	NA	30	17	1	12	NA	5	NA	4	8	NA	22	NA	14	4	4	10	12	6	26	27	18	8	3	15	8	19	14	16	16	21	12	19	10	8	9	21	11	4	16	12	20	18	10	8	22	1	4	NA	22	11	3	NA	27	30	4	1	7	23	15	12	8	12	16	17	13	6	17
45	20	28	NA	NA	10	NA	30	12	NA	18	10	23	49	14	29	NA	13	16	37	14	8	4	NA	24	4	11	8	8	17	19	13	12	NA	29	30	NA	17	NA	4	NA	9	13	NA	17	NA	21	7	5	10	12	11	29	30	27	7	6	21	9	27	19	16	21	19	19	11	7	6	9	30	14	6	17	7	26	29	13	9	37	NA	7	NA	27	16	7	NA	32	31	2	1	13	26	17	14	7	19	24	24	16	5	19
50	29	28	NA	NA	7	NA	31	16	NA	21	12	22	46	13	33	NA	16	11	39	19	9	2	NA	30	2	20	9	6	14	23	7	20	NA	42	39	NA	20	NA	5	NA	14	14	NA	26	NA	30	8	5	13	10	12	30	27	35	8	8	22	11	18	27	22	24	24	19	22	14	4	10	49	24	6	22	10	38	32	8	14	62	NA	5	NA	31	11	7	NA	45	38	3	1	19	27	17	12	7	21	25	21	16	11	25
55	29	41	NA	NA	8	NA	24	16	NA	21	20	18	67	19	37	NA	22	18	53	23	13	2	NA	36	5	18	18	8	16	29	9	34	NA	46	53	NA	28	NA	4	NA	12	14	NA	33	NA	27	4	3	13	7	21	25	40	42	7	11	20	18	34	27	24	19	38	16	23	15	5	10	64	25	4	42	13	38	36	13	15	61	NA	5	NA	29	15	16	NA	61	46	5	1	20	31	20	12	6	27	16	27	28	11	36
60	43	43	NA	NA	10	NA	33	20	NA	20	17	16	68	28	57	NA	21	22	58	21	18	5	NA	50	4	23	23	7	18	48	13	29	NA	49	58	NA	32	NA	6	NA	16	20	NA	25	NA	31	2	5	12	6	27	27	52	51	11	16	28	27	30	36	27	29	32	20	27	33	14	6	53	32	4	46	11	56	31	21	24	70	NA	4	NA	37	15	17	NA	77	44	5	1	21	46	30	18	6	37	26	33	38	8	45
65	50	44	NA	NA	12	NA	27	17	NA	30	21	17	86	29	70	NA	29	33	86	13	22	12	NA	53	5	30	20	12	18	62	20	43	NA	53	71	NA	39	NA	8	NA	18	23	NA	36	NA	31	3	5	15	7	25	24	58	68	10	14	32	28	38	35	30	27	47	28	46	38	14	6	70	47	6	52	21	56	40	28	27	84	NA	5	NA	54	16	19	NA	83	57	8	2	30	63	30	23	11	36	45	51	61	12	55
70	61	58	NA	NA	17	NA	39	12	NA	30	24	19	106	41	78	NA	25	35	90	15	19	20	NA	64	8	38	26	10	20	60	22	59	NA	55	76	NA	49	NA	9	NA	26	33	NA	40	NA	40	6	10	24	8	24	40	56	88	12	17	40	28	40	44	32	36	47	31	51	48	15	9	93	54	7	59	16	69	43	26	27	99	NA	3	NA	54	22	28	NA	93	68	6	3	40	69	41	29	16	43	44	58	81	15	71
75	75	62	NA	NA	23	NA	38	13	NA	33	29	23	137	45	99	NA	34	46	98	26	27	17	NA	72	6	52	26	13	29	72	27	73	NA	59	99	NA	54	NA	2	NA	27	42	NA	52	NA	26	6	15	27	7	30	50	52	93	16	22	49	24	38	50	46	38	53	38	70	70	18	12	100	65	4	72	15	72	46	25	24	108	NA	6	NA	76	26	32	NA	108	92	4	6	32	52	54	38	15	51	39	62	105	13	88
80	101	66	NA	NA	26	NA	42	20	NA	29	42	20	170	47	82	NA	45	58	100	31	39	19	NA	83	7	61	35	15	25	74	33	94	NA	63	132	NA	49	NA	5	NA	26	47	NA	74	NA	32	13	22	36	13	32	55	59	109	23	38	72	32	52	66	58	40	68	45	87	78	26	13	122	88	5	94	17	73	46	33	31	116	NA	6	NA	81	24	39	NA	148	114	8	4	28	86	64	47	8	63	42	62	124	12	118
85	109	82	NA	NA	30	NA	46	21	NA	35	54	26	211	55	91	NA	42	71	127	25	40	22	NA	105	8	82	36	20	29	87	37	116	NA	83	153	NA	84	NA	6	NA	34	48	NA	71	NA	43	18	22	43	15	48	63	76	132	24	39	82	37	63	93	84	50	74	44	128	84	30	16	149	102	2	104	18	87	46	49	34	154	NA	5	NA	83	37	36	NA	166	112	10	10	37	96	93	55	15	67	37	77	148	10	135
90	141	112	NA	NA	33	NA	55	31	NA	40	65	24	244	67	133	NA	52	81	148	35	44	29	NA	113	12	95	47	28	36	91	39	145	NA	100	190	NA	99	NA	7	NA	29	53	NA	89	NA	43	15	29	52	16	76	80	104	149	28	41	102	37	63	107	111	64	84	64	171	94	38	16	170	114	2	92	15	99	44	54	39	210	NA	4	NA	134	43	47	NA	206	151	15	13	50	127	100	62	14	91	38	95	160	15	159
95	183	122	NA	NA	32	NA	59	43	NA	50	66	29	259	83	139	NA	64	91	158	43	53	30	NA	114	17	110	71	32	42	108	58	195	NA	124	208	NA	103	NA	16	NA	36	66	NA	109	NA	60	26	31	62	21	72	92	147	158	28	56	106	52	73	125	112	60	84	67	193	114	54	18	183	150	3	146	16	108	55	78	55	235	NA	5	NA	167	54	78	NA	237	182	14	15	63	130	123	62	20	105	49	122	222	12	192
100	223	174	NA	NA	43	NA	79	38	NA	53	75	32	333	98	170	NA	88	93	169	42	60	42	NA	140	17	127	78	43	41	127	64	223	NA	170	251	NA	134	NA	18	NA	52	87	NA	119	NA	71	28	36	72	23	84	119	162	198	33	51	126	53	76	133	149	64	100	77	210	132	65	17	231	166	4	130	21	111	69	92	62	275	NA	11	NA	190	61	102	NA	260	219	11	22	88	164	134	77	28	112	55	149	257	19	225
105	253	184	NA	NA	40	NA	85	62	NA	50	87	39	361	117	235	NA	107	105	243	44	61	42	NA	162	22	143	86	44	36	145	80	303	NA	212	259	NA	163	NA	25	NA	47	105	NA	165	NA	74	32	47	87	26	107	117	191	209	31	84	140	67	100	125	175	86	112	83	243	159	70	24	253	198	7	172	31	116	66	81	73	333	NA	5	NA	205	57	113	NA	322	251	12	17	95	180	157	89	31	125	60	172	323	35	275
110	299	201	NA	NA	44	NA	99	74	NA	47	103	47	411	120	274	NA	98	128	256	56	73	53	NA	170	18	159	89	40	45	189	105	347	NA	212	316	NA	175	NA	28	NA	61	137	NA	186	NA	68	42	52	109	32	112	139	218	262	42	112	178	82	128	143	188	95	123	89	307	204	98	39	282	205	6	187	28	112	84	124	93	394	NA	10	NA	253	78	120	NA	390	296	10	24	120	223	177	126	33	144	77	203	395	35	296
115	348	238	NA	NA	44	NA	118	95	NA	61	106	46	471	150	300	NA	117	163	310	69	88	68	NA	199	21	197	98	50	54	229	118	394	NA	263	385	NA	182	NA	33	NA	67	163	NA	213	NA	77	46	64	149	23	151	150	265	313	50	123	190	88	156	168	217	125	133	107	317	223	97	38	329	256	3	226	38	143	90	134	100	463	NA	14	NA	300	75	122	NA	443	341	12	33	126	247	232	150	39	175	93	219	398	32	360
120	405	268	NA	NA	37	NA	133	101	NA	77	112	43	517	150	346	NA	139	180	362	91	98	85	NA	227	29	219	127	60	57	253	143	452	NA	286	443	NA	251	NA	40	NA	94	188	NA	241	NA	111	54	80	183	28	165	173	293	384	66	161	215	102	176	191	250	152	168	122	383	263	121	47	383	256	3	264	38	164	113	147	132	530	NA	17	NA	384	123	148	NA	522	412	9	32	169	297	300	195	60	189	116	238	485	45	391
125	459	319	NA	NA	50	NA	170	120	NA	106	137	39	607	184	416	NA	165	186	406	101	82	126	NA	281	22	268	153	72	69	280	161	497	NA	328	515	NA	294	NA	46	NA	97	217	NA	289	NA	116	70	71	188	30	218	206	318	416	80	198	251	116	198	217	307	172	206	125	454	271	143	56	446	328	2	281	44	205	126	147	167	610	NA	21	NA	417	125	133	NA	558	478	10	35	185	350	377	233	72	244	121	310	545	47	404
130	504	333	NA	NA	62	NA	174	124	NA	127	163	47	714	204	488	NA	200	241	441	125	109	148	NA	307	29	300	160	96	73	354	186	533	NA	356	603	NA	326	NA	47	NA	129	269	NA	337	NA	157	63	75	221	38	266	243	356	474	83	242	292	128	240	237	380	198	239	133	506	315	174	80	500	404	4	337	47	221	159	191	169	681	NA	26	NA	485	145	147	NA	665	541	18	37	212	378	475	267	76	274	161	335	618	47	478
135	602	383	NA	NA	80	NA	196	130	NA	153	197	60	791	242	576	NA	245	255	556	152	115	184	NA	352	36	363	177	109	91	423	210	584	NA	395	658	NA	411	NA	49	NA	185	338	NA	373	NA	197	68	83	273	42	326	300	407	563	96	271	319	128	295	276	434	247	285	142	622	365	208	105	539	435	1	351	52	260	188	219	222	739	NA	31	NA	568	185	176	NA	778	595	20	37	244	415	536	323	85	321	179	398	694	51	532
140	653	458	NA	NA	88	NA	250	181	NA	176	246	74	852	301	637	NA	278	285	619	159	138	212	NA	397	42	357	188	116	110	491	255	638	NA	476	773	NA	457	NA	49	NA	200	402	NA	439	NA	248	78	85	340	62	347	370	442	657	115	314	371	152	368	297	490	298	322	185	695	427	249	119	611	482	3	405	58	281	235	246	238	940	NA	41	NA	655	238	224	NA	881	657	27	55	299	496	605	356	101	373	245	468	787	55	617
145	686	502	NA	NA	111	NA	308	206	NA	203	292	90	952	350	647	NA	320	346	702	201	168	244	NA	448	56	402	213	140	140	545	307	738	NA	533	893	NA	519	NA	61	NA	245	427	NA	510	NA	304	93	107	367	66	444	431	494	767	126	377	446	165	452	364	562	369	390	214	771	470	322	129	751	548	1	451	75	350	264	278	254	1019	NA	37	NA	790	316	251	NA	995	743	35	57	349	523	684	410	127	469	301	553	905	67	685
150	783	588	NA	NA	116	NA	366	268	NA	210	331	99	1060	443	786	NA	378	406	772	228	196	264	NA	529	66	477	262	174	148	640	356	804	NA	626	1000	NA	608	NA	75	NA	298	502	NA	590	NA	336	102	103	393	78	463	476	535	887	146	423	496	189	485	449	636	424	464	263	822	573	365	144	875	647	1	505	95	385	318	303	297	1156	NA	44	NA	856	367	282	NA	1044	850	52	55	415	643	824	460	127	517	334	625	1033	79	776
155	906	655	NA	NA	158	NA	425	331	NA	238	389	106	1169	521	859	NA	447	439	845	267	241	313	NA	615	78	542	313	190	162	676	338	948	NA	695	1061	NA	700	NA	88	NA	366	593	NA	645	NA	421	119	108	473	93	595	540	581	999	159	480	619	234	559	516	736	486	562	326	914	681	444	153	953	762	1	597	113	448	334	329	350	1230	NA	34	NA	967	472	319	NA	1168	954	57	66	455	748	890	527	150	583	404	706	1132	96	891
160	997	677	NA	NA	178	NA	509	438	NA	280	474	123	1227	573	881	NA	520	527	953	311	269	362	NA	671	92	632	354	200	192	802	414	1039	NA	814	1165	NA	769	NA	104	NA	425	616	NA	707	NA	459	129	134	536	117	669	586	648	1119	186	531	653	278	635	623	854	512	633	378	958	743	478	175	1081	819	4	717	131	502	409	396	411	1283	NA	38	NA	1003	538	388	NA	1262	1021	65	99	540	877	1002	624	198	650	455	825	1215	122	1013
165	1083	720	NA	NA	189	NA	586	523	NA	354	495	156	1344	665	1001	NA	568	575	1063	318	354	433	NA	741	114	770	395	244	230	822	433	1098	NA	937	1275	NA	846	NA	118	NA	462	717	NA	782	NA	576	154	139	634	126	762	645	719	1190	219	572	822	352	672	721	916	557	748	425	1064	852	554	206	1192	963	4	730	128	549	430	422	495	1390	NA	46	NA	1101	684	420	NA	1351	1091	60	95	622	963	1028	639	219	797	539	848	1346	144	1053
170	1171	814	NA	NA	229	NA	700	565	NA	387	632	187	1376	751	1028	NA	622	617	1084	389	358	512	NA	825	131	826	446	259	272	956	533	1142	NA	1053	1335	NA	936	NA	148	NA	539	828	NA	835	NA	633	189	177	722	163	820	728	828	1280	257	662	913	353	782	799	963	666	851	481	1173	926	603	228	1183	1092	7	852	176	659	477	529	581	1412	NA	40	NA	1252	747	507	NA	1419	1196	79	132	684	1070	1146	736	264	864	586	939	1396	156	1134
175	1219	901	NA	NA	267	NA	797	651	NA	453	695	228	1375	861	1092	NA	731	740	1183	450	400	603	NA	878	167	856	514	335	281	1024	618	1176	NA	1177	1387	NA	1062	NA	172	NA	610	891	NA	910	NA	715	235	212	817	196	932	812	968	1262	272	810	1025	423	884	863	1043	751	1001	536	1305	1004	706	246	1223	1178	15	951	184	722	521	582	618	1395	NA	62	NA	1259	850	542	NA	1550	1283	85	129	726	1164	1186	862	320	949	687	951	1398	178	1253
180	1334	909	NA	NA	281	NA	851	716	NA	515	771	264	1389	954	1193	NA	796	838	1230	471	477	677	NA	977	206	1024	571	415	356	1116	688	1281	NA	1215	1421	NA	1161	NA	186	NA	667	942	NA	1021	NA	792	291	236	868	231	1049	871	1047	1366	318	917	1131	518	992	909	1087	866	1044	585	1258	1099	795	293	1249	1234	19	1012	245	802	660	687	689	1406	NA	62	NA	1342	928	631	NA	1552	1399	100	158	803	1292	1240	929	388	1066	726	1059	1384	209	1354
185	1300	988	NA	NA	316	NA	980	767	NA	562	843	322	1397	1190	1187	NA	877	1000	1226	535	564	809	NA	1075	207	1095	626	475	424	1211	784	1300	NA	1287	1449	NA	1214	NA	202	NA	761	1060	NA	1100	NA	889	349	279	934	251	1108	902	1163	1410	390	1025	1230	548	1076	1047	1131	905	1123	630	1273	1218	840	322	1333	1272	23	1134	273	878	719	756	756	1398	NA	50	NA	1437	1006	703	NA	1539	1454	119	183	897	1352	1319	1050	423	1133	808	1061	1410	233	1382
190	1339	1047	NA	NA	393	NA	1028	905	NA	664	910	386	1344	1327	1253	NA	1026	1138	1288	591	644	917	NA	1141	221	1179	729	579	478	1251	917	1342	NA	1391	1398	NA	1310	NA	220	NA	833	1118	NA	1137	NA	1054	394	318	976	290	1175	1017	1203	1388	408	1117	1256	613	1153	1135	1141	985	1213	720	1300	1290	957	354	1343	1306	25	1218	346	946	770	838	795	1405	NA	67	NA	1460	1067	776	NA	1479	1451	134	222	1034	1389	1291	1123	461	1260	899	1168	1387	279	1406
195	1286	1115	NA	NA	462	NA	1049	1019	NA	719	974	478	1302	1369	1323	NA	1035	1261	1300	678	713	1002	NA	1275	266	1276	769	659	516	1287	1024	1346	NA	1442	1349	NA	1347	NA	265	NA	980	1193	NA	1182	NA	1083	450	360	1115	363	1225	1103	1244	1384	489	1261	1348	678	1269	1160	1205	1055	1272	855	1324	1299	1036	375	1354	1340	29	1254	380	1024	874	892	928	1303	NA	102	NA	1460	1196	842	NA	1351	1402	192	255	1093	1368	1333	1213	527	1254	993	1209	1330	301	1364
200	1346	1214	NA	NA	509	NA	1088	1120	NA	815	1099	547	1215	1421	1319	NA	1180	1280	1338	800	771	1096	NA	1298	334	1354	840	730	609	1319	1077	1335	NA	1428	1262	NA	1350	NA	298	NA	1014	1241	NA	1311	NA	1213	539	389	1228	412	1241	1145	1322	1359	544	1312	1409	761	1370	1247	1256	1133	1282	926	1347	1398	1042	456	1376	1409	38	1324	405	1094	974	1038	1039	1238	NA	119	NA	1466	1185	1021	NA	1315	1404	207	284	1145	1394	1260	1309	626	1283	1037	1211	1282	346	1310
205	1349	1243	NA	NA	559	NA	1186	1222	NA	970	1179	634	1144	1412	1289	NA	1254	1306	1328	864	886	1213	NA	1371	372	1450	915	787	662	1394	1143	1315	NA	1426	1160	NA	1407	NA	335	NA	1093	1316	NA	1339	NA	1284	627	467	1294	451	1251	1223	1315	1347	603	1375	1428	847	1405	1223	1348	1221	1322	993	1302	1400	1156	521	1334	1404	39	1353	470	1133	1008	1077	1123	1140	NA	127	NA	1383	1255	1080	NA	1120	1301	264	357	1248	1471	1322	1365	695	1259	1116	1282	1221	435	1203
210	1239	1328	NA	NA	674	NA	1274	1301	NA	1028	1223	752	1072	1485	1320	NA	1280	1373	1280	941	937	1270	NA	1347	414	1446	1013	872	789	1405	1198	1348	NA	1339	1048	NA	1462	NA	434	NA	1147	1368	NA	1421	NA	1372	718	536	1380	557	1359	1336	1295	1230	633	1399	1411	941	1465	1369	1294	1279	1345	1094	1304	1390	1233	568	1257	1387	39	1323	528	1170	1124	1192	1233	1005	NA	152	NA	1372	1288	1135	NA	1035	1248	307	410	1304	1375	1251	1449	813	1208	1187	1316	1139	507	1164
