0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	4	1	1	2	2
10	3	1	6	3	1	2	1	5	2	1	6	2	1	1	6	5	2	7	5	3	3	7	2	2	5	4	2	4	4	5	4	4	3	4	6	2	6	5	1	7	3	7	9	7	3	4	3	3	4	4	5	4	3	2	2	5	5	5	2	4	3	4	4	3	3	5	1	6	4	3	4	6	4	7	2	3	7	4	3	3	6	5	6	4	4	2	3	4	2	5	3	3	6	6	1	2	3	2	6	4
15	4	16	8	8	3	5	11	11	5	8	18	11	3	8	9	16	9	20	8	8	9	25	8	7	14	10	12	6	7	23	16	9	9	4	12	12	13	11	4	19	12	15	16	27	6	15	22	14	12	6	12	11	2	7	9	4	11	12	8	17	9	7	18	7	9	4	7	17	6	5	12	11	20	15	11	14	5	11	12	11	21	5	13	12	6	9	13	9	11	10	6	10	9	17	2	9	13	11	18	27
20	20	33	17	21	13	24	22	24	7	27	35	26	13	10	37	42	17	63	20	28	18	68	22	20	44	34	29	33	12	38	38	23	24	26	35	18	24	38	13	54	36	58	36	83	15	53	55	22	40	32	34	42	22	19	29	23	34	27	23	40	18	23	63	36	9	12	12	47	25	16	36	29	53	28	40	38	10	27	16	22	47	28	42	36	18	20	37	12	36	30	15	22	25	44	15	20	31	22	71	69
25	59	100	54	56	29	48	58	76	22	77	101	59	33	30	108	82	49	131	65	78	48	165	68	47	110	88	62	71	38	110	105	71	63	60	79	62	69	92	43	128	57	129	108	198	26	116	132	57	97	79	106	100	53	41	76	58	98	59	46	104	61	67	113	58	29	30	33	109	69	27	88	78	143	83	88	94	19	67	49	69	119	60	111	108	56	46	86	31	80	72	42	79	72	115	31	48	130	67	162	186
30	158	220	153	172	58	118	180	199	59	161	249	145	104	60	235	184	144	336	178	171	162	374	148	108	249	192	215	167	106	250	265	177	151	143	215	154	186	254	117	303	153	323	249	443	87	258	294	135	229	166	240	248	153	75	173	144	234	146	130	215	151	161	260	168	97	80	121	267	170	59	210	169	306	163	220	250	47	161	127	131	262	140	234	210	140	103	217	68	211	156	126	187	196	251	104	119	281	140	341	403
35	322	471	319	371	162	271	377	390	159	405	458	332	249	180	502	379	309	642	359	351	354	644	329	260	517	415	407	334	248	510	527	426	336	297	435	367	348	457	253	572	302	515	492	848	210	479	542	305	421	423	462	493	345	239	351	294	459	346	312	465	321	335	511	373	231	212	277	557	388	171	444	383	602	369	416	526	126	338	287	313	500	314	469	433	307	254	434	171	395	365	258	388	397	526	233	280	549	342	713	711
40	643	875	604	704	301	489	670	734	336	658	850	630	481	376	982	798	595	1245	697	687	657	1359	597	549	963	845	770	659	564	933	895	806	699	583	750	618	712	944	556	1118	593	1140	955	1527	438	978	1046	568	870	826	936	951	724	400	733	586	875	631	567	844	673	650	909	679	454	405	503	1122	642	339	853	731	1187	693	881	929	281	703	566	553	994	673	934	829	512	534	984	380	803	642	529	769	712	995	483	586	1098	610	1243	1437
45	1271	1628	1170	1328	623	972	1342	1423	633	1408	1685	1277	931	753	1850	1399	1131	1967	1336	1310	1346	2262	1187	1049	1699	1508	1585	1244	1023	1748	1697	1435	1420	1175	1515	1244	1446	1713	971	1918	1176	1862	1828	2131	823	1624	1942	1076	1541	1448	1701	1685	1292	831	1356	1133	1681	1159	1132	1780	1267	1309	1826	1415	933	847	993	1919	1303	625	1664	1512	1879	1345	1626	1642	515	1325	1017	1025	1856	1227	1710	1614	1046	991	1638	712	1517	1376	1083	1445	1367	1857	989	1037	1935	1301	2051	2033
50	2128	2304	2015	1967	1196	1977	2112	2038	1275	1924	2042	2015	1662	1435	2144	2131	1840	1710	2182	2054	2106	1392	1950	1962	2090	2136	2082	2049	1952	1992	1925	2068	2134	1995	2148	2080	2070	1995	1772	1761	2003	1777	2078	953	1692	1882	1863	1839	1890	2108	1933	1982	2068	1556	2020	2016	2111	2048	1995	2037	2083	2083	2013	2063	1663	1629	1849	1832	2215	1246	2160	2221	1636	2044	2113	2046	1009	1955	1990	1984	1902	2011	2077	2067	1767	1818	2025	1299	2199	2024	1969	2099	2015	1957	1732	1840	1987	2073	1600	1286
55	1516	799	1605	1481	1952	1945	1392	1334	2138	1435	746	1623	1956	2052	573	1316	1799	351	1379	1383	1394	177	1697	1964	643	1033	1100	1491	1944	670	722	1183	1325	1728	982	1475	1286	785	2001	479	1574	490	706	90	1955	833	585	1701	990	1019	764	670	1452	2151	1472	1847	838	1579	1762	767	1443	1450	665	1371	1927	2108	1942	495	1394	2021	854	1118	417	1372	978	674	1848	1466	1858	1766	565	1604	763	913	1922	1972	819	2062	990	1452	1818	1233	1294	628	1960	1954	418	1565	183	180
60	288	59	380	243	1564	567	205	176	1560	219	80	305	901	1278	39	164	494	7	197	195	217	5	301	499	53	123	139	254	477	58	62	102	165	328	90	258	198	63	661	14	338	45	44	1	845	67	23	513	111	172	56	56	257	967	180	392	69	348	492	35	255	228	35	208	856	1037	527	38	161	1494	94	130	29	166	85	62	1838	290	497	489	19	293	49	87	579	588	86	1413	108	179	452	143	199	52	583	514	21	290	3	25
65	29	0	11	9	338	30	4	1	222	12	4	8	79	190	1	4	21	NA	2	5	4	NA	21	16	1	14	6	28	23	NA	NA	2	4	28	1	12	6	0	62	NA	9	NA	NA	NA	101	2	NA	23	5	2	NA	NA	13	85	5	22	0	16	20	NA	12	13	NA	3	63	116	23	0	8	222	0	2	NA	6	1	0	574	18	18	18	0	11	0	0	30	51	0	238	0	1	45	2	4	1	34	31	0	31	NA	NA
70	NA	NA	NA	NA	13	NA	NA	NA	14	NA	NA	NA	11	1	NA	NA	NA	NA	NA	0	NA	NA	2	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0	NA	NA	0	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	54	0	0	NA	NA	0	NA	NA	0	2	NA	5	NA	NA	4	NA	NA	NA	NA	NA	NA	3	NA	NA
