0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	2	1	1	1	2	1	1	1	2	1	2	1	2	1	1	2	1	1	1	1	2	1	3	2	2	1	1	1	2	2	NA	2	1	2	2	4	1	1	1	1	NA	1	1	1	1	1	1	3	1	1	3	3	1	1	1	NA	3	1	2	2	2	1	1	1	1	2	1	1	2	1	1	2	1	1	2	1	1	1	1	2	2	2	2	1	1	4	2	1	1	1	1	2	3	2	2	2	2	2	3	1
10	2	2	2	7	1	3	4	4	4	2	2	2	4	4	2	4	4	5	4	7	4	1	6	4	3	8	2	2	3	2	NA	4	6	5	3	4	4	3	1	2	NA	6	6	2	2	3	5	2	3	2	1	5	2	3	4	NA	2	2	4	4	2	3	1	2	2	6	2	3	4	2	2	1	2	2	4	3	3	4	3	4	3	1	5	2	2	6	4	6	1	4	2	3	3	3	5	4	4	6	5	1
15	9	2	2	6	3	5	9	7	2	5	2	3	10	9	6	2	6	7	5	8	4	4	8	7	8	6	4	7	3	9	NA	5	7	8	4	4	6	3	2	12	NA	4	6	7	5	7	11	4	8	4	6	12	5	5	9	NA	5	2	3	7	4	4	4	2	4	6	2	3	9	5	4	2	8	2	3	5	9	8	7	6	8	4	5	6	5	8	4	9	4	5	2	4	4	3	8	5	10	7	5	5
20	8	2	6	13	3	6	11	9	1	11	3	8	12	8	8	10	11	9	13	9	6	4	11	10	9	11	6	8	6	8	NA	10	18	11	4	8	14	6	3	7	NA	10	12	9	5	7	13	13	11	9	9	17	7	9	7	NA	7	2	9	12	10	14	7	4	5	11	6	4	15	12	4	3	9	6	4	10	12	11	6	11	8	4	5	10	10	11	9	16	8	7	1	14	6	6	12	4	14	10	8	4
25	8	2	12	15	9	12	10	18	NA	8	7	10	13	20	8	10	19	13	12	21	12	11	17	20	13	15	6	12	10	10	NA	10	27	27	8	12	22	9	4	14	NA	14	27	12	6	13	24	16	18	13	10	33	9	13	9	NA	9	6	10	18	13	21	7	6	12	15	7	8	21	17	9	6	8	7	6	8	12	12	21	17	19	6	9	17	23	19	9	24	10	15	4	12	11	15	15	13	27	19	10	6
30	14	11	11	27	18	14	10	25	NA	15	13	20	12	25	14	19	26	15	12	40	16	12	21	28	10	15	8	21	15	14	NA	14	39	26	15	17	33	19	4	14	NA	14	39	15	11	15	27	18	23	23	17	47	15	17	7	NA	14	5	11	20	25	34	8	9	13	18	3	12	30	25	17	11	14	13	15	15	13	20	24	23	25	12	17	23	29	21	9	34	11	13	6	26	10	18	30	14	34	24	25	8
35	25	8	20	19	18	24	16	35	NA	21	11	25	17	20	19	24	24	14	21	59	19	21	19	47	18	20	15	17	26	32	NA	19	71	36	14	13	52	41	4	23	NA	11	46	21	18	18	38	38	23	30	19	60	27	25	20	NA	22	8	13	34	26	38	15	11	17	25	10	9	44	39	16	10	27	16	12	17	21	18	35	29	40	8	16	36	36	34	14	54	14	21	7	29	20	23	44	21	52	40	46	11
40	29	27	22	41	30	44	20	40	NA	24	23	46	20	35	38	32	36	20	27	73	28	32	30	65	25	33	22	31	36	26	NA	33	107	39	14	21	66	63	9	27	NA	18	63	28	27	29	57	56	32	31	23	78	26	32	27	NA	33	14	24	45	38	55	19	18	29	36	22	13	58	56	24	25	33	29	24	15	20	35	46	41	46	13	17	45	34	49	12	61	22	25	10	43	31	26	61	19	78	56	64	15
45	50	21	38	46	40	51	34	55	NA	46	32	59	26	46	50	58	55	32	43	119	39	31	34	81	31	37	18	45	49	43	NA	38	137	57	23	39	98	80	7	44	NA	24	99	34	30	42	91	82	54	44	40	101	37	48	48	NA	41	17	25	61	64	75	18	17	33	43	32	21	69	72	38	19	44	52	16	18	41	48	74	53	71	21	38	65	62	70	16	102	21	42	16	58	41	38	98	42	114	52	89	22
