0	3	1	2	1	1	2	1	1	1	2	2	1	1	2	3	2	2	1	1	2	3	2	2	2	2	1	2	1	1	2	1	1	1	2	3	2	1	1	1	3	2	1	2	1	1	1	2	1	1	1	3	1	1	2	3	1	1	2	1	2	4	3	2	2	2	1	2	1	2	2	2	2	1	3	1	4	2	1	1	1	1	2	1	2	3	2	1	2	2	2	1	1	1	1	3	1	1	1	2	2
5	11	11	6	2	5	6	7	3	6	3	7	6	3	3	11	4	7	0	13	7	12	11	7	8	10	2	9	8	5	9	5	7	5	5	11	3	6	7	5	4	7	1	5	5	7	1	4	3	4	0	11	9	10	6	8	3	8	7	7	9	8	15	10	7	10	4	13	2	10	13	12	6	7	12	7	18	6	8	5	2	6	3	1	4	8	6	1	8	5	7	8	12	0	4	6	4	3	11	10	8
10	14	25	4	7	1	9	6	10	15	2	9	7	5	9	13	7	6	NA	17	11	19	23	10	7	14	7	6	14	9	15	12	6	6	8	9	2	5	6	10	3	9	3	8	7	9	1	21	2	8	NA	25	19	12	14	12	3	9	17	18	18	16	24	9	16	15	11	19	3	17	15	30	10	20	11	3	27	15	5	2	7	5	4	2	6	13	6	NA	12	10	9	5	16	NA	6	13	1	15	11	10	17
15	28	22	12	16	NA	33	14	14	30	5	28	7	5	12	9	11	6	NA	32	10	20	21	10	18	21	9	10	19	14	25	19	6	18	11	8	9	10	10	9	3	16	3	2	6	21	8	25	2	13	NA	27	26	10	25	15	9	17	22	23	20	26	26	10	29	10	27	17	9	19	18	45	13	25	10	6	20	15	7	NA	22	1	11	5	15	8	7	NA	17	12	10	4	6	NA	15	19	NA	18	21	3	20
20	35	26	20	26	NA	52	17	8	51	7	32	9	8	8	14	17	8	NA	51	14	32	28	14	23	22	10	17	27	31	27	26	12	21	20	7	10	17	15	11	9	20	2	NA	5	33	5	28	5	16	NA	39	20	19	29	15	8	30	18	23	22	20	22	12	31	9	30	12	15	18	18	53	36	22	14	8	35	16	9	NA	22	NA	9	2	13	1	8	NA	31	23	13	3	4	NA	17	32	NA	35	40	7	21
25	23	26	27	41	NA	59	20	15	42	15	38	15	12	9	32	18	15	NA	53	9	35	18	27	20	34	21	21	32	47	16	34	17	23	19	8	19	24	18	18	20	19	6	NA	18	43	8	29	7	20	NA	35	36	13	33	31	11	30	18	22	21	19	28	11	39	22	34	16	21	15	21	65	44	29	20	13	42	10	16	NA	39	NA	12	2	13	7	7	NA	31	35	19	1	1	NA	29	26	NA	52	40	5	20
30	28	44	42	37	NA	56	14	16	54	21	45	30	11	9	36	28	19	NA	56	9	33	28	52	18	62	20	34	44	45	11	55	20	22	25	10	18	37	20	16	19	22	10	NA	15	43	15	33	3	14	NA	32	48	23	52	35	11	20	23	34	20	25	45	13	51	24	50	23	15	16	29	62	38	39	22	19	42	11	14	NA	47	NA	19	3	29	15	15	NA	33	42	17	NA	1	NA	56	33	NA	54	46	7	20
35	34	45	56	54	NA	76	12	30	47	19	55	28	16	16	40	25	27	NA	66	11	38	43	62	17	48	13	35	50	48	13	30	21	28	39	11	17	38	16	29	24	26	17	NA	28	52	11	38	4	27	NA	33	74	21	52	57	22	25	49	40	20	32	49	19	51	28	69	40	21	29	34	67	28	34	22	22	56	17	16	NA	60	NA	28	10	29	12	22	NA	40	50	11	NA	0	NA	58	51	NA	38	49	11	26
40	34	40	69	93	NA	120	15	32	43	24	44	33	26	16	37	32	37	NA	67	11	47	48	65	18	58	28	33	45	71	18	35	22	29	49	13	31	43	19	36	33	28	27	NA	24	62	5	53	8	33	NA	38	71	28	67	88	20	34	40	43	33	53	40	44	57	32	101	43	24	43	47	52	24	25	20	11	73	30	12	NA	71	NA	29	22	35	5	37	NA	30	61	21	NA	NA	NA	76	58	NA	47	49	2	25
45	25	47	95	125	NA	150	14	31	43	19	43	30	29	26	54	38	43	NA	66	8	61	56	87	24	93	26	55	50	81	20	62	29	41	67	7	26	45	11	54	46	32	49	NA	25	78	9	73	14	40	NA	28	69	26	66	97	24	76	43	51	30	74	49	55	67	33	87	66	26	63	62	76	28	30	36	14	78	25	9	NA	68	NA	52	19	57	7	57	NA	50	73	21	NA	NA	NA	93	57	NA	60	75	3	42
