0	3	2	2	4	3	1	3	3	2	2	3	1	2	2	3	3	3	2	1	3	2	4	2	1	3	2	3	3	1	1	2	2	3	2	2	2	3	1	2	1	1	4	3	4	2	2	1	1	3	3	2	2	3	2	2	3	2	2	1	4	2	1	2	3	2	1	2	2	2	3	3	1	3	3	1	2	4	3	2	2	3	2	4	1	2	4	3	2	1	2	2	3	3	4	2	2	2	3	4	1
5	22	29	12	24	20	14	28	25	12	23	15	15	18	25	36	18	24	24	14	23	13	18	8	24	17	23	19	16	12	16	25	24	17	13	20	22	16	15	13	7	31	44	24	14	15	18	7	16	41	16	28	9	19	17	17	33	16	7	8	18	25	19	13	20	6	17	17	35	9	19	12	6	21	29	18	11	34	23	15	10	22	17	28	18	11	20	27	13	7	13	14	19	20	40	41	18	20	14	32	12
10	45	70	44	64	31	40	73	53	29	65	29	40	46	57	71	41	57	40	48	44	43	52	22	64	45	55	39	39	43	30	70	82	40	56	59	45	26	22	32	37	64	86	59	38	38	40	33	53	86	35	69	20	47	49	24	37	38	43	27	41	39	51	29	54	36	46	40	109	33	46	25	22	58	35	54	35	76	53	59	45	55	41	62	52	32	46	80	42	36	38	31	38	45	92	117	42	54	38	49	38
15	105	133	67	142	48	78	158	87	79	157	51	84	102	82	94	62	75	62	67	76	77	88	37	108	69	78	57	72	65	72	150	160	70	99	150	102	52	64	71	83	125	200	111	92	82	77	56	110	171	75	175	50	105	89	38	87	57	95	51	59	69	72	50	133	86	65	97	206	64	112	43	39	135	64	88	73	163	138	122	59	104	63	98	103	84	85	169	109	71	56	54	98	93	214	282	58	112	87	102	56
20	207	188	114	202	89	228	243	129	142	240	120	138	233	125	165	118	150	112	137	148	113	104	78	151	105	131	80	134	132	141	290	298	134	178	309	174	85	129	144	137	211	290	236	181	133	145	63	179	358	116	292	74	189	116	113	126	89	176	98	102	148	120	70	267	148	93	148	334	113	178	58	64	197	111	149	120	308	209	221	96	155	102	151	171	146	136	288	229	111	149	95	157	166	444	474	118	187	131	205	124
25	424	379	146	334	142	467	427	224	284	456	183	208	428	248	256	155	280	220	263	261	183	131	93	265	212	202	163	239	302	218	542	455	210	330	539	302	180	238	258	196	297	453	395	404	224	247	112	316	748	168	500	208	337	222	210	233	176	275	169	170	256	188	142	503	244	150	231	589	158	318	100	114	328	182	274	170	634	336	402	167	226	192	256	271	271	206	447	477	185	264	146	276	290	805	797	193	321	260	352	264
30	762	655	230	608	252	855	668	352	472	765	231	300	859	450	423	220	410	323	435	409	333	224	171	353	313	349	322	369	554	464	819	692	337	507	912	479	310	474	345	351	502	793	675	706	436	434	166	576	1429	265	880	392	555	402	305	324	327	442	271	394	460	378	254	886	474	207	410	944	271	561	181	143	539	316	524	322	1028	630	793	228	300	337	396	455	518	348	835	742	295	463	205	447	501	1361	1544	308	588	383	619	481
35	1200	1095	407	1051	337	1494	1123	617	797	1306	371	486	1628	830	741	410	797	602	766	688	532	343	272	594	496	677	612	565	924	763	1456	1146	570	922	1585	777	436	735	568	628	815	1230	1236	1137	739	747	228	987	2405	448	1546	649	892	621	559	487	517	794	521	819	800	706	423	1516	932	322	833	1481	484	1048	313	246	846	504	888	605	1830	1036	1526	342	511	583	736	705	899	594	1582	1322	453	874	328	715	938	2378	2723	535	966	651	1051	910
40	1884	1775	698	1854	567	2453	1980	1038	1442	2168	596	864	2789	1385	1228	733	1480	895	1456	1185	849	513	425	935	771	1185	1113	927	1826	1242	2388	1850	995	1596	2679	1231	684	1317	899	1180	1365	1861	2071	2021	1095	1224	340	1630	4221	762	2592	1075	1359	1079	957	780	870	1291	966	1621	1317	1328	801	2514	1718	596	1550	2528	849	1868	572	417	1505	811	1344	1103	2981	1723	2834	675	834	902	1281	1317	1443	1061	2522	2167	653	1490	555	1228	1617	3760	4393	910	1688	1174	1805	1447
45	2839	3031	1097	3226	1095	3987	3087	1738	2442	3739	938	1592	4777	2317	2233	1171	2383	1477	2646	2044	1545	920	703	1652	1385	2049	1958	1502	2949	1875	3963	2894	1494	2542	4377	2257	1089	2430	1537	1910	2097	3262	3479	3463	1778	1999	547	2777	6644	1232	4309	1870	2273	1993	1708	1320	1605	2174	1546	2643	2144	2317	1431	4201	3269	927	2797	4176	1471	3067	994	666	2516	1442	2253	1930	5023	2904	4702	1291	1534	1529	2184	2241	2367	1959	4213	3718	1111	2719	1011	2106	2723	6007	6876	1718	2948	1982	3098	2451
