0	1	1	1	2	1	1	1	2	1	1	1	1	3	2	2	1	2	2	2	2	1	2	2	1	1	1	2	2	1	1	3	2	3	2	2	1	1	2	2	1	1	2	2	1	1	1	2	1	2	1	1	2	1	1	2	2	2	1	2	2	2	1	2	1	1	2	2	1	1	1	1	1	3	1	1	1	3	2	2	1	4	1	2	4	1	2	3	1	3	2	1	2	2	2	4	2	2	2	2	3
5	11	12	6	12	10	1	NA	9	6	6	9	3	3	4	11	7	8	9	10	8	6	5	10	15	17	8	6	5	3	2	25	5	4	16	16	10	4	12	8	4	8	10	12	6	3	6	9	7	5	5	9	10	14	4	8	5	5	9	7	9	13	2	7	11	8	12	15	10	2	2	4	5	7	5	6	7	12	6	10	12	12	NA	13	9	2	12	6	4	13	4	14	15	10	16	12	7	8	3	7	9
10	13	18	18	27	24	NA	NA	9	20	12	14	6	5	13	15	22	20	27	11	22	15	15	19	23	30	19	16	4	8	2	35	25	9	19	26	28	7	22	17	14	12	15	24	15	3	11	25	6	10	6	19	14	41	12	13	11	9	13	16	32	25	9	24	22	14	22	34	18	3	6	20	16	18	10	11	14	20	16	10	26	18	NA	22	17	9	15	16	8	16	6	31	14	15	39	20	5	15	13	18	17
15	19	18	28	34	46	NA	NA	19	31	16	5	6	7	31	18	41	40	28	10	27	23	21	32	34	58	32	27	8	14	4	64	38	26	18	19	51	10	36	25	37	18	30	42	25	7	31	45	14	18	3	27	13	87	18	19	18	23	21	24	35	30	16	47	44	40	50	51	32	12	19	38	23	27	23	24	24	34	20	19	60	32	NA	39	36	18	19	35	20	29	22	37	24	20	56	32	7	17	34	40	39
20	35	44	43	59	63	NA	NA	33	62	27	9	9	9	43	54	89	53	39	34	51	37	30	34	46	83	42	38	19	12	8	88	60	35	31	43	77	15	54	25	47	29	46	52	38	12	36	73	27	19	13	47	14	136	23	31	33	38	36	31	51	56	26	73	70	71	78	64	30	22	32	75	27	48	20	38	24	67	41	35	101	60	NA	67	59	25	34	39	38	52	33	39	47	47	64	46	23	40	47	69	52
25	43	35	76	70	67	NA	NA	40	124	48	19	12	8	60	89	122	58	60	35	65	56	47	39	75	135	41	51	48	23	16	144	89	52	48	84	129	34	72	39	78	58	47	76	56	21	44	122	30	48	26	60	17	180	47	43	52	42	70	59	54	80	34	121	115	116	117	82	55	40	28	82	46	81	37	52	41	108	59	46	157	101	NA	105	100	28	62	63	48	79	49	41	68	69	70	56	28	51	59	140	95
30	53	40	123	90	76	NA	NA	44	152	66	47	14	15	120	116	184	84	91	51	93	57	75	45	76	195	59	64	78	38	33	194	111	79	80	104	182	53	68	42	92	78	62	134	89	46	43	158	33	42	47	91	19	262	74	75	66	71	81	83	103	130	49	154	186	150	161	114	86	52	52	115	61	110	57	92	61	179	102	77	245	129	NA	118	129	38	73	114	66	103	67	43	105	110	93	80	42	79	61	199	179
35	71	68	190	141	100	NA	NA	54	206	75	49	20	25	169	179	234	92	137	71	110	92	96	71	99	225	76	102	139	43	48	280	141	123	133	149	260	75	78	72	123	139	83	164	110	83	57	250	60	57	85	90	57	413	124	126	73	99	107	115	105	211	77	207	230	191	252	116	89	76	60	145	72	170	70	103	81	254	143	113	386	171	NA	120	150	43	71	143	60	133	89	60	154	155	111	141	67	124	99	242	216
40	80	108	221	244	126	NA	NA	65	260	89	74	26	18	243	234	404	127	180	110	104	167	136	107	111	298	90	128	206	67	68	400	204	162	189	232	387	94	110	87	145	178	132	215	154	129	106	357	78	86	141	139	74	603	172	187	93	152	155	188	164	292	104	277	354	272	387	133	143	102	104	168	89	279	94	127	135	296	198	156	524	277	NA	155	198	53	104	211	110	169	144	91	219	197	186	224	82	183	152	335	309
45	110	141	304	371	190	NA	NA	72	350	118	115	41	32	351	334	563	153	237	136	176	263	160	161	111	434	135	140	271	73	108	530	239	230	261	330	545	147	131	136	202	295	202	271	187	228	189	482	170	142	188	193	127	795	270	250	141	226	220	276	248	446	171	396	490	350	545	185	221	126	180	232	150	406	88	151	191	404	239	197	694	378	NA	230	314	64	108	311	158	255	226	129	359	281	273	295	117	252	229	458	435
50	140	256	449	515	267	NA	NA	103	426	161	158	69	55	517	443	761	215	299	207	280	305	219	206	176	600	186	169	356	91	158	671	326	296	346	384	744	156	196	164	258	417	263	377	273	302	280	723	254	180	293	217	196	1041	347	315	222	358	341	404	298	675	254	537	827	517	735	239	300	141	243	301	240	525	106	179	233	507	361	250	890	536	NA	317	399	126	122	465	220	352	301	132	562	357	359	466	151	335	331	559	567
55	217	319	553	639	394	NA	NA	143	551	215	176	88	77	714	637	1101	277	420	334	369	393	358	294	258	781	239	223	498	122	238	921	477	392	429	455	1013	245	284	208	309	491	329	540	349	402	406	1053	329	230	441	258	320	1410	429	478	201	472	537	504	447	907	322	756	1176	709	1051	308	425	219	349	386	300	755	156	223	329	740	535	345	1163	804	NA	469	520	166	149	666	314	436	431	240	791	463	431	680	257	530	484	804	698
60	358	459	735	816	567	NA	NA	215	768	271	241	127	76	1041	922	1466	347	559	492	462	541	520	352	379	1046	314	296	704	147	344	1307	651	531	607	585	1485	334	348	283	405	696	488	741	482	632	551	1401	499	270	534	319	438	1997	574	688	245	646	766	581	641	1309	437	1108	1643	900	1433	446	507	386	481	530	391	1050	172	281	427	995	709	486	1580	1179	NA	664	780	236	252	938	372	581	610	308	1150	672	490	946	379	727	677	1105	983
65	522	625	1028	1146	823	NA	NA	322	1135	360	309	144	83	1444	1274	1922	446	784	629	653	760	781	490	523	1364	496	377	1129	204	508	1719	900	751	847	791	2143	533	483	383	594	919	794	1037	638	876	774	1796	654	396	726	413	578	2734	766	938	346	791	1049	786	854	1770	644	1584	2173	1138	2070	560	674	506	666	762	530	1422	229	385	632	1194	1004	713	2123	1513	NA	931	1062	332	346	1265	563	759	891	390	1601	861	681	1307	508	908	920	1585	1436
70	736	852	1428	1607	1166	NA	NA	505	1476	517	431	169	118	1989	1654	2728	622	1151	911	988	1086	1051	623	689	1847	716	420	1574	300	675	2386	1197	1076	1120	1098	2998	751	627	464	837	1326	1056	1469	958	1278	1120	2498	982	532	926	527	758	3784	965	1365	511	1136	1348	1151	1188	2363	992	2239	2948	1472	2815	790	896	690	902	1058	766	1935	272	550	897	1629	1321	1023	2879	2150	NA	1272	1455	474	482	1697	847	1051	1173	556	1965	1168	899	1836	641	1205	1284	2095	1803
75	955	1143	2000	2283	1670	NA	NA	689	2118	793	588	272	171	2818	2242	3836	927	1509	1136	1351	1632	1501	805	873	2499	961	555	2106	435	923	3387	1517	1517	1611	1430	4085	1142	842	669	1131	1814	1264	2153	1460	1792	1443	3294	1305	687	1213	738	995	5181	1278	1863	617	1609	1788	1531	1787	3162	1384	3060	4071	1842	3704	1058	1215	985	1323	1430	1028	2791	325	830	1234	2332	1707	1370	4098	2900	NA	1702	1884	702	623	2293	1148	1494	1662	769	2690	1540	1201	2475	858	1524	1753	2913	2537
80	1285	1611	2780	3142	2215	NA	NA	1013	2582	1093	771	416	221	3942	2940	4904	1222	1863	1545	1998	2266	2047	1023	1112	3275	1319	800	2860	584	1340	4502	2069	2233	2236	1920	5399	1525	1125	943	1622	2526	1772	2921	2027	2409	1934	4404	1763	941	1613	949	1420	6675	1682	2504	784	2127	2452	2071	2467	4184	1736	4153	5391	2493	4782	1448	1667	1218	1880	1917	1271	3719	450	1205	1759	3222	2299	1962	5341	3885	NA	2241	2520	947	745	2916	1455	2059	2239	969	3645	1997	1632	3287	1239	2035	2416	4070	3405
85	1704	2183	3866	4246	2827	NA	NA	1353	3471	1493	1065	566	281	5328	3965	6508	1666	2572	1964	2662	2969	2788	1358	1520	4182	1781	1183	3810	764	1875	5860	2765	2915	2999	2539	7094	2062	1448	1239	2176	3508	2499	3915	2568	3158	2603	5633	2420	1240	2283	1320	1881	8585	2356	3273	1097	2751	3359	2692	3570	5370	2512	5650	7153	3325	6228	2062	2251	1718	2749	2695	1693	5189	579	1638	2465	4261	2984	2692	6922	5193	NA	3015	3381	1344	1091	3900	2075	2734	2983	1356	4902	2674	2203	4492	1826	2784	3415	5687	4566
90	2373	3039	5170	5590	3766	NA	NA	1906	4743	1972	1493	803	335	6704	5251	8579	2266	3512	2696	3540	3884	3762	1862	2065	5381	2457	1565	4856	1072	2482	7804	3735	3877	3902	3435	9256	2757	1935	1585	3024	4792	3493	5283	3575	4069	3673	7366	3283	1714	3311	1854	2579	10727	3156	4501	1365	3825	4519	3661	5021	6953	3407	7666	8965	4484	7931	2819	2993	2413	3901	3656	2433	7088	771	2229	3328	5736	4058	3422	8894	6885	NA	4053	4537	1952	1486	5166	2959	3637	4096	1801	6398	3499	2857	5912	2611	3732	4443	7414	6110
95	3181	4061	6898	7696	4955	NA	NA	2638	6206	2586	1831	1198	475	8387	7055	10807	3230	4666	3611	4811	5215	4698	2550	2741	7200	3311	2245	6509	1492	3302	10151	4932	5320	5169	4474	11637	3764	2528	2104	3850	6541	4572	6987	4691	5499	4891	9173	4315	2391	4465	2397	3519	13159	4433	6070	1788	4917	5757	5109	6759	9220	4678	9865	11205	5626	10103	3837	3810	3076	5277	4826	3051	8994	1037	2897	4257	7340	5017	4368	11296	8995	NA	5659	6037	2723	1965	6849	4038	4852	5621	2434	8338	4653	4004	7517	3537	4941	5874	9695	7804
100	4220	5375	9022	9763	6645	NA	NA	3558	7825	3475	2481	1655	583	10386	9190	13052	4342	5991	4957	6528	6765	5961	3188	3778	9058	4350	3091	8624	2093	4473	12432	6312	7151	6851	5902	13723	5027	3358	2886	5387	8414	6101	9062	5962	7175	6540	11163	5703	3164	6193	3255	4653	15333	5727	7800	2403	6457	7489	6545	8682	11479	6396	12425	13613	7233	12414	5116	4973	4176	6786	6400	3951	11436	1385	3814	5682	9558	6629	5601	13581	11383	NA	7606	7608	3694	2674	8872	5412	6329	7253	3277	10576	6198	5336	9357	5000	6344	7771	12013	10061
105	5585	7001	11288	11841	8381	NA	NA	4582	9766	4551	3443	2244	785	12735	11506	15439	6028	8095	6619	8313	8709	7897	4045	5054	11088	5646	4084	10872	2904	5923	14695	8110	9356	8547	7639	15423	6554	4361	3819	6742	10577	7811	11504	7467	9174	8448	13389	7247	4437	7786	4461	6337	17134	7431	9684	3348	8366	9731	8733	11142	13960	8248	14776	15235	9363	14683	6760	6585	5511	8901	8037	5080	13794	1795	5088	7449	12183	8500	7319	15722	14097	NA	9851	9616	5153	3701	11105	7167	8349	9310	4332	13066	7885	7197	11677	6637	8011	10097	14485	12499
110	7296	9020	14011	14082	10465	NA	NA	5918	12050	5917	4541	2915	1141	14882	13456	17240	7898	10644	8344	10709	10853	10044	5411	6746	13601	7336	5595	13387	4055	7604	16966	10203	11737	10855	9339	16865	8346	5667	5080	8534	13545	9878	13891	9761	11378	10858	15285	9271	5889	9616	5912	8095	18115	9284	11760	4462	10505	12247	10742	13333	16382	10488	16751	16664	11792	16467	8624	8654	7265	10772	9994	6541	16094	2285	6951	9855	14485	10889	9167	17388	16191	NA	12426	11707	7020	4797	13506	9278	10655	11689	5675	15420	9988	9342	13858	8668	10100	12347	16580	14853
115	9440	11075	16417	15574	12551	NA	NA	7774	14140	7606	5795	3841	1616	16821	15538	18444	9883	12859	10213	13178	13331	12170	6910	8476	15569	9251	7295	16031	5385	9460	18004	12682	14150	13246	11392	17032	10618	7451	6728	10322	16081	12357	15906	11941	13719	13254	16555	11808	7678	11974	7737	10256	17011	11525	13973	5863	12671	14582	13094	15695	18187	12956	17515	16855	13830	17390	10703	11166	9247	12920	12013	8427	17333	3269	9148	12667	16304	13368	11591	17588	17325	NA	14573	13876	9249	6279	15459	11688	13123	13959	7385	17171	12504	11816	15612	11294	12049	14533	17981	16686
120	12255	13602	18114	16984	14958	NA	NA	9918	15819	9820	7406	5084	2100	17226	17007	17664	12404	15193	12638	15351	15600	14539	9023	10460	16761	11411	9482	17648	7398	11778	17948	14990	16087	15659	13893	15978	12873	9453	8671	12398	17727	14747	17667	14312	15571	15582	17218	14158	9534	13984	9852	12197	14128	13904	15803	7618	14368	16363	15597	17172	18019	15203	17296	16036	15680	16965	13205	13573	11319	14819	14081	10795	17174	4451	11391	15062	17287	15482	13646	17059	17777	NA	16827	15768	11925	7966	16514	13610	15139	16214	9416	17937	14706	14059	16523	13713	14182	16713	17461	17140
125	15007	15470	18134	17416	16524	NA	NA	12493	16820	12097	9503	6708	2690	16838	17399	15239	14800	16932	14837	17084	17034	16146	10985	12943	17272	14004	11864	18033	9672	13889	15816	16525	17231	17282	16010	13963	15107	11962	10967	15112	18364	16523	17829	15904	16590	17361	16111	16169	11870	15886	12146	14568	11081	15801	16835	9594	15916	17229	17256	17822	16199	16696	15839	13845	16897	15297	15479	15722	13404	16634	16081	13201	16448	5792	13500	16788	16846	16753	15146	14210	16919	NA	17915	16610	14152	10107	16899	15524	16999	17409	11763	17186	16403	16164	16269	15771	16034	17483	15760	16729
130	16718	16883	16832	16128	17420	NA	NA	14823	16549	14523	11917	8539	3520	15146	16484	11652	16518	17584	16743	17870	17592	17081	13544	15357	16195	15929	14598	17368	11704	16226	12551	17012	17692	17640	17263	10981	16330	14477	13395	17262	16847	17355	16422	16784	17013	17896	13737	17437	13787	17129	14178	16390	8053	17195	16354	11563	16636	17181	17904	17284	13303	17480	13474	11110	17150	12256	17004	16725	15265	17499	17155	15271	13986	7454	15962	18141	15073	17515	16411	10471	14353	NA	17588	16705	16248	12435	16315	16662	17761	17404	14324	15024	17448	17309	14988	17323	17371	16859	13041	15343
135	17985	17234	14083	13705	17342	NA	NA	16559	15233	16558	14072	10692	4469	11929	14171	7670	17426	17581	17808	17318	16446	16775	15887	17209	14168	17195	16751	14495	14133	17468	8874	16645	16365	16463	16889	7660	16715	16807	15590	17739	15187	17049	13818	16585	16238	17290	10597	17747	15734	17191	16242	16888	5108	17434	15176	13706	16610	15451	17108	14834	10316	16874	9963	7849	15587	8748	17448	16985	16632	17041	17103	16435	10965	9621	17370	17649	12764	16749	16750	7195	11039	NA	15901	15580	17492	14493	14422	16900	16764	16130	16259	11544	17273	17611	13140	17969	16985	15262	9735	12758
