0	2	2	1	1	1	2	1	1	2	1	1	2	2	1	1	2	1	1	1	2	1	2	3	2	2	3	1	1	2	1	2	2	2	2	1	2	1	3	1	1	1	2	1	1	2	2	1	3	1	1	1	1	2	1	2	1	1	2	2	2	2	1	3	1	3	1	2	1	1	2	1	2	2	1	3	3	2	2	1	2	2	2	2	1	3	1	1	3	1	1	1	4	2	1	1	1	2	1	2	3
5	9	10	2	2	3	6	3	2	6	5	3	6	3	8	9	5	8	2	8	7	5	6	11	3	9	6	1	8	14	2	13	13	8	6	15	5	5	9	5	8	4	1	5	4	3	7	4	12	1	9	3	4	6	4	2	7	4	6	8	5	3	2	5	0	9	8	13	8	5	11	4	8	8	5	6	8	3	10	5	7	5	7	9	6	8	2	15	13	4	8	4	15	6	6	2	5	4	4	4	14
10	14	22	4	11	2	9	6	3	15	9	11	8	4	9	11	8	19	4	13	9	14	16	21	2	16	13	1	7	37	11	21	30	8	8	24	7	11	7	12	26	10	3	13	12	4	8	7	21	1	13	8	10	17	8	4	11	5	2	25	8	4	1	5	NA	15	8	20	11	12	28	7	15	18	20	11	23	20	12	13	6	6	3	21	12	9	3	28	15	10	14	13	24	10	17	5	10	5	10	6	26
15	13	29	10	21	6	16	5	1	25	11	11	17	1	15	12	15	22	6	25	9	20	19	36	2	29	18	8	22	45	17	26	38	15	12	15	9	23	18	19	46	18	1	17	17	NA	16	7	40	3	23	14	17	30	19	7	19	11	3	35	7	9	NA	6	NA	31	17	35	28	12	42	16	17	36	33	12	35	28	16	26	6	22	9	34	5	8	9	46	16	13	22	16	47	26	24	19	32	8	17	11	32
20	26	39	23	27	8	22	5	7	48	26	8	32	NA	19	25	17	25	11	49	15	26	27	63	5	53	19	10	29	63	17	25	29	19	21	26	14	30	22	17	63	23	NA	23	16	NA	23	9	46	9	38	18	21	35	33	22	44	17	4	58	6	16	NA	19	NA	34	22	58	37	19	37	13	26	30	36	32	47	44	38	30	13	34	19	52	8	18	13	71	26	16	28	19	65	45	22	35	29	15	22	15	35
25	32	39	46	51	12	36	4	12	51	30	11	38	NA	36	34	8	32	8	54	22	33	48	78	10	69	41	23	40	66	30	24	51	37	25	47	25	48	33	27	122	43	NA	36	37	NA	37	17	68	9	40	26	23	58	54	30	57	27	12	68	8	18	NA	17	NA	37	28	92	47	38	35	26	37	33	63	37	56	47	38	46	20	42	32	54	6	21	20	127	29	26	47	29	78	51	24	48	39	36	25	20	52
30	58	56	51	74	16	54	4	22	95	31	15	37	NA	43	38	13	58	10	70	23	58	70	98	28	79	58	35	59	95	47	35	68	60	22	73	32	62	43	41	163	51	NA	45	53	NA	46	13	60	9	22	30	42	89	57	41	51	43	18	88	13	27	NA	14	NA	51	43	135	55	42	52	50	39	91	80	54	73	63	39	65	24	48	43	63	5	30	26	177	34	27	55	34	85	79	36	58	65	40	38	28	68
35	100	80	71	78	16	88	4	35	126	47	26	65	NA	38	51	35	82	17	85	20	76	82	137	35	97	82	46	83	123	56	47	66	61	39	97	49	81	74	68	207	85	NA	47	73	NA	64	12	63	18	29	29	44	154	92	59	60	55	16	119	10	52	NA	15	NA	75	39	165	58	45	74	61	56	134	89	73	80	61	50	64	23	49	48	85	12	41	38	229	55	40	66	47	94	120	41	102	121	40	46	40	94
40	94	92	73	103	33	84	6	38	150	58	33	81	NA	57	55	29	136	27	95	19	74	88	162	40	123	94	61	123	154	77	35	63	73	43	123	64	139	135	90	236	110	NA	45	113	NA	91	28	97	28	36	48	68	205	122	69	86	88	19	121	11	55	NA	18	NA	84	53	230	60	75	107	73	65	147	122	111	74	62	84	77	29	78	85	154	16	45	49	298	60	56	78	52	129	135	44	128	145	53	46	44	114
45	99	113	73	133	47	132	11	53	167	68	39	106	NA	79	86	42	224	23	133	22	78	103	177	56	167	109	88	161	195	72	70	85	116	55	147	75	173	163	135	279	165	NA	49	122	NA	105	36	119	38	41	64	120	280	160	89	97	117	36	141	23	56	NA	25	NA	86	82	307	74	78	159	109	53	183	193	153	104	74	111	91	39	77	132	199	20	52	63	423	86	74	78	64	169	229	51	152	190	75	56	32	152
