0	3	3	4	3	3	4	4	5	2	3	5	3	3	4	5	3	2	3	3	4	5	3	5	3	4	4	4	4	4	4	1	5	3	4	4	4	4	4	3	4	2	4	3	4	2	1	2	3	2	3	3	4	4	3	4	3	4	3	3	2	2	5	4	5	4	1	3	2	2	4	3	3	3	4	3	2	4	4	4	3	3	4	2	3	3	3	4	5	5	5	2	3	4	2	4	2	3	3	4	1
1	6	5	8	8	7	9	11	10	4	8	12	7	8	6	10	8	5	9	7	10	9	6	10	6	10	7	8	8	9	9	5	12	7	11	9	8	11	9	8	7	5	11	6	12	6	3	4	8	5	7	8	9	8	9	9	6	9	6	6	6	6	10	8	13	5	1	7	2	5	8	5	8	5	9	6	4	6	10	9	6	6	8	5	3	5	8	10	11	10	12	6	7	10	5	8	5	9	7	10	2
2	11	13	16	17	12	17	23	14	5	16	19	16	13	12	19	14	14	17	10	15	17	11	17	10	18	11	16	14	11	16	10	20	12	19	17	14	20	16	15	12	8	18	8	20	13	7	8	17	6	14	16	16	14	13	14	9	17	13	14	13	12	15	12	21	8	1	14	6	12	14	7	14	8	15	11	5	12	15	16	12	9	15	8	6	10	15	18	17	17	20	12	16	16	11	12	13	17	12	17	2
3	22	20	23	27	20	29	41	20	7	26	28	27	20	21	30	21	23	27	16	22	26	20	22	15	30	14	21	22	14	23	19	31	15	26	29	19	35	21	28	20	13	29	10	29	19	11	13	24	12	22	25	26	23	19	22	14	26	18	24	22	20	23	20	34	12	1	21	11	23	20	10	21	13	23	22	8	21	22	28	19	15	25	13	10	18	20	27	24	24	32	19	27	25	17	19	24	28	20	26	3
4	32	25	32	37	28	41	59	25	12	38	37	33	29	29	49	29	34	37	23	33	35	31	28	25	45	24	36	32	20	34	28	41	25	35	39	30	48	26	37	30	22	44	14	36	30	20	18	36	17	27	35	38	36	25	33	22	41	26	35	33	31	34	26	49	19	2	28	15	43	28	15	32	21	31	27	16	34	33	42	26	21	28	19	14	30	31	37	35	35	52	24	41	37	27	26	33	47	27	41	2
5	43	28	42	46	35	52	86	28	19	52	45	48	37	39	63	38	46	46	28	47	43	41	35	37	56	37	53	42	30	44	40	54	36	48	56	43	63	32	50	42	29	58	20	48	46	33	29	48	30	37	50	46	52	36	45	30	50	35	47	45	43	50	35	59	27	3	32	20	68	44	18	45	31	46	35	21	47	48	53	33	25	39	26	23	41	38	49	43	47	67	34	57	52	35	35	48	68	38	55	3
6	59	37	57	62	44	60	111	33	32	66	64	67	45	48	95	49	54	55	36	65	51	60	48	51	67	44	73	48	40	56	47	68	47	63	77	54	76	37	70	53	41	82	30	56	63	50	44	66	45	46	61	61	68	44	57	43	68	45	64	56	44	66	49	70	39	7	39	31	86	59	22	62	43	61	43	30	65	56	67	41	32	55	32	27	52	52	62	53	54	89	46	81	72	45	46	66	87	46	74	4
7	67	45	62	81	48	70	154	44	46	83	85	80	52	63	124	60	66	68	43	78	72	80	59	68	76	64	93	58	50	69	63	83	63	83	93	75	94	47	88	61	54	111	39	70	87	71	58	89	73	53	73	73	87	49	59	55	84	57	78	71	55	94	69	82	57	13	48	39	113	76	22	74	52	77	57	36	94	64	89	56	43	64	40	40	67	63	74	72	68	116	55	103	85	57	53	90	107	62	86	5
8	84	60	77	112	60	77	206	54	58	96	112	92	62	76	164	76	82	80	47	90	92	104	70	77	92	80	123	68	69	80	84	104	74	102	118	95	101	53	116	76	81	147	56	79	106	94	83	118	105	64	83	88	113	52	71	70	101	79	82	78	62	117	92	100	73	18	58	46	133	103	25	79	58	87	64	48	117	77	106	71	53	78	50	54	84	84	88	83	79	140	65	121	114	71	53	106	134	74	94	7
9	99	82	89	152	71	81	250	59	69	104	145	100	69	94	212	92	97	97	60	102	109	111	88	96	105	102	154	77	88	87	108	137	94	117	131	118	111	64	152	74	98	192	75	95	135	122	109	138	133	84	101	105	144	64	94	86	122	95	89	89	76	151	116	113	98	22	71	56	153	129	30	94	63	117	83	61	153	92	112	88	62	89	65	70	93	112	102	103	86	167	69	140	143	93	70	136	174	84	114	9
