0	3	5	4	3	5	4	5	4	4	3	2	4	4	3	3	4	4	3	4	4	5	4	4	5	5	5	4	3	4	4	5	5	4	5	4	4	4	4	3	4	5	4	5	4	5	2	4	4	2	2	5	5	3	5	5	5	3	4	4	2	4	5	3	3	4	5	2	5	4	4	4	4	3	4	5	3	4	5	4	5	4	3	2	5	5	5	5	4	5	4	4	4	5	4	5	4	4	3	3	4
1	7	11	10	10	12	9	13	10	8	9	7	10	11	9	7	11	11	10	12	10	11	9	10	12	11	13	10	9	10	8	12	11	11	11	11	10	11	10	8	12	12	10	12	10	10	7	9	10	8	8	10	13	8	13	14	11	9	9	10	7	9	10	7	9	7	11	6	11	10	12	11	8	9	10	12	9	8	11	11	11	11	8	5	12	11	11	11	11	11	10	8	11	14	11	12	11	11	8	8	10
2	16	20	20	18	23	19	21	19	14	19	14	16	22	19	16	19	20	18	21	18	19	21	20	22	22	22	20	19	19	16	21	21	22	19	21	18	22	16	17	24	26	21	20	16	19	13	16	22	16	17	20	22	17	22	29	21	19	18	20	14	20	16	18	17	13	21	15	17	19	20	20	17	18	20	24	18	19	18	21	20	23	15	12	23	20	21	21	23	24	19	15	23	28	22	23	21	23	16	19	23
3	27	33	35	30	42	32	38	31	22	31	21	28	34	31	28	32	32	31	33	32	32	30	30	35	34	37	31	29	30	26	34	33	33	34	33	29	36	28	29	42	42	32	32	28	33	24	23	35	28	28	32	35	27	37	52	34	34	29	32	26	31	26	32	30	22	37	23	31	32	34	34	28	32	33	38	32	33	29	33	31	41	23	22	40	33	36	32	40	36	26	27	37	51	32	36	36	41	28	31	36
4	41	56	52	45	70	50	59	46	36	43	29	44	46	47	41	47	48	47	51	47	50	45	52	52	48	52	45	41	49	41	53	50	52	48	48	46	53	45	48	68	62	48	46	44	49	36	37	48	40	44	49	51	43	54	77	49	50	48	49	44	49	41	49	48	35	61	35	44	53	55	48	44	46	51	56	37	46	44	53	46	63	41	36	61	45	55	45	65	53	39	40	57	85	47	57	55	68	42	52	51
5	58	78	83	64	106	74	85	61	56	64	42	62	66	65	61	67	67	60	70	66	72	66	75	70	64	77	65	61	71	58	73	75	72	73	64	62	79	61	65	99	96	65	60	59	66	52	53	64	59	65	69	68	62	68	112	66	66	65	70	66	69	58	70	73	48	86	52	61	76	88	69	62	68	69	79	62	62	62	72	66	94	58	50	86	63	77	61	95	75	58	58	73	121	63	80	78	96	60	73	68
6	76	112	126	85	146	102	120	84	76	89	58	79	84	89	83	87	86	79	89	89	96	86	106	88	81	100	78	79	102	78	96	107	104	108	83	82	105	84	85	142	134	81	83	79	85	73	77	83	79	89	95	82	78	86	147	82	85	86	86	95	89	80	95	100	70	109	71	81	107	121	93	81	84	99	103	84	77	79	102	85	130	74	65	119	82	103	81	134	106	81	72	90	173	81	101	109	135	85	117	81
7	94	155	179	106	192	131	160	104	107	115	81	109	107	112	112	111	104	98	115	111	117	110	135	104	101	119	101	112	134	100	126	145	136	142	96	105	137	101	103	188	179	100	110	103	117	93	99	99	97	116	126	103	98	104	190	103	103	111	112	130	110	101	133	145	87	143	92	107	147	172	122	97	107	136	142	101	103	98	138	105	171	90	81	155	104	136	102	173	146	111	95	111	229	101	130	146	167	118	173	100
8	103	197	235	129	253	167	205	139	145	151	104	138	138	134	148	130	128	112	155	132	163	139	165	124	126	149	124	143	180	131	161	188	178	189	117	125	170	125	129	250	229	125	149	120	164	122	121	116	116	141	164	123	125	126	257	125	130	144	143	174	123	129	189	189	114	181	110	139	195	224	163	121	123	181	186	135	127	122	182	124	217	105	103	194	128	168	126	229	199	146	113	137	305	119	167	181	207	156	253	119
9	124	252	310	149	338	219	257	173	178	199	122	174	172	153	184	157	147	138	192	165	223	177	186	147	148	173	164	187	240	161	205	234	231	234	144	147	221	149	148	313	281	149	196	141	218	151	147	147	133	179	212	164	162	154	344	147	164	188	191	220	143	163	256	249	148	214	131	177	252	289	212	151	142	234	226	183	153	139	235	157	272	128	122	235	156	225	147	297	269	188	135	161	390	135	207	220	261	204	353	147
10	138	343	403	171	417	275	322	238	223	246	140	222	206	200	214	186	165	170	241	205	279	236	223	173	184	220	219	241	307	198	257	290	293	297	167	168	300	179	175	389	365	172	258	169	292	191	189	183	155	222	277	209	214	182	453	169	207	224	253	285	169	200	355	322	198	270	170	222	323	357	279	181	161	305	290	233	186	152	306	200	353	152	145	285	189	295	175	370	367	221	163	200	504	152	262	252	333	257	487	169
11	161	444	513	198	550	338	409	330	270	322	161	286	251	245	264	235	194	200	303	253	357	286	260	216	240	268	271	307	388	242	329	366	376	375	204	212	386	217	205	474	466	203	371	205	374	246	230	221	173	269	356	274	278	213	610	199	263	266	314	373	204	252	470	410	255	338	209	281	402	441	362	213	182	392	351	296	225	170	402	262	446	187	173	333	232	389	210	455	479	270	189	237	626	177	339	307	404	335	637	207
12	192	589	648	230	709	426	501	428	326	425	185	360	317	314	332	288	226	234	365	301	462	352	310	277	303	319	347	407	463	294	411	456	485	476	241	260	495	265	247	573	596	257	507	246	489	310	281	277	195	315	450	358	370	257	789	225	329	328	391	473	253	332	618	519	319	410	253	335	504	524	447	249	190	501	433	385	262	194	524	323	546	217	197	396	278	507	253	589	631	327	230	290	779	184	445	377	477	437	848	238
13	213	752	808	272	898	523	631	560	403	533	209	442	388	397	393	363	258	273	438	360	590	432	384	351	375	376	446	507	567	343	500	577	597	628	286	315	624	324	306	724	763	325	712	291	649	372	335	344	221	373	558	472	459	305	1036	256	415	393	463	606	309	433	799	630	398	488	318	417	612	620	561	305	223	651	532	503	316	220	673	412	688	281	232	483	326	655	303	746	789	401	276	350	971	211	569	437	584	562	1092	297
14	234	966	996	342	1134	647	785	733	501	659	245	535	480	513	482	470	302	307	515	431	727	539	468	439	471	449	577	631	724	436	616	723	746	810	334	368	773	388	384	891	965	396	945	358	826	451	393	430	245	435	686	602	579	373	1341	288	520	468	564	753	391	570	1035	796	516	584	400	499	740	762	700	354	256	827	651	662	401	261	875	528	863	354	270	600	391	853	387	937	1009	479	333	425	1218	236	723	529	717	717	1418	380
15	273	1248	1271	436	1441	817	1007	956	609	809	279	638	588	627	593	596	345	341	603	535	892	670	579	555	571	542	752	784	897	523	767	900	905	1053	398	438	974	459	458	1102	1227	509	1217	436	1048	549	463	552	278	527	828	752	735	445	1710	351	657	564	697	929	504	707	1358	984	670	708	515	590	913	909	886	405	296	1047	816	861	499	316	1124	685	1067	467	326	748	476	1108	469	1197	1270	590	434	515	1524	264	910	642	852	907	1761	480
16	312	1592	1614	559	1782	1034	1314	1242	765	977	319	782	713	768	737	745	428	401	754	668	1120	793	717	704	718	666	961	992	1103	636	955	1129	1120	1348	460	504	1217	555	551	1380	1562	681	1554	542	1321	655	543	679	321	641	985	912	880	516	2156	455	840	714	840	1159	646	891	1733	1227	874	876	656	715	1156	1103	1096	474	335	1345	1036	1092	636	382	1432	853	1306	605	395	949	572	1455	560	1513	1615	710	557	613	1900	301	1141	781	1067	1135	2201	594
17	373	2025	2023	700	2199	1273	1691	1588	967	1195	392	943	881	926	930	936	542	469	920	880	1370	931	898	893	913	816	1228	1259	1333	783	1237	1443	1355	1748	529	592	1513	695	658	1735	1951	890	1949	657	1632	777	621	839	355	798	1180	1124	1083	611	2711	586	1066	877	1064	1408	811	1103	2247	1549	1124	1099	836	859	1454	1348	1358	534	413	1731	1307	1415	796	497	1820	1042	1624	760	488	1163	690	1822	696	1920	2058	872	710	772	2326	358	1442	949	1336	1406	2714	740
