0	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	2	1	1	3	1	1	2	1	1	1	4	2	1	2	2	3	1	2	1	1	2	1	3	3	2	2	2	3	1	1	2	2	2	2	2	1	3	2	1	3	2	2	2	2	1	1	2	2	3	1	1	3	1	2	1	3	2	1	1	1	2	1	1	1	3	1	3	2	2	1	1	1	1	1	2	1	3	1	1	2	2	1	2	1	2
1	1	2	2	1	2	2	2	1	2	2	2	2	2	1	4	3	1	2	3	1	3	2	1	2	2	4	3	2	4	3	4	1	3	2	1	4	1	5	4	2	2	3	4	1	3	3	3	4	3	2	1	3	4	1	6	3	3	3	2	1	2	2	2	4	2	2	4	2	3	2	6	3	1	1	1	3	1	1	2	3	1	3	2	2	3	1	1	1	2	4	2	4	2	1	3	2	1	2	1	3
2	1	4	3	1	3	4	3	2	3	4	2	3	2	1	4	4	1	3	5	2	5	2	1	3	3	5	3	3	6	2	5	1	3	5	2	4	1	7	4	2	3	4	4	2	6	4	4	5	3	3	2	4	8	2	6	3	5	4	3	3	4	2	2	6	3	4	7	2	5	2	7	6	1	1	2	2	1	1	2	3	1	5	3	4	4	2	1	1	3	4	3	5	2	1	4	2	1	5	2	3
3	2	6	3	2	6	6	4	2	5	5	2	6	3	1	6	8	1	5	7	4	8	0	2	5	6	6	5	4	8	3	5	1	4	7	2	4	1	8	5	3	5	6	6	3	8	7	6	6	3	4	3	4	10	2	7	5	5	6	3	3	5	3	4	7	3	4	10	2	7	3	8	7	2	1	3	1	2	1	4	7	2	6	5	4	5	2	2	2	5	5	4	5	3	1	7	3	2	6	3	4
4	2	9	4	3	5	6	5	4	8	7	2	6	2	2	5	11	1	8	6	6	9	NA	4	7	6	5	6	6	9	4	6	1	7	10	3	5	2	10	4	4	6	8	6	5	11	8	9	8	2	5	4	6	12	2	9	5	6	8	4	3	6	4	6	8	4	4	12	2	12	4	9	7	2	2	4	1	2	3	6	8	3	10	6	5	6	2	2	3	7	7	5	5	3	0	8	4	0	8	3	5
5	4	12	7	3	7	7	5	5	9	9	1	5	2	4	6	13	1	9	7	9	7	NA	6	8	6	6	5	6	13	5	6	1	7	13	5	7	1	8	5	5	7	7	8	6	14	9	8	10	1	6	5	5	15	4	7	7	10	10	5	5	7	8	8	9	5	4	11	4	13	5	11	6	3	3	4	1	2	6	8	11	2	10	9	8	4	1	4	4	7	10	6	5	2	NA	9	6	NA	11	5	3
6	5	13	9	4	8	7	6	8	12	11	1	8	2	6	7	16	2	11	8	8	7	NA	6	11	8	7	5	8	14	6	4	0	6	15	5	10	1	8	6	8	9	9	8	8	17	12	10	10	1	9	9	5	15	5	7	10	11	12	7	3	7	10	10	8	5	7	11	4	16	7	9	7	4	4	5	1	4	6	9	12	2	11	11	8	4	3	5	7	10	10	7	2	1	NA	9	8	NA	14	7	7
7	8	13	10	3	8	7	6	13	12	13	0	9	2	5	9	16	2	12	8	9	5	NA	8	11	12	11	6	11	16	7	5	NA	8	13	5	12	1	8	7	10	11	9	10	9	17	11	10	11	1	10	9	4	12	6	10	13	13	13	9	5	3	11	12	8	4	6	15	7	18	8	9	9	4	6	6	1	4	7	7	13	2	12	14	6	4	3	6	7	7	12	8	1	1	NA	11	12	NA	19	7	9
8	11	15	13	3	8	9	6	14	14	11	NA	12	3	6	10	16	4	15	11	9	6	NA	11	9	13	16	6	12	15	6	5	NA	7	14	4	13	1	9	9	14	12	8	12	12	17	15	12	10	1	8	11	4	12	9	12	11	12	15	10	7	4	12	19	10	6	7	21	9	20	7	9	10	5	7	8	2	9	9	7	15	3	14	19	5	2	2	6	10	8	12	7	1	1	NA	13	12	NA	22	9	11
9	14	18	15	3	8	11	7	18	13	13	NA	11	4	7	11	22	5	17	11	9	5	NA	13	11	14	19	9	16	18	5	4	NA	6	16	4	14	1	9	12	14	11	8	10	14	19	17	12	10	1	9	11	5	12	6	16	10	14	19	11	5	4	13	20	12	5	8	23	10	20	7	8	12	8	9	11	4	12	13	11	17	4	15	22	7	1	3	7	11	6	13	8	1	0	NA	10	13	NA	26	12	11
