0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	2	3	1	5	2	3	1	2	0	1	2	3	1	5	2	3	1	2	0	1
10	7	5	2	3	4	4	8	5	NA	1	7	5	2	3	4	4	8	5	NA	1
15	6	12	2	7	9	10	7	6	NA	2	6	12	2	7	9	10	7	6	NA	2
20	7	13	3	12	16	12	28	6	NA	1	7	13	3	12	16	12	28	6	NA	1
25	9	14	10	19	13	13	34	8	NA	4	9	14	10	19	13	13	34	8	NA	4
30	15	24	14	26	22	18	50	13	NA	3	15	24	14	26	22	18	50	13	NA	3
35	23	27	13	32	17	28	77	12	NA	11	23	27	13	32	17	28	77	12	NA	11
40	39	48	25	51	28	48	94	18	NA	10	39	48	25	51	28	48	94	18	NA	10
45	46	52	25	71	40	55	117	25	NA	16	46	52	25	71	40	55	117	25	NA	16
50	70	70	55	93	44	84	161	31	NA	17	70	70	55	93	44	84	161	31	NA	17
55	103	79	89	132	83	87	203	55	NA	23	103	79	89	132	83	87	203	55	NA	23
60	124	101	104	176	91	121	282	86	NA	34	124	101	104	176	91	121	282	86	NA	34
65	167	123	148	206	129	162	351	108	NA	39	167	123	148	206	129	162	351	108	NA	39
70	227	158	181	298	167	210	437	169	NA	49	227	158	181	298	167	210	437	169	NA	49
75	285	233	224	418	220	304	567	232	NA	67	285	233	224	418	220	304	567	232	NA	67
80	391	331	275	539	264	382	755	283	NA	87	391	331	275	539	264	382	755	283	NA	87
85	516	412	345	723	365	480	963	352	NA	110	516	412	345	723	365	480	963	352	NA	110
90	697	532	449	921	467	664	1241	442	NA	128	697	532	449	921	467	664	1241	442	NA	128
95	860	711	557	1150	627	868	1511	574	NA	191	860	711	557	1150	627	868	1511	574	NA	191
100	1054	912	730	1372	787	1060	1813	735	NA	243	1054	912	730	1372	787	1060	1813	735	NA	243
105	1326	1146	918	1717	1038	1315	2170	868	NA	331	1326	1146	918	1717	1038	1315	2170	868	NA	331
110	1681	1379	1140	2145	1328	1578	2505	1112	NA	435	1681	1379	1140	2145	1328	1578	2505	1112	NA	435
115	1970	1707	1460	2486	1609	1932	2807	1436	NA	569	1970	1707	1460	2486	1609	1932	2807	1436	NA	569
120	2300	2042	1781	2863	1959	2392	2957	1700	NA	728	2300	2042	1781	2863	1959	2392	2957	1700	NA	728
125	2676	2426	2173	2968	2327	2694	3104	2046	NA	875	2676	2426	2173	2968	2327	2694	3104	2046	NA	875
130	3025	2760	2460	3126	2669	2969	2982	2438	NA	1088	3025	2760	2460	3126	2669	2969	2982	2438	NA	1088
135	3127	3052	2731	3059	3024	3132	2822	2682	NA	1449	3127	3052	2731	3059	3024	3132	2822	2682	NA	1449
140	3126	3086	2900	2822	3143	3084	2454	2858	NA	1786	3126	3086	2900	2822	3143	3084	2454	2858	NA	1786
145	2884	3016	2958	2582	3170	2863	1935	2890	NA	2054	2884	3016	2958	2582	3170	2863	1935	2890	NA	2054
150	2629	2834	2869	2151	3034	2532	1506	2887	NA	2453	2629	2834	2869	2151	3034	2532	1506	2887	NA	2453
155	2059	2550	2578	1657	2762	2211	1051	2834	NA	2659	2059	2550	2578	1657	2762	2211	1051	2834	NA	2659
160	1717	2213	2293	1226	2281	1695	734	2511	NA	2945	1717	2213	2293	1226	2281	1695	734	2511	NA	2945
165	1242	1689	1916	858	1752	1298	478	2108	NA	3114	1242	1689	1916	858	1752	1298	478	2108	NA	3114
170	882	1235	1523	556	1303	954	289	1761	NA	3049	882	1235	1523	556	1303	954	289	1761	NA	3049
175	604	816	1236	327	907	669	174	1262	NA	2928	604	816	1236	327	907	669	174	1262	NA	2928
180	393	543	940	219	560	443	104	877	NA	2615	393	543	940	219	560	443	104	877	NA	2615
185	258	333	749	135	349	288	62	630	NA	2140	258	333	749	135	349	288	62	630	NA	2140
190	166	200	473	75	193	185	38	448	NA	1670	166	200	473	75	193	185	38	448	NA	1670
195	93	110	299	47	102	97	31	295	NA	1245	93	110	299	47	102	97	31	295	NA	1245
200	61	63	225	27	52	52	22	176	NA	819	61	63	225	27	52	52	22	176	NA	819
205	39	30	162	11	21	32	11	110	NA	498	39	30	162	11	21	32	11	110	NA	498
210	23	15	125	7	4	23	6	64	NA	306	23	15	125	7	4	23	6	64	NA	306
215	12	6	54	4	2	16	3	36	NA	170	12	6	54	4	2	16	3	36	NA	170
220	4	4	34	3	1	18	1	15	NA	95	4	4	34	3	1	18	1	15	NA	95
225	3	3	24	1	NA	15	2	12	NA	49	3	3	24	1	NA	15	2	12	NA	49
230	0	2	12	3	NA	7	NA	9	NA	27	0	2	12	3	NA	7	NA	9	NA	27
235	NA	0	7	2	NA	1	NA	3	NA	9	NA	0	7	2	NA	1	NA	3	NA	9
240	NA	NA	7	4	NA	NA	NA	1	NA	2	NA	NA	7	4	NA	NA	NA	1	NA	2
245	NA	NA	3	1	NA	NA	NA	0	NA	3	NA	NA	3	1	NA	NA	NA	0	NA	3
250	NA	NA	1	1	NA	NA	NA	NA	NA	1	NA	NA	1	1	NA	NA	NA	NA	NA	1
255	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	1
260	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
