0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1
10	4	2	2	8	4	4	2	6	6	3	4	2	2	8	4	4	2	6	6	3
15	9	8	3	10	6	11	6	11	12	8	9	8	3	10	6	11	6	11	12	8
20	27	18	11	17	15	17	7	11	36	17	27	18	11	17	15	17	7	11	36	17
25	29	26	15	28	26	38	23	33	60	27	29	26	15	28	26	38	23	33	60	27
30	65	52	45	58	58	82	45	55	114	39	65	52	45	58	58	82	45	55	114	39
35	137	97	75	95	141	167	82	104	187	73	137	97	75	95	141	167	82	104	187	73
40	225	153	138	186	184	282	135	216	356	170	225	153	138	186	184	282	135	216	356	170
45	408	267	221	283	353	502	261	363	596	261	408	267	221	283	353	502	261	363	596	261
50	673	513	381	487	586	791	422	608	890	480	673	513	381	487	586	791	422	608	890	480
55	999	870	662	813	898	1184	743	1008	1281	827	999	870	662	813	898	1184	743	1008	1281	827
60	1434	1298	1086	1293	1359	1651	1212	1372	1743	1211	1434	1298	1086	1293	1359	1651	1212	1372	1743	1211
65	1988	1730	1616	1756	1746	1978	1572	1820	2058	1647	1988	1730	1616	1756	1746	1978	1572	1820	2058	1647
70	2053	2065	1981	2034	1984	2189	1912	2146	2193	1952	2053	2065	1981	2034	1984	2189	1912	2146	2193	1952
75	2090	2128	2152	2211	2096	1853	1991	2064	1715	2145	2090	2128	2152	2211	2096	1853	1991	2064	1715	2145
80	1408	1760	2016	1829	1720	1286	1958	1640	1017	1884	1408	1760	2016	1829	1720	1286	1958	1640	1017	1884
85	610	1121	1366	1133	898	443	1402	892	322	1162	610	1121	1366	1133	898	443	1402	892	322	1162
90	200	338	634	429	325	119	558	250	44	424	200	338	634	429	325	119	558	250	44	424
95	56	97	141	95	72	7	121	52	5	88	56	97	141	95	72	7	121	52	5	88
100	1	20	27	16	6	1	18	3	1	12	1	20	27	16	6	1	18	3	1	12
105	NA	4	2	1	0	NA	2	NA	NA	3	NA	4	2	1	0	NA	2	NA	NA	3
110	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
