0	1	2	1	2	2	3	1	1	2	1	1	2	1	2	2	3	1	1	2	1
5	5	5	5	17	3	18	16	3	15	11	5	5	5	17	3	18	16	3	15	11
10	14	12	8	26	6	34	24	7	24	22	14	12	8	26	6	34	24	7	24	22
15	17	31	20	42	8	28	43	13	22	16	17	31	20	42	8	28	43	13	22	16
20	36	47	34	53	11	36	42	10	31	39	36	47	34	53	11	36	42	10	31	39
25	40	81	56	59	9	61	49	15	43	66	40	81	56	59	9	61	49	15	43	66
30	53	116	86	59	11	74	67	46	70	68	53	116	86	59	11	74	67	46	70	68
35	72	154	84	90	12	97	72	67	106	104	72	154	84	90	12	97	72	67	106	104
40	104	196	94	126	21	111	96	104	134	168	104	196	94	126	21	111	96	104	134	168
45	128	257	138	144	30	116	133	139	199	223	128	257	138	144	30	116	133	139	199	223
50	170	333	206	161	52	197	179	179	314	317	170	333	206	161	52	197	179	179	314	317
55	231	389	298	200	73	246	224	229	458	450	231	389	298	200	73	246	224	229	458	450
60	283	527	433	259	111	289	293	280	589	605	283	527	433	259	111	289	293	280	589	605
65	395	680	544	325	156	374	335	373	734	739	395	680	544	325	156	374	335	373	734	739
70	568	913	724	444	179	529	562	508	1042	1055	568	913	724	444	179	529	562	508	1042	1055
75	802	1109	1020	597	220	690	788	636	1368	1397	802	1109	1020	597	220	690	788	636	1368	1397
80	1015	1437	1430	833	295	909	1029	812	1850	1833	1015	1437	1430	833	295	909	1029	812	1850	1833
85	1377	1853	1933	1127	400	1239	1464	981	2494	2459	1377	1853	1933	1127	400	1239	1464	981	2494	2459
90	1764	2410	2512	1403	491	1725	1959	1258	3324	3092	1764	2410	2512	1403	491	1725	1959	1258	3324	3092
95	2321	3133	3238	1762	678	2221	2587	1553	4473	3917	2321	3133	3238	1762	678	2221	2587	1553	4473	3917
100	3019	4387	4088	2272	886	2819	3367	2043	5773	5068	3019	4387	4088	2272	886	2819	3367	2043	5773	5068
105	3785	5406	5297	3053	1106	3628	4421	2638	7673	6434	3785	5406	5297	3053	1106	3628	4421	2638	7673	6434
110	4889	6956	6996	3817	1469	4737	5642	3431	9584	7920	4889	6956	6996	3817	1469	4737	5642	3431	9584	7920
115	5924	8730	8558	4895	1873	6017	7071	4469	11617	9437	5924	8730	8558	4895	1873	6017	7071	4469	11617	9437
120	7489	10720	10588	6591	2475	7601	8852	5635	13094	10980	7489	10720	10588	6591	2475	7601	8852	5635	13094	10980
125	9222	12510	12518	8300	3132	9352	10752	7155	14246	13060	9222	12510	12518	8300	3132	9352	10752	7155	14246	13060
130	10721	14117	13996	10029	3941	11369	12813	8831	14706	14346	10721	14117	13996	10029	3941	11369	12813	8831	14706	14346
135	12210	15155	15063	11788	5155	12976	14263	10598	14597	14853	12210	15155	15063	11788	5155	12976	14263	10598	14597	14853
