0	3	4	4	3	3	2	5	3	2	2	3	4	4	3	3	2	5	3	2	2
5	30	47	40	20	37	12	40	50	41	32	30	47	40	20	37	12	40	50	41	32
10	93	143	97	70	89	55	95	124	86	109	93	143	97	70	89	55	95	124	86	109
15	243	374	128	115	163	156	233	211	191	253	243	374	128	115	163	156	233	211	191	253
20	466	853	229	233	347	349	435	459	418	503	466	853	229	233	347	349	435	459	418	503
25	961	1623	436	489	805	662	1048	969	916	1016	961	1623	436	489	805	662	1048	969	916	1016
30	2194	3419	974	989	1695	1317	2302	2209	1961	2115	2194	3419	974	989	1695	1317	2302	2209	1961	2115
35	4489	7222	2365	1946	3516	2533	4605	5030	3861	4143	4489	7222	2365	1946	3516	2533	4605	5030	3861	4143
40	8932	14182	5317	4046	7177	5146	9313	10791	7874	7589	8932	14182	5317	4046	7177	5146	9313	10791	7874	7589
45	17016	24395	10859	8000	14140	10365	17203	20226	14774	14698	17016	24395	10859	8000	14140	10365	17203	20226	14774	14698
50	27726	32663	19853	14460	23921	19032	26833	30076	24155	24275	27726	32663	19853	14460	23921	19032	26833	30076	24155	24275
55	34267	30094	29762	24079	33011	29117	32390	33637	31459	32677	34267	30094	29762	24079	33011	29117	32390	33637	31459	32677
60	27566	18029	33272	33594	30811	33532	26960	24629	29871	30555	27566	18029	33272	33594	30811	33532	26960	24629	29871	30555
65	13553	6416	23767	30390	18105	25363	14213	10379	17985	17111	13553	6416	23767	30390	18105	25363	14213	10379	17985	17111
70	3100	1271	10471	16497	5978	11032	4276	2116	6010	5239	3100	1271	10471	16497	5978	11032	4276	2116	6010	5239
75	319	113	2700	4866	1196	2205	726	246	1190	858	319	113	2700	4866	1196	2205	726	246	1190	858
80	16	6	383	771	93	212	82	18	277	89	16	6	383	771	93	212	82	18	277	89
85	7	NA	13	78	0	6	4	1	70	4	7	NA	13	78	0	6	4	1	70	4
90	1	NA	7	4	NA	NA	NA	NA	4	0	1	NA	7	4	NA	NA	NA	NA	4	0
95	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
