0	1	2	3	3	4	2	2	2	4	2	1	2	3	3	4	2	2	2	4	2
5	7	19	21	23	23	7	20	20	21	22	7	19	21	23	23	7	20	20	21	22
10	31	24	57	43	44	30	34	47	37	54	31	24	57	43	44	30	34	47	37	54
15	49	39	77	96	69	57	95	78	102	102	49	39	77	96	69	57	95	78	102	102
20	103	89	125	193	115	113	184	146	216	115	103	89	125	193	115	113	184	146	216	115
25	171	128	164	335	172	223	337	279	365	182	171	128	164	335	172	223	337	279	365	182
30	255	182	317	555	322	378	596	481	642	371	255	182	317	555	322	378	596	481	642	371
35	458	349	610	955	538	600	968	856	1096	560	458	349	610	955	538	600	968	856	1096	560
40	646	609	1052	1527	825	1039	1627	1497	1905	981	646	609	1052	1527	825	1039	1627	1497	1905	981
45	1097	1231	1821	2469	1476	1777	2729	2664	3036	1645	1097	1231	1821	2469	1476	1777	2729	2664	3036	1645
50	1864	2084	3145	3957	2490	2873	4636	4452	4875	2768	1864	2084	3145	3957	2490	2873	4636	4452	4875	2768
55	3110	3687	5220	6386	4185	4566	7419	7294	7967	4525	3110	3687	5220	6386	4185	4566	7419	7294	7967	4525
60	5343	5947	8712	9810	7013	7284	11411	11637	12678	7226	5343	5947	8712	9810	7013	7284	11411	11637	12678	7226
65	8605	9296	13374	14922	11151	11365	17232	17142	18905	11646	8605	9296	13374	14922	11151	11365	17232	17142	18905	11646
70	13081	14404	18784	21198	16827	16801	23454	23026	24681	17428	13081	14404	18784	21198	16827	16801	23454	23026	24681	17428
75	19340	20737	24360	26903	23535	23319	28791	27658	28900	24086	19340	20737	24360	26903	23535	23319	28791	27658	28900	24086
80	26352	26955	28254	29205	28659	28753	29559	28563	28078	29230	26352	26955	28254	29205	28659	28753	29559	28563	28078	29230
85	30567	29908	27938	26154	29467	29743	23820	24450	21597	29507	30567	29908	27938	26154	29467	29743	23820	24450	21597	29507
90	28302	27072	22193	18091	23900	24009	13966	15734	12426	23389	28302	27072	22193	18091	23900	24009	13966	15734	12426	23389
95	19873	18632	12811	8901	14739	14608	6213	6743	5541	13766	19873	18632	12811	8901	14739	14608	6213	6743	5541	13766
100	10652	9402	5045	3066	7219	6215	2000	2149	1915	5596	10652	9402	5045	3066	7219	6215	2000	2149	1915	5596
105	4224	3503	1244	794	2448	1685	453	530	465	1644	4224	3503	1244	794	2448	1685	453	530	465	1644
110	1127	916	201	115	550	255	50	61	53	394	1127	916	201	115	550	255	50	61	53	394
115	218	191	19	18	77	24	3	4	5	95	218	191	19	18	77	24	3	4	5	95
120	21	18	5	3	2	NA	NA	NA	1	12	21	18	5	3	2	NA	NA	NA	1	12
125	2	NA	1	NA	NA	NA	NA	NA	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA
