0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	2	1	NA	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	2	1	1	4	1	1	1	2	1	1	1	1	1	1	2	1	2	2	1	1	1	1	3	1	2	1
10	4	8	2	3	6	2	1	4	5	2	3	4	5	6	3	3	3	2	NA	5	3	2	4	4	7	6	6	2	3	5	2	2	2	3	5	1	2	2	3	1	1	2	1	6	2	2	1	4	1	3	4	2	2	2	2	4	6	3	2	3	1	4	5	2	2	4	5	2	1	2	5	2	3	4	1	5	2	2	1	3	3	1	3	3	3	1	4	4	2	3	2	3	2	8	4	1	1	7	2	1
15	11	6	3	7	3	7	11	17	7	6	9	4	10	6	11	12	7	5	NA	11	6	16	8	5	9	13	10	5	5	9	5	4	6	7	4	7	4	2	5	6	6	9	7	7	5	8	9	2	4	5	5	3	2	2	4	11	5	6	7	1	2	14	4	2	8	7	6	4	6	12	3	7	7	7	11	8	11	6	6	8	11	11	12	8	5	7	7	8	10	15	5	9	13	8	9	4	8	5	10	9
20	12	10	6	13	4	8	22	15	9	7	27	16	18	16	20	20	9	9	NA	20	21	15	15	12	18	21	12	5	4	15	19	15	16	16	17	6	12	9	11	14	12	12	14	16	23	7	12	9	8	12	21	16	4	13	2	16	18	12	13	15	8	29	21	3	18	26	13	8	10	19	13	10	11	11	15	9	14	14	18	14	13	30	15	12	7	8	6	13	7	19	14	9	27	15	10	18	9	8	9	16
25	23	24	22	16	21	19	31	35	18	23	50	20	42	43	41	47	24	18	NA	46	35	34	35	22	46	36	46	15	14	36	21	30	45	27	49	16	13	23	18	22	15	27	27	27	27	20	32	26	17	17	29	26	9	34	10	40	27	12	36	19	15	43	32	6	42	49	29	10	24	20	16	24	32	27	37	18	22	44	33	25	31	57	32	22	16	16	17	25	14	57	17	14	26	25	16	26	14	22	15	25
30	46	51	38	41	44	35	58	78	43	33	64	49	69	113	95	97	48	44	NA	72	82	46	63	38	75	70	106	23	27	69	48	59	78	61	107	23	37	46	45	37	18	60	40	52	51	37	57	48	40	36	55	51	21	34	30	62	61	14	38	37	33	71	82	18	78	108	48	24	44	43	36	35	36	36	51	47	36	70	61	59	58	103	56	40	36	39	22	35	24	106	39	25	71	65	29	57	34	53	29	52
35	94	81	96	75	104	49	119	150	91	59	164	77	161	153	176	166	85	84	NA	145	157	82	98	74	125	152	170	37	49	103	92	122	156	117	206	43	63	68	57	67	33	108	67	90	81	57	106	92	85	53	87	83	33	93	36	159	108	39	108	47	56	132	123	45	134	184	85	49	94	71	73	75	101	88	123	85	61	139	147	143	86	195	108	93	50	76	45	67	52	190	74	52	122	104	54	90	55	100	48	116
40	164	164	181	128	200	118	255	291	176	139	297	172	293	311	350	343	142	132	NA	262	292	147	203	148	228	244	313	65	99	231	171	250	324	218	404	61	137	143	96	150	74	193	130	163	170	122	196	198	135	83	175	161	47	175	87	282	225	92	203	112	119	248	222	69	242	381	135	117	192	146	120	106	166	154	217	159	144	226	278	229	163	363	191	149	78	131	132	113	104	376	114	109	207	207	92	166	123	204	83	222
45	266	293	311	251	377	248	404	499	292	262	523	319	530	521	601	648	302	272	NA	515	529	263	404	301	427	494	560	136	204	426	351	407	568	370	676	97	248	239	188	243	122	422	235	320	319	227	408	363	252	161	280	316	99	293	155	477	357	189	350	214	207	410	404	104	519	573	264	192	334	309	254	187	325	271	325	292	267	454	485	421	316	588	328	284	155	278	213	217	207	705	223	212	396	371	184	389	199	354	185	410
50	438	487	556	453	660	423	698	889	590	445	786	533	883	808	945	952	520	454	NA	744	872	538	625	515	764	852	792	221	372	714	578	679	946	626	1008	198	441	403	342	425	233	682	414	622	539	409	634	640	471	310	561	529	176	530	318	887	566	360	653	358	354	737	659	202	878	950	464	335	624	502	432	356	554	510	619	515	419	750	837	651	511	999	538	510	273	462	330	425	379	1094	413	380	613	631	333	606	419	612	306	686
