0	3	2	2	2	2	1	3	2	2	4	1	2	1	2	2	2	2	2	3	2	1	3	1	4	2	3	3	2	5	3	1	1	3	1	2	3	2	2	3	2	2	4	2	3	2	3	3	1	3	3	4	2	2	1	2	1	2	2	4	2	2	2	1	2	2	3	3	1	3	3	3	2	1	2	2	1	3	1	1	2	2	3	2	3	1	2	4	3	2	1	2	3	2	1	3	4	4	2	2	2
1	8	4	2	7	4	4	6	4	3	7	2	3	2	4	4	5	3	2	7	3	3	5	1	7	4	5	6	4	8	6	2	3	5	1	3	5	2	6	5	3	5	8	3	6	5	5	4	3	7	6	7	4	5	1	3	2	5	4	6	4	6	4	3	3	6	5	8	2	6	7	7	5	3	4	3	3	5	1	4	5	6	7	4	6	3	3	6	5	4	2	5	4	4	2	7	6	9	2	3	3
2	9	5	3	11	6	6	12	9	6	9	2	6	5	5	8	10	4	3	11	5	6	9	3	10	5	8	11	8	11	13	4	7	10	3	6	11	2	10	8	6	8	13	6	11	7	8	7	6	10	9	11	7	6	2	7	5	10	6	8	4	10	7	7	5	13	7	11	4	12	10	14	7	5	9	6	5	8	2	6	10	10	10	6	10	7	5	10	8	7	3	9	6	8	3	11	7	11	3	5	8
3	12	6	7	16	8	7	17	13	8	11	4	13	9	5	10	17	8	5	14	9	11	14	8	13	5	15	14	13	14	17	4	13	19	7	8	16	3	14	14	10	11	18	7	16	9	10	8	11	12	18	14	10	10	3	10	8	17	10	14	5	15	12	10	8	20	11	14	6	18	15	23	15	10	16	10	8	12	3	11	13	16	13	10	15	11	9	19	11	12	5	15	9	9	5	14	10	17	5	8	11
4	16	10	11	24	12	8	22	19	10	14	6	18	16	9	14	27	11	6	21	13	15	22	10	19	7	18	19	19	17	23	7	17	26	8	13	21	8	20	20	13	14	20	10	20	14	16	12	20	17	21	17	15	15	5	11	10	20	21	15	10	27	15	15	12	26	12	18	13	29	15	32	20	15	23	14	11	16	8	15	18	21	21	15	23	15	12	22	14	16	9	21	12	13	4	19	15	25	9	10	16
5	23	17	16	30	17	12	31	25	12	21	7	23	23	11	19	32	17	10	25	20	20	28	15	21	9	25	26	25	23	30	11	27	32	10	19	29	12	27	31	17	21	25	14	26	20	21	18	30	24	28	24	19	21	10	13	16	26	30	18	14	37	19	17	18	32	17	24	20	33	20	43	22	19	29	20	13	19	14	22	22	27	27	23	32	20	14	27	17	22	12	26	19	17	7	25	20	32	10	14	24
6	30	22	24	37	22	12	43	27	11	21	10	30	28	14	23	43	21	13	35	29	24	33	20	25	9	34	38	34	30	41	12	36	40	15	24	34	15	37	41	21	23	29	17	29	27	27	22	36	31	38	29	23	22	14	19	25	30	43	28	18	46	24	21	25	40	18	29	25	39	23	60	29	26	35	26	19	23	16	27	27	30	32	27	36	26	22	36	19	31	18	37	29	20	10	34	24	36	12	14	30
7	46	22	30	43	26	17	59	28	13	23	13	36	38	21	32	56	27	21	46	41	30	41	24	32	9	42	47	37	35	46	14	47	46	23	28	45	19	34	51	26	32	31	29	36	33	37	32	48	39	44	32	26	29	21	22	29	34	62	31	22	52	29	28	33	49	20	28	35	42	22	67	34	35	41	35	25	32	23	31	29	31	40	34	40	33	30	41	24	34	28	46	41	24	13	36	32	35	13	16	39
8	57	28	40	47	22	24	74	36	14	28	16	41	44	30	43	66	34	27	53	48	31	56	30	39	12	44	58	45	42	55	15	49	53	30	37	55	25	41	62	32	39	39	37	42	41	43	42	54	47	48	37	37	38	27	24	33	29	82	37	30	59	35	42	44	61	27	36	41	45	26	83	42	40	41	42	29	40	32	37	38	33	50	38	53	43	39	50	35	42	37	50	54	31	19	44	38	45	19	20	52
9	67	29	52	58	28	30	81	40	16	33	25	46	43	38	56	81	40	34	71	57	41	65	39	44	13	57	65	55	52	58	21	53	67	37	49	59	36	56	64	35	47	48	52	49	45	50	47	63	53	54	45	43	46	37	32	42	30	100	43	37	71	45	48	48	74	38	40	47	52	31	95	46	53	47	50	31	45	41	46	49	32	56	47	59	58	46	57	41	48	48	62	62	36	24	52	42	52	21	25	70
