0	2	4	2	1	1	1	1	3	3	1	2	2	3	1	1	1	2	1	2	4	2	2	3	2	3	3	2	1	2	2	1	2	4	1	3	1	2	1	3	1	1	2	2	1	1	1	2	2	3	3	3	2	1	3	2	1	1	3	1	3	1	1	2	1	2	1	1	1	2	1	1	2	2	1	2	3	1	2	2	2	1	2	1	3	2	2	2	2	2	1	3	1	1	1	1	3	2	1	1	2
5	9	19	6	7	1	9	13	10	4	5	6	5	13	8	7	10	8	13	6	21	28	15	12	12	14	6	10	10	10	2	5	8	5	14	3	10	0	16	4	5	7	3	14	3	8	4	5	11	5	7	6	11	7	7	10	0	8	7	3	8	10	2	7	8	16	5	11	1	10	5	6	20	13	15	6	19	1	5	9	12	2	7	4	7	3	10	7	3	7	8	6	10	10	4	2	9	19	6	1	7
10	6	10	3	8	6	13	16	4	9	3	7	5	17	8	6	16	23	12	4	11	11	11	9	8	12	8	7	4	13	0	4	10	4	5	3	15	NA	22	15	6	10	7	7	11	19	15	12	25	8	6	16	12	4	5	10	NA	9	8	6	4	7	9	10	10	14	8	10	NA	3	8	5	12	17	17	14	12	12	3	8	5	NA	5	6	12	3	17	9	1	10	13	5	8	5	10	7	10	3	10	NA	2
15	3	23	10	15	11	10	13	12	5	4	12	7	12	8	10	8	6	10	11	7	14	14	7	5	7	7	14	4	23	NA	9	18	5	14	7	11	NA	10	14	13	11	15	16	15	10	11	27	16	9	6	9	16	10	17	16	NA	8	12	10	3	4	6	10	16	14	6	23	NA	15	5	8	11	15	17	10	7	6	6	13	10	NA	10	22	13	10	10	9	NA	11	10	7	10	13	24	5	6	6	14	NA	2
20	10	6	20	11	14	7	32	7	17	6	25	10	10	15	9	15	7	16	12	10	17	19	13	11	20	6	26	7	25	NA	11	24	11	10	10	6	NA	14	13	13	15	10	8	22	15	21	19	21	13	9	11	8	5	10	13	NA	21	21	7	30	6	5	15	13	17	18	15	NA	25	6	8	11	12	15	12	34	12	8	11	14	NA	10	6	9	2	7	9	NA	9	9	8	8	11	10	17	7	13	22	NA	6
25	13	14	12	12	19	7	20	8	12	15	15	8	11	20	13	15	9	26	8	9	15	20	9	5	9	29	16	14	9	NA	19	10	9	10	8	14	NA	20	10	7	9	21	11	6	27	10	13	26	19	20	11	19	12	15	16	NA	14	14	14	16	15	7	13	20	26	19	18	NA	7	7	21	20	26	12	11	12	10	7	10	13	NA	8	14	8	4	13	6	NA	10	12	10	17	22	12	14	7	11	17	NA	14
30	9	28	13	18	7	22	13	8	17	9	16	23	13	16	14	17	19	17	7	19	28	20	20	7	15	33	16	7	16	NA	16	7	17	24	11	10	NA	18	12	11	20	19	11	10	16	5	9	13	18	12	18	20	21	17	21	NA	18	18	22	16	17	18	11	19	17	19	28	NA	12	10	15	13	19	16	16	11	13	16	19	12	NA	13	27	11	10	20	6	NA	25	16	7	15	18	22	7	16	8	17	NA	9
35	15	13	34	15	10	15	14	17	12	20	15	19	24	23	14	14	11	18	13	14	17	12	10	9	18	16	18	19	17	NA	22	22	18	23	21	15	NA	13	16	19	21	12	19	9	33	5	12	17	18	11	19	14	14	22	15	NA	20	19	10	16	14	19	9	12	14	18	18	NA	9	19	25	13	22	25	13	9	21	9	19	12	NA	20	12	20	9	14	18	NA	19	17	7	15	18	14	8	21	8	14	NA	8
40	9	24	21	14	16	12	14	11	13	17	24	15	17	24	16	16	13	21	28	10	14	20	12	17	16	21	29	14	25	NA	19	20	14	8	10	16	NA	20	19	19	28	15	12	12	21	9	18	19	17	14	24	13	15	12	19	NA	28	23	16	16	11	24	10	29	25	12	26	NA	12	16	12	17	19	16	13	12	16	22	27	15	NA	10	15	14	13	18	12	NA	13	25	12	22	22	7	15	11	26	15	NA	22
45	12	16	29	23	24	13	21	16	15	27	17	23	40	17	28	21	18	20	21	23	15	17	25	20	15	12	36	16	31	NA	21	24	11	15	7	21	NA	22	24	10	20	20	24	21	25	8	39	22	17	20	24	19	18	20	16	NA	19	24	33	14	15	16	11	22	18	23	17	NA	13	13	17	23	30	16	16	47	23	20	15	17	NA	24	17	24	16	16	15	NA	20	15	17	14	19	17	9	18	17	30	NA	26
