0	1	1	2	2	2	2	2	1	1	2	3	2	2	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	2	3	2	2	1	2	1	3	3	1	1	2	4	1	1	2	2	2	2	1	3	1	1	2	1	2	2	1	2	3	2	2	2	1	1	2	1	3	2	1	1	1	1	2	1	2	2	2	1	2	1	1	1	2	1	2	2	3	1	1	1	1	2	1	2	1	2	2	4	1
5	7	2	6	1	9	9	5	2	9	10	10	3	6	4	14	6	8	1	2	2	1	2	9	6	11	3	5	8	4	9	4	9	5	4	4	2	5	17	5	10	4	24	8	2	6	9	5	8	7	4	11	4	2	3	5	5	4	1	17	12	8	4	6	7	3	6	15	6	6	4	2	6	6	8	8	4	4	6	1	6	1	1	4	4	6	4	3	8	2	6	5	2	3	10	6	1	7	4	8	6
10	3	2	12	18	4	9	5	4	3	10	13	4	6	2	6	4	5	8	1	4	15	18	5	12	6	7	7	20	8	4	5	7	7	3	9	NA	6	8	3	11	3	12	3	5	7	7	5	10	6	5	9	6	7	1	4	8	2	4	8	6	13	12	7	4	5	5	10	4	12	12	3	16	3	10	10	3	2	4	1	7	2	5	6	9	8	5	4	4	5	12	7	0	3	6	2	4	11	8	7	10
15	2	4	5	6	7	5	8	4	8	3	14	5	11	3	6	8	14	10	NA	4	8	5	6	6	5	13	4	11	11	5	11	9	3	4	18	NA	11	6	4	9	11	10	4	8	5	6	5	9	6	7	12	8	9	1	7	12	6	11	5	9	13	8	5	7	9	4	10	8	3	9	10	6	7	8	5	2	6	13	3	7	8	9	14	6	5	7	2	8	5	6	9	NA	1	3	2	2	3	9	6	5
20	3	10	1	3	11	3	7	1	18	2	9	15	6	5	10	2	8	12	NA	4	7	19	9	6	5	10	4	17	10	4	4	16	4	6	7	NA	11	5	3	12	14	10	5	10	3	10	8	10	11	6	14	5	7	1	2	8	2	6	9	6	4	17	12	6	8	7	8	9	4	11	7	6	8	6	5	NA	7	4	12	8	12	5	8	15	5	12	7	7	8	10	12	NA	NA	6	3	4	10	4	9	6
25	7	15	4	6	15	5	9	6	5	4	9	7	8	7	12	14	20	12	NA	10	4	8	10	5	5	10	4	8	8	6	8	11	9	5	5	NA	7	8	3	6	13	9	7	11	5	11	12	6	4	19	3	9	2	4	1	8	4	5	10	8	11	6	5	4	5	5	7	11	6	6	7	7	8	5	14	NA	13	28	13	12	8	6	11	9	8	9	8	9	15	8	16	NA	NA	8	6	4	8	5	5	14
30	13	9	11	14	11	8	8	7	4	8	10	11	14	4	13	12	9	9	NA	8	10	11	16	14	9	5	8	9	7	10	14	11	9	6	11	NA	17	15	3	12	3	8	9	18	7	11	7	10	4	10	10	4	5	6	1	15	3	7	22	8	19	7	7	4	4	8	12	13	8	13	8	7	12	9	6	NA	10	16	8	9	10	7	21	4	8	3	6	8	13	9	6	NA	NA	7	5	7	20	5	8	14
35	3	13	11	7	8	7	5	2	9	6	15	7	8	12	9	11	6	9	NA	10	11	10	13	12	6	14	13	18	3	6	14	12	13	11	8	NA	9	12	10	10	10	9	2	16	10	14	5	9	4	10	14	6	2	6	1	8	4	15	10	7	11	17	13	7	10	6	15	6	6	9	5	9	8	12	11	NA	10	11	10	12	6	4	13	10	5	5	4	8	16	13	7	NA	NA	9	3	2	7	7	10	7
40	4	6	11	7	7	8	10	1	12	7	14	11	19	7	8	13	9	8	NA	9	9	7	9	15	2	19	7	9	8	8	9	22	20	16	5	NA	10	9	13	7	11	9	3	11	15	13	8	13	11	7	9	6	4	8	NA	8	15	5	13	6	17	6	8	13	12	9	15	15	9	5	12	10	7	15	7	NA	11	13	7	14	10	5	9	6	6	6	8	10	22	10	5	NA	NA	8	4	11	7	14	6	9
45	2	19	6	11	6	15	14	0	19	16	11	7	9	5	16	12	5	12	NA	17	8	12	8	14	7	11	7	11	3	23	14	12	15	21	9	NA	22	11	15	8	10	11	1	9	13	6	7	24	8	13	7	4	5	12	NA	12	7	12	14	7	16	15	10	10	15	20	9	7	14	6	12	12	16	8	8	NA	9	17	11	20	12	11	12	10	15	9	4	15	14	13	11	NA	NA	10	6	7	7	7	9	13
