0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	2	1	1	2	4	3	2	1	3	1	1	2	1	1	2	2	3	2	1	1	2	2	1	2	1	2	1	1	2	3	1	1	3	1	2	1	1	1	2	1	3	2	1	1	4	3	1	1	1	1	1	4	3	1	1	3	1	1	3	2	1	3	1	1	3	1	1	1	3	2	1	1	1	1	1	1	1	2	3	1	2	2	1	1	2	1	2	2	1	1	2	1	2	1	2	3	1	2	1	1
10	9	2	6	7	8	2	11	7	5	6	3	14	3	5	2	11	5	7	5	3	10	9	6	7	4	5	4	6	11	8	7	4	5	4	6	5	13	7	3	4	9	4	5	6	10	7	11	8	6	5	9	15	7	7	4	3	7	8	5	3	5	6	5	5	2	4	3	7	5	7	3	5	4	6	2	5	10	3	4	5	3	1	6	4	5	3	4	13	4	3	4	4	7	5	3	6	7	8	3	7
15	7	19	9	20	11	8	25	7	17	17	16	25	6	7	8	16	10	12	15	10	19	13	6	10	8	4	9	10	13	14	9	27	14	7	23	10	23	13	17	9	23	18	9	10	17	18	17	21	15	17	13	28	10	12	17	6	8	23	13	9	13	16	19	6	9	12	8	28	12	22	13	7	18	11	11	13	32	13	21	20	8	11	11	16	15	9	11	23	14	13	12	13	20	14	7	16	7	12	20	11
20	27	26	10	47	23	12	58	13	27	28	30	45	21	22	23	43	24	44	28	24	41	27	16	18	13	20	15	23	45	35	33	37	20	13	45	14	40	20	31	13	65	27	15	25	45	36	40	37	28	31	37	57	20	20	19	20	21	28	19	18	17	51	23	14	9	39	11	58	19	31	24	7	29	29	18	23	65	20	42	50	23	23	17	38	16	22	12	58	41	24	31	25	39	23	22	34	16	25	27	19
25	43	50	51	124	30	20	91	24	57	55	60	124	33	30	53	100	41	86	47	45	70	63	48	40	24	45	36	59	94	44	44	97	56	17	100	33	71	53	71	46	138	48	34	51	97	72	85	67	49	50	61	135	38	35	39	55	33	68	29	36	29	94	41	32	18	89	38	150	44	58	61	13	54	54	22	53	133	43	107	67	57	43	35	55	31	18	21	84	66	35	43	46	94	30	32	64	27	68	50	48
30	86	108	77	197	80	48	183	38	126	108	141	231	71	76	98	248	83	139	103	95	149	110	80	70	40	80	60	91	178	98	75	186	97	40	208	67	147	102	96	98	224	106	58	95	186	127	118	139	123	155	162	249	100	57	68	133	60	133	51	64	63	161	102	62	42	203	69	296	60	103	104	20	92	127	47	92	247	77	231	145	97	91	32	105	60	37	48	143	131	68	86	89	173	72	81	122	53	128	109	75
35	184	208	170	385	193	134	394	52	225	236	277	438	141	98	222	430	186	310	197	188	253	229	124	127	97	155	128	166	363	146	113	333	198	73	407	116	279	171	183	141	460	186	116	161	347	235	185	247	225	313	352	478	193	114	137	247	95	245	146	151	132	310	193	118	56	374	136	520	100	188	159	38	180	212	92	179	470	134	472	316	223	211	72	198	105	46	107	286	292	100	144	170	321	128	163	248	67	251	205	116
40	338	373	311	688	406	257	701	102	411	407	561	792	248	216	416	799	342	593	345	320	504	456	246	239	191	229	291	328	706	302	220	639	293	149	748	197	548	310	337	283	891	423	220	367	678	390	370	515	392	604	655	851	374	237	227	498	197	474	265	288	256	509	381	227	119	741	245	963	217	364	294	53	359	389	136	391	810	234	836	542	333	366	135	421	207	74	182	513	497	207	268	289	580	238	282	541	160	508	390	211
45	645	656	646	1221	718	475	1150	191	840	723	986	1330	497	436	741	1346	670	999	602	594	925	863	470	391	370	461	502	621	1256	560	457	1073	589	261	1435	409	988	597	572	463	1337	822	466	653	1146	703	644	977	699	1009	1021	1344	711	378	405	839	352	794	481	552	536	936	669	406	196	1284	454	1524	367	653	527	102	640	737	286	696	1369	461	1368	927	655	685	205	723	457	98	340	902	971	395	501	534	1042	484	534	926	315	973	759	363
50	1153	1171	1088	1898	1284	791	1823	375	1364	1257	1608	1953	841	781	1325	2148	1115	1716	1030	1049	1553	1405	889	752	741	845	929	1103	1910	991	761	1641	1018	534	2060	801	1647	1028	1046	778	2083	1423	795	1172	1827	1325	1183	1576	1246	1640	1591	2112	1215	679	739	1437	642	1446	886	1024	926	1470	1254	758	412	1956	715	2269	709	1142	988	190	1147	1179	542	1238	2020	871	2163	1575	1167	1209	463	1242	824	195	637	1549	1533	719	855	999	1639	968	915	1561	632	1459	1263	693
55	1804	1845	1694	2614	2019	1437	2535	682	2116	1946	2236	2594	1523	1298	2041	2733	1715	2231	1715	1804	2229	2169	1591	1363	1261	1459	1579	1850	2699	1585	1294	2395	1623	877	2824	1320	2353	1668	1677	1368	2599	2104	1318	1774	2635	2077	1803	2323	1983	2334	2311	2676	1910	1156	1319	2156	1062	1965	1478	1701	1658	2221	1905	1256	705	2582	1269	3021	1257	1711	1612	417	1788	1936	940	1939	2649	1477	2922	2309	1809	1874	822	1876	1394	363	1221	2175	2091	1211	1418	1736	2345	1462	1499	2283	993	2295	1970	1144
