0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	2	1	2	4	2	2	2	1	1	2	3	1	1	1	1	2	1	1	1	2	2	2	2	1	1	1	1	1	1	3	1	2	2	2	1	3	2	1	1	2	NA	1	2	1	2	2	3	1	0	1	2	4	3	2	1	1	1	2	1	1	2	2	1	1	2	2	2	1	2	2	2	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	1	3	2	1	1	4	1	3	1	1	2	1	1
10	3	2	5	3	2	2	1	3	3	5	4	1	1	3	5	3	8	2	6	2	2	4	3	2	2	6	2	5	2	5	5	3	4	6	4	4	5	3	1	2	NA	3	1	5	6	5	2	1	NA	1	5	3	5	3	2	2	4	4	NA	4	2	3	7	4	4	3	5	6	2	2	2	2	2	3	3	2	6	5	3	2	2	1	8	3	4	5	5	10	4	5	1	4	6	4	3	6	4	4	2	3
15	3	6	5	6	4	3	10	6	3	10	8	2	3	4	5	7	5	4	13	4	6	8	3	5	1	7	5	6	1	5	3	13	7	6	6	9	8	8	3	1	NA	8	7	4	7	8	6	5	NA	3	9	9	6	6	3	4	12	7	NA	6	3	3	10	4	3	8	7	9	4	2	13	2	5	3	8	4	6	5	8	2	3	7	6	5	5	5	7	15	11	10	4	6	5	6	11	9	5	3	6	6
20	6	15	7	9	4	4	13	3	11	17	12	3	7	6	5	13	9	5	12	5	7	15	3	10	1	7	10	3	1	7	8	13	12	10	8	7	3	9	5	1	NA	8	12	9	9	13	7	7	NA	7	5	9	11	6	2	13	10	8	NA	16	5	7	25	5	6	14	8	15	14	3	15	3	9	3	8	5	7	5	10	6	3	7	5	11	4	6	7	18	18	20	8	6	5	7	13	17	10	8	10	9
25	5	18	12	10	4	6	14	9	7	29	16	6	7	9	5	19	11	7	20	8	9	17	3	19	1	11	13	5	1	12	16	16	13	11	7	16	8	17	5	2	NA	9	16	15	18	21	8	11	NA	6	9	12	18	8	5	19	13	11	NA	15	14	18	36	7	6	18	16	25	12	3	19	4	16	7	23	12	13	9	10	6	10	18	7	18	6	8	15	28	19	28	6	7	3	10	17	25	9	5	13	14
30	7	28	15	10	9	5	21	10	7	45	20	5	9	9	6	25	15	7	25	13	8	19	8	32	2	15	18	12	2	14	18	20	17	13	10	15	7	24	3	5	NA	8	24	13	17	21	13	12	NA	5	13	13	28	15	6	23	13	16	NA	21	24	10	41	13	8	22	13	35	16	5	31	5	24	11	33	12	26	8	10	6	18	22	19	26	9	7	17	31	26	36	14	8	2	13	20	28	14	9	15	20
35	10	39	27	9	13	4	22	15	14	49	28	10	11	16	10	27	15	10	25	15	16	33	10	39	2	22	24	18	4	18	21	30	18	15	13	24	10	27	7	10	NA	10	36	27	20	31	7	19	NA	8	19	13	40	12	6	23	23	11	NA	22	29	16	67	15	9	35	23	32	23	4	40	11	33	21	46	18	39	18	16	10	22	32	25	31	15	9	13	46	28	51	11	10	6	21	24	29	11	18	12	28
40	11	49	34	15	15	9	26	22	17	71	38	9	27	19	18	27	16	15	28	22	16	43	21	61	2	24	31	21	8	29	15	34	37	17	17	33	19	37	13	13	NA	15	46	36	26	44	14	30	NA	13	21	18	54	15	5	37	33	21	NA	29	41	26	89	20	11	53	21	49	25	10	50	17	46	30	62	15	44	12	11	17	35	49	42	45	15	7	25	69	53	61	21	13	11	33	27	47	11	17	26	26
45	9	48	59	20	28	6	34	31	19	103	29	13	38	20	27	55	19	9	28	30	23	51	18	79	3	34	35	25	5	22	28	43	45	29	27	57	17	50	19	19	NA	22	77	41	33	42	22	26	NA	14	29	23	78	26	13	51	43	19	NA	38	63	37	126	30	14	67	23	71	35	16	78	31	64	38	86	28	66	23	9	17	40	61	45	59	21	15	43	69	62	74	16	18	15	44	58	40	22	24	35	41
50	13	65	83	31	30	8	38	36	31	148	46	15	51	25	38	79	21	15	36	47	36	72	33	112	4	41	45	31	14	32	36	54	37	49	34	68	31	59	26	28	NA	32	118	52	37	58	32	40	NA	15	47	30	88	36	14	49	39	27	NA	45	80	37	167	51	14	77	38	88	28	16	87	39	61	49	112	23	88	29	9	26	57	85	64	70	19	20	54	101	84	97	22	32	21	75	74	61	25	32	42	47
55	26	84	105	32	39	7	61	46	39	207	57	25	68	32	57	84	25	25	60	48	42	82	39	134	3	50	50	42	18	41	44	72	48	55	51	102	30	73	39	38	NA	33	128	75	43	74	29	49	NA	22	55	47	107	52	19	93	52	33	NA	58	91	64	201	51	33	102	53	112	43	18	134	59	85	61	152	25	112	51	13	30	79	123	70	87	24	28	77	123	142	133	39	55	26	84	104	69	35	41	53	71
60	30	94	132	41	49	6	82	63	55	254	88	28	80	42	79	90	42	32	67	59	51	101	40	193	3	70	76	48	27	63	51	95	65	66	54	129	47	103	46	57	NA	74	143	94	53	101	48	65	NA	33	71	47	147	57	26	140	48	42	NA	81	127	99	291	76	30	118	69	132	67	33	173	70	127	76	208	33	128	63	15	52	71	145	94	140	34	28	103	162	168	168	54	54	38	107	136	88	36	54	78	78
65	45	126	196	50	62	16	120	85	66	309	134	29	111	60	98	136	38	31	92	85	79	117	59	264	7	89	95	59	34	80	76	123	96	95	77	172	69	139	57	84	NA	99	180	121	68	146	58	89	NA	47	78	56	203	80	29	193	70	63	NA	93	150	135	350	84	50	169	104	175	71	45	240	104	191	105	274	46	167	113	17	75	129	202	137	173	41	29	148	226	206	250	60	77	50	132	168	111	49	57	108	117
70	56	176	240	76	93	24	160	109	87	362	164	36	120	89	111	208	54	35	122	99	124	161	77	339	8	138	122	80	46	104	89	171	131	114	120	236	86	162	87	124	NA	126	223	140	81	171	68	124	NA	59	110	70	265	108	42	257	104	89	NA	133	194	194	435	128	68	211	159	222	106	72	327	135	235	133	391	53	249	151	28	116	156	265	184	246	47	41	185	289	271	351	89	100	72	169	212	134	75	73	145	163
