0	1	1	3	3	1	1	1	1	3	3	3	2	2	1	4	1	4	2	2	1	2	1	2	2	1	3	2	1	1	2	2	2	2	1	1	1	1	2	1	2	2	2	4	1	1	1	2	1	1	1	2	2	1	1	1	2	2	1	1	2	1	1	1	2	1	3	1	2	3	3	1	2	2	2	0	3	1	2	1	2	2	3	1	1	2	1	2	1	1	1	3	1	2	1	3	2	2	2	2	1
5	2	0	8	8	3	2	7	3	10	11	13	8	9	7	16	6	19	11	5	11	2	5	8	4	7	8	10	5	NA	6	10	18	7	3	2	17	2	5	5	5	NA	10	16	11	2	6	8	2	6	3	10	2	7	5	0	8	17	3	10	7	4	7	8	5	7	18	6	7	14	10	13	11	4	7	NA	8	4	8	5	15	7	9	1	7	3	7	9	5	5	6	8	13	12	2	6	6	5	6	5	5
10	11	NA	11	8	4	NA	15	7	8	15	14	7	9	10	21	12	20	15	12	20	4	NA	10	3	13	17	28	6	NA	16	19	25	19	NA	6	17	2	16	7	10	NA	12	10	16	10	9	15	5	9	11	21	4	16	17	NA	13	27	7	14	3	7	17	12	7	7	16	12	15	17	10	26	12	9	3	NA	16	12	14	3	37	10	8	6	25	12	9	15	5	12	16	7	24	21	1	7	10	13	14	14	7
15	6	NA	15	12	14	NA	19	17	17	29	11	10	16	19	26	18	39	23	14	28	8	NA	17	5	18	10	43	8	NA	11	19	34	33	NA	15	15	1	24	12	25	NA	19	13	20	14	21	20	8	11	10	31	4	27	35	NA	23	36	9	18	3	14	28	17	8	19	20	13	21	22	8	36	21	11	9	NA	9	11	22	7	87	15	3	6	32	25	22	22	10	30	14	11	39	29	3	13	6	21	20	20	14
20	10	NA	26	12	21	NA	21	11	22	31	13	7	22	23	49	32	56	34	16	40	10	NA	26	4	20	13	54	9	NA	13	29	46	52	NA	25	34	0	39	14	36	NA	26	16	13	15	31	21	17	28	8	30	4	42	35	NA	33	61	14	21	6	29	35	14	11	29	28	10	28	39	20	41	19	11	19	NA	10	10	37	11	107	25	2	3	69	47	20	27	10	19	20	23	49	31	5	26	12	28	25	23	19
25	27	NA	56	6	28	NA	22	19	36	45	17	13	22	24	61	57	74	37	26	42	16	NA	26	5	29	22	70	8	NA	17	39	42	76	NA	29	58	NA	39	23	50	NA	37	13	18	11	45	41	28	42	8	33	3	77	48	NA	56	60	20	27	5	50	47	15	14	31	49	23	29	72	20	41	26	17	22	NA	17	20	45	11	153	25	NA	7	103	54	12	35	6	23	18	26	48	53	7	24	7	39	26	26	45
30	24	NA	76	3	20	NA	25	26	51	75	31	12	31	35	71	85	78	43	29	46	11	NA	50	9	26	34	66	18	NA	22	31	58	79	NA	32	76	NA	41	30	52	NA	42	18	21	10	71	56	58	73	6	52	6	83	33	NA	68	81	28	36	4	91	51	18	23	32	75	19	25	74	19	68	30	26	23	NA	24	24	70	10	200	25	NA	6	127	65	16	40	13	31	24	35	61	85	3	61	10	40	41	18	64
35	13	NA	112	1	24	NA	22	40	54	99	41	24	37	36	88	113	95	45	29	41	13	NA	80	26	47	27	78	34	NA	34	71	65	86	NA	67	116	NA	78	51	59	NA	34	25	20	20	83	68	83	95	6	74	13	105	25	NA	86	133	42	48	1	96	69	18	24	35	84	36	37	83	33	75	40	41	23	NA	24	35	75	6	218	26	NA	6	155	117	32	54	14	33	25	36	49	81	6	71	17	40	50	16	69
40	14	NA	153	NA	40	NA	25	41	91	100	34	27	44	36	123	110	126	62	33	82	16	NA	97	50	67	46	122	50	NA	45	84	88	104	NA	88	152	NA	129	79	83	NA	36	30	56	36	110	114	62	93	6	63	19	159	35	NA	113	159	58	37	NA	144	101	19	33	54	67	42	55	111	42	90	73	57	34	NA	29	54	91	7	242	60	NA	8	209	153	43	67	14	30	43	45	62	92	7	67	13	73	59	24	96
45	24	NA	221	NA	50	NA	38	35	117	125	37	36	58	50	158	139	138	61	36	100	39	NA	143	57	80	67	161	78	NA	43	104	113	126	NA	102	163	NA	195	93	114	NA	53	34	71	56	152	125	74	95	18	84	17	183	56	NA	161	189	73	53	NA	179	113	23	47	50	77	38	59	137	56	93	74	87	38	NA	37	90	117	3	283	77	NA	14	266	214	66	91	29	49	40	45	95	111	5	108	14	80	64	21	132
