0	2	1	1	1	1	1	2	1	2	3	4	2	2	3	2	1	2	2	1	2	1	3	1	1	2	1	1	1	1	2	2	3	1	2	1	1	2	3	2	1	1	3	2	1	3	1	1	2	1	1	1	3	2	2	3	1	1	1	3	2	1	2	1	1	1	1	1	1	1	1	1	1	2	2	3	3	1	1	2	2	2	1	1	2	2	1	2	1	1	3	3	1	1	2	1	3	2	1	2	1
5	6	8	6	5	NA	11	10	5	2	3	10	6	13	13	10	13	7	3	6	5	2	13	5	3	6	3	7	1	3	9	12	6	7	6	9	3	6	6	8	3	3	8	10	11	8	1	2	7	1	1	6	6	4	7	11	0	6	6	12	5	5	4	5	5	4	8	5	8	1	NA	19	6	7	0	4	10	5	10	8	13	11	6	NA	11	5	NA	7	5	3	9	6	6	4	4	1	14	8	10	3	5
10	13	23	7	17	NA	21	14	17	3	7	25	8	16	12	14	17	11	1	6	14	4	20	0	4	10	5	11	4	4	29	27	8	16	4	14	9	7	13	14	4	5	11	7	15	8	1	NA	13	4	5	2	9	6	12	16	NA	5	10	14	12	14	7	7	20	11	5	11	11	10	NA	17	10	8	NA	7	11	13	18	10	19	17	14	NA	18	5	NA	14	7	6	22	9	12	8	8	1	33	5	17	2	8
15	18	32	11	24	NA	18	15	12	6	9	31	9	26	18	26	23	23	5	4	26	10	16	NA	4	20	7	14	3	10	49	38	7	24	3	24	10	15	17	20	4	13	21	11	20	19	NA	NA	17	10	6	4	11	11	17	17	NA	10	16	17	15	16	5	21	35	17	5	16	10	24	NA	33	17	15	NA	18	23	20	33	18	24	19	26	NA	22	12	NA	27	6	2	27	8	23	9	13	NA	46	2	14	6	19
20	21	48	23	30	NA	26	19	17	11	11	49	14	23	27	25	22	23	7	14	24	17	17	NA	11	18	18	20	1	16	62	63	11	29	6	42	12	22	21	27	12	24	27	23	40	27	NA	NA	26	13	3	6	22	14	21	26	NA	17	23	19	15	26	9	34	37	19	12	31	14	21	NA	42	21	12	NA	25	36	31	42	28	41	29	24	NA	27	26	NA	31	17	8	26	11	27	11	12	NA	60	2	19	12	42
25	20	63	19	37	NA	22	23	23	15	12	61	17	24	34	37	31	22	9	14	36	19	27	NA	13	13	16	36	1	19	91	83	17	50	9	40	23	26	17	32	8	29	54	29	46	23	NA	NA	29	14	1	13	40	22	33	26	NA	25	18	33	16	25	10	49	70	30	13	45	15	28	NA	74	18	24	NA	22	43	30	43	39	35	33	28	NA	54	19	NA	30	18	12	22	21	43	24	10	NA	75	NA	12	21	67
30	15	69	38	50	NA	30	44	35	24	20	54	25	44	43	54	37	29	16	12	45	15	36	NA	20	32	20	50	NA	35	99	89	39	55	11	51	40	49	21	28	11	36	77	37	51	35	NA	NA	29	15	3	18	34	28	40	35	NA	39	20	31	16	29	13	50	99	43	23	53	8	35	NA	96	22	24	NA	20	62	30	54	54	70	38	42	NA	61	19	NA	49	19	12	19	30	53	32	18	NA	99	NA	8	29	110
35	30	65	41	51	NA	40	49	38	46	14	47	32	77	38	37	41	40	19	7	65	8	49	NA	30	54	19	66	NA	36	138	130	46	52	20	63	54	84	20	50	15	63	88	43	75	55	NA	NA	35	28	2	25	37	21	37	20	NA	49	38	53	15	47	37	47	110	81	38	78	21	45	NA	122	28	26	NA	18	69	27	61	55	125	48	63	NA	57	13	NA	70	11	24	33	45	85	34	13	NA	109	NA	6	29	128
40	49	91	58	38	NA	46	70	39	48	36	38	37	123	35	45	60	59	28	12	99	24	59	NA	46	64	28	65	NA	45	144	205	59	71	35	102	61	108	22	57	22	62	121	61	91	70	NA	NA	67	29	4	30	59	16	47	28	NA	58	44	58	23	55	36	60	134	89	48	77	32	60	NA	140	31	41	NA	37	94	27	70	50	157	36	80	NA	74	14	NA	86	10	32	40	54	110	37	16	NA	115	NA	9	31	172
45	41	131	64	48	NA	61	97	51	50	33	38	47	145	35	60	83	67	37	16	107	32	74	NA	49	87	48	102	NA	43	198	265	83	79	37	108	47	106	32	71	25	81	146	79	86	79	NA	NA	97	34	11	41	81	18	65	40	NA	71	38	62	29	82	44	82	126	90	46	79	42	76	NA	160	41	43	NA	42	114	37	93	38	198	31	115	NA	89	10	NA	91	12	33	54	72	160	64	16	NA	135	NA	10	27	230
50	67	193	91	57	NA	62	123	50	82	43	50	41	183	43	105	114	75	48	24	111	34	72	NA	48	105	58	119	NA	54	226	329	97	114	69	146	50	147	21	106	17	106	199	77	118	83	NA	NA	93	46	12	57	106	23	68	37	NA	97	52	74	34	93	47	121	146	120	52	129	41	97	NA	212	33	51	NA	39	123	68	141	51	276	23	143	NA	121	23	NA	105	32	53	82	56	199	77	15	NA	163	NA	20	40	299
