0	2.5e-05	6.25e-06	6.25e-06	6.25e-06	6.25e-06	1.25e-05	1.25e-05	6.25e-06	6.25e-06	6.25e-06	6.25e-06	6.25e-06	1.25e-05	6.25e-06	6.25e-06	6.25e-06	6.25e-06	6.25e-06	1.25e-05	6.25e-06	1.25e-05	6.25e-06	6.25e-06	1.25e-05	6.25e-06	6.25e-06	6.25e-06	1.25e-05	6.25e-06	1.25e-05	6.25e-06	6.25e-06	6.25e-06	1.875e-05	1.875e-05	6.25e-06	6.25e-06	6.25e-06	1.25e-05	6.25e-06	6.25e-06	6.25e-06	6.25e-06	6.25e-06	1.25e-05	1.875e-05	1.875e-05	1.25e-05	1.25e-05	6.25e-06	6.25e-06	6.25e-06	1.25e-05	1.25e-05	6.25e-06	6.25e-06	1.25e-05	1.875e-05	1.25e-05	1.25e-05	1.875e-05	1.25e-05	6.25e-06	1.25e-05	1.875e-05	1.875e-05	1.25e-05	1.875e-05	1.25e-05	1.25e-05	6.25e-06	6.25e-06	1.875e-05	1.25e-05	1.25e-05	6.25e-06	6.25e-06	6.25e-06	6.25e-06	1.25e-05	6.25e-06	6.25e-06	1.25e-05	6.25e-06	1.25e-05	1.875e-05	6.25e-06	1.25e-05	6.25e-06	1.25e-05	6.25e-06	1.25e-05	6.25e-06	1.25e-05	6.25e-06	1.875e-05	1.25e-05	6.25e-06	1.25e-05	6.25e-06
5	8.125e-05	3.125e-05	NA	3.125e-05	1.875e-05	1.25e-05	5.625e-05	6.25e-06	4.375e-05	6.25e-05	2.5e-05	3.75e-05	1.25e-05	3.125e-05	3.125e-05	2.5e-05	4.375e-05	1.875e-05	2.5e-05	3.75e-05	1.25e-05	8.75e-05	6.25e-06	3.125e-05	1.25e-05	4.375e-05	NA	5e-05	6.25e-06	1.25e-05	4.375e-05	1.25e-05	5.625e-05	8.75e-05	3.125e-05	3.125e-05	NA	1.25e-05	5e-05	3.75e-05	4.375e-05	1.875e-05	5e-05	2.5e-05	4.375e-05	7.5e-05	0.0001125	1.875e-05	1e-04	2.5e-05	3.125e-05	5e-05	3.125e-05	5.625e-05	2.5e-05	5.625e-05	3.125e-05	3.75e-05	3.75e-05	5e-05	7.5e-05	2.5e-05	3.125e-05	9.375e-05	7.5e-05	3.75e-05	3.125e-05	4.375e-05	5e-05	4.375e-05	1.25e-05	6.25e-06	6.25e-05	3.125e-05	3.75e-05	4.375e-05	2.5e-05	2.5e-05	6.25e-06	2.5e-05	6.25e-06	NA	5e-05	3.75e-05	4.375e-05	3.125e-05	3.125e-05	6.875e-05	5.625e-05	9.375e-05	6.25e-06	5e-05	2.5e-05	9.375e-05	6.25e-06	7.5e-05	5e-05	1.25e-05	6.875e-05	1.875e-05
10	8.75e-05	5e-05	NA	4.375e-05	3.75e-05	NA	0.0001125	NA	8.75e-05	0.00014375	2.5e-05	9.375e-05	NA	7.5e-05	9.375e-05	4.375e-05	8.75e-05	4.375e-05	3.125e-05	5.625e-05	NA	0.00018125	NA	1e-04	3.125e-05	9.375e-05	NA	0.00010625	NA	NA	0.00010625	3.75e-05	8.125e-05	0.0001125	5e-05	5e-05	NA	2.5e-05	8.75e-05	6.25e-05	0.0001125	1.875e-05	8.125e-05	6.875e-05	6.875e-05	0.00013125	0.00016875	NA	0.0002375	NA	4.375e-05	9.375e-05	5e-05	0.0001125	5e-05	0.000125	3.75e-05	9.375e-05	3.75e-05	6.875e-05	0.00010625	5e-05	3.75e-05	0.00020625	9.375e-05	7.5e-05	6.25e-05	4.375e-05	6.25e-05	6.875e-05	NA	NA	1e-04	5.625e-05	5e-05	5.625e-05	4.375e-05	6.875e-05	NA	5e-05	NA	NA	1e-04	1e-04	7.5e-05	6.875e-05	5e-05	0.00016875	0.0002125	0.00019375	NA	5.625e-05	NA	0.0001875	NA	0.0001625	1e-04	NA	8.75e-05	7.5e-05
15	0.00010625	5e-05	NA	5e-05	8.75e-05	NA	0.00016875	NA	0.00020625	0.000175	NA	0.00016875	NA	NA	0.00018125	5e-05	1e-04	5e-05	NA	5.625e-05	NA	0.00021875	NA	0.00014375	NA	9.375e-05	NA	0.00015625	NA	NA	0.00020625	9.375e-05	NA	NA	5.625e-05	9.375e-05	NA	4.375e-05	0.00013125	0.00013125	2e-04	NA	0.00010625	1e-04	0.00011875	0.00019375	0.00020625	NA	0.000325	NA	6.25e-05	0.000125	8.75e-05	0.000125	9.375e-05	0.00020625	NA	0.00014375	NA	6.875e-05	0.00013125	5e-05	NA	0.00031875	9.375e-05	0.000175	7.5e-05	NA	0.00011875	6.875e-05	NA	NA	0.0001125	6.875e-05	6.875e-05	6.25e-05	8.125e-05	0.00016875	NA	6.25e-05	NA	NA	0.00021875	0.00013125	0.00010625	8.75e-05	6.875e-05	0.00025	0.00041875	0.0002375	NA	7.5e-05	NA	0.000275	NA	0.0002375	0.00011875	NA	0.00011875	0.00015625
20	0.00019375	NA	NA	7.5e-05	0.0001625	NA	2e-04	NA	0.00025625	0.000225	NA	0.0002125	NA	NA	0.00025625	NA	0.00010625	6.875e-05	NA	6.875e-05	NA	0.0002875	NA	0.00014375	NA	NA	NA	0.0001875	NA	NA	0.00029375	0.0001375	NA	NA	8.125e-05	0.00014375	NA	8.125e-05	NA	0.00018125	0.00025	NA	0.00014375	0.00013125	0.00020625	0.0002125	0.0002125	NA	4e-04	NA	8.75e-05	0.00013125	1e-04	0.00021875	0.00014375	0.00025	NA	2e-04	NA	NA	0.00016875	NA	NA	0.0004375	NA	0.00019375	8.125e-05	NA	2e-04	NA	NA	NA	NA	7.5e-05	0.00014375	6.25e-05	0.00011875	0.00026875	NA	NA	NA	NA	0.00029375	0.00018125	0.000125	0.0001125	8.125e-05	0.000275	0.0005125	0.0003125	NA	9.375e-05	NA	4e-04	NA	0.00034375	0.000125	NA	0.00015	0.00024375
25	0.000325	NA	NA	8.75e-05	0.00023125	NA	0.00024375	NA	0.0002625	0.000275	NA	0.00025625	NA	NA	0.00030625	NA	NA	6.875e-05	NA	6.875e-05	NA	0.00036875	NA	NA	NA	NA	NA	0.00020625	NA	NA	0.0004125	0.00019375	NA	NA	8.125e-05	0.000175	NA	0.000125	NA	0.0002125	0.0002875	NA	0.0001625	0.00016875	0.00024375	0.00023125	0.00021875	NA	0.000425	NA	0.0001125	0.00014375	0.00015625	0.00024375	0.00020625	0.0002875	NA	0.0002375	NA	NA	0.00020625	NA	NA	0.0005875	NA	2e-04	8.75e-05	NA	0.00025625	NA	NA	NA	NA	NA	0.00023125	NA	0.00018125	0.00036875	NA	NA	NA	NA	0.0003625	0.00024375	0.000125	NA	NA	0.00028125	6e-04	0.00035625	NA	NA	NA	0.0004875	NA	0.000375	NA	NA	0.000175	0.0003625
30	0.00043125	NA	NA	NA	0.000275	NA	0.00028125	NA	NA	3e-04	NA	3e-04	NA	NA	0.00034375	NA	NA	0.00011875	NA	NA	NA	5e-04	NA	NA	NA	NA	NA	0.00020625	NA	NA	0.00054375	0.000225	NA	NA	NA	0.0002125	NA	0.00020625	NA	0.0002125	0.0003375	NA	0.000175	0.00020625	0.00026875	NA	0.00023125	NA	0.00045	NA	0.00015625	0.000175	0.00018125	NA	0.00025625	0.0002875	NA	0.00024375	NA	NA	0.0002375	NA	NA	0.00078125	NA	NA	NA	NA	3e-04	NA	NA	NA	NA	NA	3e-04	NA	0.00025	4e-04	NA	NA	NA	NA	0.0003625	0.00034375	NA	NA	NA	NA	0.00065	0.00046875	NA	NA	NA	0.00058125	NA	0.00043125	NA	NA	0.00019375	0.00041875
35	0.00049375	NA	NA	NA	0.000275	NA	NA	NA	NA	0.000325	NA	0.0003375	NA	NA	0.00040625	NA	NA	2e-04	NA	NA	NA	0.000575	NA	NA	NA	NA	NA	0.00021875	NA	NA	0.00055625	0.00023125	NA	NA	NA	0.0002375	NA	0.00024375	NA	NA	0.00035625	NA	NA	0.00025	0.0002875	NA	0.0002375	NA	0.00045625	NA	0.0002125	2e-04	0.00018125	NA	0.0002875	NA	NA	0.00025	NA	NA	0.00028125	NA	NA	0.000825	NA	NA	NA	NA	0.0003125	NA	NA	NA	NA	NA	0.00034375	NA	0.00029375	0.00040625	NA	NA	NA	NA	NA	0.000475	NA	NA	NA	NA	0.0007125	0.0005625	NA	NA	NA	0.00064375	NA	0.00043125	NA	NA	0.00019375	0.00050625
40	0.0005625	NA	NA	NA	NA	NA	NA	NA	NA	0.000325	NA	0.0003625	NA	NA	0.0004375	NA	NA	0.000225	NA	NA	NA	0.0006375	NA	NA	NA	NA	NA	0.00023125	NA	NA	0.0005875	NA	NA	NA	NA	0.00025	NA	0.000275	NA	NA	NA	NA	NA	0.000275	0.00029375	NA	0.00024375	NA	NA	NA	0.00025	NA	NA	NA	0.0003125	NA	NA	NA	NA	NA	0.00029375	NA	NA	0.00095625	NA	NA	NA	NA	0.00031875	NA	NA	NA	NA	NA	0.00039375	NA	0.0003375	NA	NA	NA	NA	NA	NA	0.0006125	NA	NA	NA	NA	0.00075625	0.00061875	NA	NA	NA	0.0007625	NA	0.0004375	NA	NA	NA	0.00055
45	0.00063125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00040625	NA	NA	0.0005125	NA	NA	0.00025625	NA	NA	NA	0.00074375	NA	NA	NA	NA	NA	0.00023125	NA	NA	0.0005875	NA	NA	NA	NA	0.00026875	NA	0.00028125	NA	NA	NA	NA	NA	0.00030625	NA	NA	0.00025	NA	NA	NA	3e-04	NA	NA	NA	0.000325	NA	NA	NA	NA	NA	0.00031875	NA	NA	0.00108125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00044375	NA	0.00040625	NA	NA	NA	NA	NA	NA	0.00070625	NA	NA	NA	NA	0.00076875	0.00069375	NA	NA	NA	0.0008375	NA	NA	NA	NA	NA	0.00056875
