0	6.25e-06	6.25e-06	6.25e-06	1.875e-05	1.25e-05	1.25e-05	1.25e-05	6.25e-06	1.25e-05	1.875e-05	6.25e-06	6.25e-06	6.25e-06	6.25e-06	6.25e-06	6.25e-06	1.875e-05	1.25e-05	1.875e-05	6.25e-06	1.875e-05	1.25e-05	1.25e-05	6.25e-06	1.25e-05	6.25e-06	1.25e-05	1.25e-05	6.25e-06	6.25e-06	1.25e-05	1.875e-05	1.25e-05	6.25e-06	6.25e-06	6.25e-06	1.875e-05	6.25e-06	6.25e-06	1.25e-05	6.25e-06	6.25e-06	6.25e-06	1.25e-05	1.875e-05	1.875e-05	1.25e-05	1.25e-05	1.25e-05	1.25e-05	6.25e-06	6.25e-06	1.25e-05	6.25e-06	6.25e-06	1.25e-05	6.25e-06	1.875e-05	1.25e-05	1.25e-05	1.25e-05	1.25e-05	6.25e-06	1.25e-05	6.25e-06	6.25e-06	6.25e-06	1.25e-05	1.25e-05	6.25e-06	1.25e-05	6.25e-06	6.25e-06	6.25e-06	6.25e-06	6.25e-06	1.25e-05	6.25e-06	1.875e-05	6.25e-06	6.25e-06	1.25e-05	1.875e-05	1.25e-05	1.25e-05	1.875e-05	1.25e-05	1.25e-05	6.25e-06	1.25e-05	6.25e-06	6.25e-06	6.25e-06	1.25e-05	6.25e-06	6.25e-06	1.25e-05	6.25e-06	6.25e-06	1.25e-05
5	2.5e-05	1.25e-05	1.25e-05	3.125e-05	6.875e-05	8.125e-05	4.375e-05	5.625e-05	3.125e-05	8.125e-05	3.75e-05	NA	2.5e-05	1.25e-05	NA	3.75e-05	6.875e-05	5e-05	5.625e-05	4.375e-05	0.00010625	3.75e-05	1.875e-05	1.875e-05	1.875e-05	1.25e-05	1.25e-05	6.25e-05	5.625e-05	NA	1.875e-05	8.125e-05	2.5e-05	1.25e-05	6.25e-06	2.5e-05	5e-05	1.875e-05	1.875e-05	3.75e-05	3.75e-05	1.25e-05	3.75e-05	6.875e-05	6.25e-05	4.375e-05	2.5e-05	4.375e-05	1.875e-05	6.25e-05	5e-05	3.125e-05	4.375e-05	1.25e-05	3.75e-05	3.75e-05	1.25e-05	5.625e-05	4.375e-05	5.625e-05	1.25e-05	1.875e-05	3.125e-05	5e-05	4.375e-05	1.25e-05	1.25e-05	1.875e-05	7.5e-05	1.25e-05	5e-05	1.25e-05	6.25e-06	2.5e-05	4.375e-05	6.25e-06	4.375e-05	4.375e-05	5.625e-05	3.125e-05	1.25e-05	3.125e-05	4.375e-05	6.875e-05	5e-05	2.5e-05	2.5e-05	7.5e-05	6.25e-06	5e-05	3.75e-05	4.375e-05	3.125e-05	4.375e-05	6.25e-05	3.125e-05	6.25e-05	1.875e-05	2.5e-05	4.375e-05
10	5e-05	2.5e-05	3.125e-05	4.375e-05	0.000125	1e-04	9.375e-05	6.875e-05	3.75e-05	0.0001375	8.75e-05	NA	5.625e-05	NA	NA	6.25e-05	1e-04	0.000175	0.0001375	0.0001125	2e-04	5e-05	NA	4.375e-05	NA	2.5e-05	NA	6.875e-05	8.125e-05	NA	4.375e-05	0.000125	NA	5e-05	NA	6.25e-05	5.625e-05	NA	2.5e-05	6.25e-05	0.00011875	NA	6.875e-05	0.00010625	8.75e-05	8.125e-05	7.5e-05	1e-04	6.25e-05	1e-04	8.75e-05	8.125e-05	0.00010625	1.875e-05	8.75e-05	4.375e-05	NA	7.5e-05	5.625e-05	9.375e-05	NA	3.75e-05	3.75e-05	8.125e-05	8.75e-05	3.75e-05	1.875e-05	3.125e-05	8.75e-05	NA	7.5e-05	1.875e-05	NA	3.75e-05	7.5e-05	NA	0.0001125	0.000125	8.75e-05	6.25e-05	NA	3.125e-05	5e-05	0.0001625	7.5e-05	3.75e-05	4.375e-05	9.375e-05	NA	9.375e-05	7.5e-05	0.0001125	4.375e-05	6.25e-05	1e-04	3.75e-05	8.125e-05	6.25e-05	3.125e-05	0.00013125
15	NA	NA	3.125e-05	6.25e-05	0.00018125	0.000125	0.0001125	9.375e-05	5e-05	0.000175	1e-04	NA	8.75e-05	NA	NA	8.125e-05	1e-04	0.00021875	2e-04	0.0001875	0.0002625	6.25e-05	NA	4.375e-05	NA	NA	NA	7.5e-05	8.75e-05	NA	NA	0.00015625	NA	8.75e-05	NA	1e-04	0.00010625	NA	NA	8.75e-05	0.00015625	NA	8.75e-05	0.000125	0.00013125	8.75e-05	0.0001125	0.0001375	0.00010625	0.0001625	0.00019375	0.00015	0.00025	NA	0.00011875	NA	NA	8.125e-05	6.875e-05	0.00013125	NA	5.625e-05	8.75e-05	0.00014375	9.375e-05	6.25e-05	1.875e-05	4.375e-05	9.375e-05	NA	8.125e-05	3.125e-05	NA	6.25e-05	NA	NA	0.00016875	0.00018125	0.00015	1e-04	NA	NA	NA	0.0002375	1e-04	4.375e-05	9.375e-05	9.375e-05	NA	1e-04	NA	0.0001375	5.625e-05	0.00010625	0.0001625	6.25e-05	8.75e-05	9.375e-05	4.375e-05	0.00021875
20	NA	NA	NA	NA	0.00026875	NA	0.000125	0.00013125	8.75e-05	0.00019375	0.00013125	NA	0.0001125	NA	NA	1e-04	NA	0.00026875	0.00029375	0.00028125	0.00026875	0.0001125	NA	NA	NA	NA	NA	NA	9.375e-05	NA	NA	0.00016875	NA	1e-04	NA	0.0001375	0.00018125	NA	NA	8.75e-05	0.0001625	NA	9.375e-05	0.00013125	0.0001875	NA	0.00015625	0.0001625	0.00015625	2e-04	0.00030625	2e-04	0.00035	NA	0.0001625	NA	NA	8.125e-05	NA	0.0001375	NA	6.25e-05	0.00013125	0.000225	NA	1e-04	NA	6.25e-05	0.00011875	NA	8.75e-05	3.75e-05	NA	8.75e-05	NA	NA	2e-04	0.0002625	0.00021875	0.000125	NA	NA	NA	0.0002875	0.0001125	4.375e-05	0.00015	NA	NA	NA	NA	0.00015625	7.5e-05	0.0001625	0.0001875	8.125e-05	9.375e-05	0.00011875	5e-05	0.00030625
25	NA	NA	NA	NA	3e-04	NA	NA	0.00016875	9.375e-05	NA	0.00014375	NA	0.000125	NA	NA	0.00010625	NA	0.0003125	0.00040625	0.00034375	NA	0.0001375	NA	NA	NA	NA	NA	NA	0.00010625	NA	NA	0.0001875	NA	0.0001125	NA	0.0001625	0.0002125	NA	NA	NA	NA	NA	NA	0.00015	0.00025625	NA	0.00016875	2e-04	0.0001625	0.00023125	0.00035625	0.00026875	0.00048125	NA	2e-04	NA	NA	NA	NA	NA	NA	NA	0.00016875	0.00030625	NA	0.00015	NA	9.375e-05	0.00013125	NA	0.0001125	5.625e-05	NA	0.00010625	NA	NA	0.00021875	0.00038125	3e-04	0.0001625	NA	NA	NA	0.00031875	0.000125	NA	0.000175	NA	NA	NA	NA	2e-04	0.0001125	2e-04	0.00019375	NA	NA	0.00013125	NA	0.00033125
30	NA	NA	NA	NA	0.00034375	NA	NA	0.0001875	9.375e-05	NA	0.00014375	NA	0.00013125	NA	NA	0.0001125	NA	0.000325	5e-04	0.00039375	NA	0.00018125	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00021875	NA	NA	NA	0.00019375	0.00025625	NA	NA	NA	NA	NA	NA	0.00015625	0.00031875	NA	2e-04	0.00025	0.0001625	0.00026875	0.00045	0.00031875	0.0005375	NA	0.00020625	NA	NA	NA	NA	NA	NA	NA	0.0002125	0.00033125	NA	0.00018125	NA	0.00010625	NA	NA	0.00011875	8.125e-05	NA	NA	NA	NA	0.00024375	0.000525	0.00033125	0.0002375	NA	NA	NA	0.00035	0.0001625	NA	0.00020625	NA	NA	NA	NA	0.00029375	0.0001625	0.0002375	NA	NA	NA	0.00015625	NA	0.0003375
35	NA	NA	NA	NA	0.00035625	NA	NA	0.0001875	NA	NA	NA	NA	0.00013125	NA	NA	0.0001125	NA	0.0003375	0.00053125	0.0004375	NA	0.0002125	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00021875	NA	NA	NA	0.00025	0.0002875	NA	NA	NA	NA	NA	NA	0.0001625	0.0003625	NA	0.00023125	0.0003125	NA	0.000275	0.00053125	0.00034375	0.0006125	NA	0.0002125	NA	NA	NA	NA	NA	NA	NA	0.00025625	0.00034375	NA	2e-04	NA	0.0001125	NA	NA	NA	9.375e-05	NA	NA	NA	NA	0.00024375	0.00058125	0.00038125	0.00028125	NA	NA	NA	0.000375	0.00019375	NA	0.0002125	NA	NA	NA	NA	0.00035625	0.00020625	0.00025	NA	NA	NA	0.000175	NA	NA
40	NA	NA	NA	NA	0.0003625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003375	0.000575	0.0004875	NA	0.00028125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000275	3e-04	NA	NA	NA	NA	NA	NA	NA	0.0003875	NA	0.00024375	0.00034375	NA	3e-04	0.00061875	0.000425	0.000675	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00030625	NA	NA	0.00020625	NA	0.00011875	NA	NA	NA	0.000125	NA	NA	NA	NA	NA	0.00059375	4e-04	0.0003875	NA	NA	NA	0.00044375	0.00020625	NA	NA	NA	NA	NA	NA	0.00041875	0.00025	NA	NA	NA	NA	2e-04	NA	NA
45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006125	0.00051875	NA	0.0003125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3e-04	NA	NA	NA	NA	NA	NA	NA	NA	4e-04	NA	0.0002875	0.00038125	NA	0.000325	0.000675	0.000525	0.0007125	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004625	NA	NA	0.0002125	NA	NA	NA	NA	NA	0.0001625	NA	NA	NA	NA	NA	0.00059375	NA	0.000475	NA	NA	NA	0.00046875	0.0002125	NA	NA	NA	NA	NA	NA	0.000425	0.00025	NA	NA	NA	NA	0.00026875	NA	NA
