0	2	4	3	4	3	4	2	3	2	2	1	3	4	2	2	1	2	4	3	1	3	3	4	2	1	3	2	2	2	2	1	3	3	1	2	2	1	3	2	3	1	2	3	1	2	4	1	2	4	2	2	1	2	2	2	3	3	3	1	3	2	1	3	2	3	3	2	4	2	2	3	3	3	3	2	4	1	2	2	2	2	1	3	1	3	1	3	3	4	3	4	3	2	3	3	3	3	5	1	1
5	27	6	11	6	23	27	9	7	12	5	8	23	17	21	17	17	13	16	15	14	28	27	28	9	4	17	14	21	22	15	11	10	6	14	21	10	13	18	6	11	8	20	28	7	19	25	14	1	20	25	20	11	21	11	26	5	18	12	2	17	3	9	10	24	5	11	7	14	14	9	7	26	5	25	26	19	4	10	7	17	7	17	9	9	15	6	14	27	18	8	9	14	16	9	15	24	28	6	7	15
10	16	4	9	17	26	17	3	12	17	6	16	33	24	24	13	30	9	20	24	25	12	12	9	5	13	8	14	6	21	12	23	8	8	23	11	24	7	16	10	15	13	12	16	19	22	12	11	NA	19	19	22	34	25	11	29	8	17	18	10	10	NA	13	12	33	14	25	20	18	10	17	15	40	6	9	13	17	17	7	20	8	17	25	15	9	6	16	22	26	29	9	34	10	29	12	18	21	14	12	7	22
15	18	27	13	25	14	25	6	17	17	12	5	17	15	20	17	35	30	14	20	21	16	22	29	4	16	12	10	22	26	16	27	11	20	16	9	11	11	14	11	10	16	17	29	35	35	17	20	NA	16	12	20	9	12	12	13	7	11	21	33	25	NA	43	9	29	24	15	17	22	13	10	32	25	22	12	12	13	15	11	29	12	17	32	16	22	11	52	25	18	10	14	23	39	16	11	15	15	20	13	14	22
20	20	14	22	21	11	38	7	12	21	12	13	21	27	23	10	19	16	20	30	19	27	21	27	12	22	16	19	22	18	25	22	33	24	24	20	36	28	29	49	25	17	18	26	23	39	22	11	NA	14	68	28	30	34	20	28	16	23	18	24	17	NA	31	13	34	23	19	29	25	13	22	57	18	38	14	16	17	13	17	38	18	17	29	20	22	17	20	32	17	21	17	20	18	27	32	30	13	28	15	20	39
25	40	20	36	38	17	30	10	30	11	20	37	21	15	20	20	20	20	47	31	18	9	25	14	11	18	32	46	28	48	41	31	31	20	20	20	29	18	32	34	21	21	33	28	14	36	21	27	NA	26	21	67	20	34	12	19	21	21	26	21	37	NA	24	8	56	25	26	21	25	24	35	29	14	25	19	20	16	18	14	37	24	37	17	24	17	23	50	23	21	19	20	34	25	21	15	18	23	23	24	40	17
30	27	37	28	37	50	40	15	14	32	37	38	31	27	24	15	17	29	30	51	33	26	34	37	10	26	20	30	19	23	22	29	44	19	20	19	19	28	21	11	21	18	39	30	21	39	39	32	NA	31	28	42	34	21	34	29	18	17	33	24	43	NA	32	26	40	58	28	33	31	37	19	27	22	44	43	22	18	35	18	28	23	18	32	28	25	20	46	36	29	30	23	25	25	31	22	33	21	33	24	25	34
35	38	32	33	37	35	49	11	26	14	33	27	52	35	32	19	24	39	29	31	39	27	45	42	20	35	28	31	25	43	32	41	28	34	36	17	32	43	33	38	33	25	39	41	38	30	27	19	NA	21	26	36	27	35	23	33	28	32	35	49	37	NA	40	34	68	35	22	30	33	18	25	34	45	30	31	20	55	50	22	32	28	31	26	27	44	26	34	34	27	30	30	31	32	30	29	46	22	23	23	30	26
40	28	34	25	38	22	68	29	32	27	22	25	21	39	37	44	27	31	35	46	49	22	31	31	21	46	29	29	29	37	34	34	29	43	33	25	62	29	28	24	31	38	29	37	37	31	38	22	NA	23	38	41	32	31	48	25	20	30	34	28	39	NA	35	19	42	53	31	33	40	31	39	19	36	34	69	25	27	38	70	36	27	36	29	22	26	54	36	36	28	33	38	35	29	47	25	32	36	36	23	27	37
45	28	50	29	40	32	49	35	25	27	29	29	48	43	42	26	41	45	58	52	35	37	38	33	14	28	37	35	29	35	34	51	48	42	43	28	47	37	42	45	32	29	41	46	28	58	50	50	NA	26	44	44	34	30	34	34	21	36	56	34	55	NA	31	32	50	39	48	39	55	36	47	43	36	44	52	33	29	30	34	53	39	29	25	24	30	46	30	49	41	43	36	35	40	21	31	37	33	43	33	31	39
50	42	45	23	35	23	52	35	32	19	39	41	47	36	55	23	28	39	47	51	43	41	41	44	25	40	46	55	36	49	57	43	50	32	37	30	42	52	43	35	34	35	47	71	36	34	46	41	NA	31	50	57	57	48	30	34	52	35	45	31	39	NA	32	34	47	41	30	37	35	35	44	31	38	41	48	38	40	30	52	42	34	31	46	33	41	44	38	71	31	43	38	43	43	47	46	36	68	34	27	37	27
55	51	50	42	49	36	35	28	34	28	49	31	36	39	45	38	41	50	44	46	41	49	43	42	22	25	39	47	33	53	54	39	51	40	56	54	57	42	47	36	45	31	38	61	30	54	51	45	NA	39	58	45	40	48	56	46	50	36	34	37	52	NA	46	26	57	53	44	48	38	43	36	28	54	35	45	33	43	40	52	42	35	33	35	42	40	63	46	51	41	33	34	50	41	40	44	52	33	54	34	33	37
60	46	49	36	121	39	54	32	43	30	34	44	50	53	50	46	52	81	46	75	58	40	87	43	26	52	37	56	35	40	49	49	61	35	47	28	51	49	45	37	61	47	62	71	40	50	53	34	NA	48	65	103	62	49	57	39	45	45	59	50	50	NA	85	21	54	45	38	47	56	42	50	41	47	38	52	59	31	35	49	66	46	55	45	64	42	45	43	67	43	51	42	50	43	63	44	51	38	63	45	44	39
65	72	69	52	50	48	51	35	35	27	43	38	67	51	56	35	45	65	39	58	45	56	77	58	35	41	52	52	44	57	66	49	44	59	55	32	62	51	69	60	48	35	50	62	41	60	105	52	NA	82	48	65	52	54	73	63	32	35	56	78	57	NA	47	74	64	50	41	56	52	45	68	37	49	38	52	52	45	27	51	63	42	39	45	53	48	72	54	66	39	61	47	73	42	59	71	62	39	46	38	52	53
70	54	66	54	68	43	54	72	40	38	49	60	56	80	54	39	67	82	61	73	54	53	59	61	35	67	71	59	42	57	80	41	54	45	75	59	81	76	71	51	49	58	76	57	51	81	63	55	NA	54	79	71	50	54	49	58	54	45	67	38	77	NA	54	41	91	58	44	39	40	47	56	62	82	37	55	52	69	53	61	63	72	50	56	50	66	63	62	76	46	59	45	61	45	61	44	101	54	61	41	53	59
75	102	91	49	59	86	73	34	48	49	60	48	46	63	73	88	72	82	50	74	62	52	97	56	47	58	54	71	81	76	67	58	46	63	64	73	73	65	68	53	89	76	80	93	84	63	90	66	NA	59	79	138	72	52	58	57	49	60	74	51	68	NA	69	31	89	58	59	62	74	64	66	55	64	72	65	73	47	39	55	67	71	53	53	56	78	63	82	87	60	60	42	73	67	67	49	82	61	64	49	60	66
80	69	80	55	89	64	110	42	43	44	67	139	55	71	94	88	77	94	101	77	63	66	111	88	54	46	64	54	52	58	72	52	63	83	66	44	72	76	79	58	92	52	99	71	63	50	68	66	NA	88	73	81	93	67	58	95	46	94	75	67	87	NA	74	35	110	91	86	91	73	57	86	83	50	62	66	52	51	38	62	90	72	70	85	92	68	56	65	78	71	60	52	74	84	61	78	144	69	73	47	70	86
85	105	83	77	91	55	68	58	64	41	70	66	63	71	69	58	77	88	75	133	68	61	76	140	49	95	78	76	67	83	109	69	79	57	88	61	97	84	92	63	79	114	76	74	90	77	106	88	NA	63	118	90	110	54	131	68	56	69	78	48	60	NA	71	43	80	73	74	85	70	67	70	79	105	90	123	77	73	51	75	66	68	84	121	65	73	65	88	93	67	69	55	73	80	93	84	118	87	79	75	46	84
90	82	72	70	104	91	63	71	64	71	81	87	107	130	114	72	118	82	85	78	83	141	106	143	64	65	76	60	94	88	89	70	100	84	75	60	120	94	96	90	61	113	82	81	95	79	100	58	NA	65	70	70	93	86	76	81	83	55	86	82	87	NA	102	55	98	108	94	96	105	69	83	58	84	71	101	107	76	72	64	72	78	80	94	94	94	79	85	76	71	105	69	94	81	105	93	108	91	128	56	109	90
95	121	65	70	76	94	61	95	63	73	120	98	76	63	76	102	105	79	86	65	111	72	121	75	66	66	82	107	99	66	131	95	61	104	74	113	49	77	77	64	96	92	114	76	97	93	107	125	NA	72	74	63	148	78	88	80	54	134	93	68	81	NA	88	50	80	105	101	114	89	68	82	82	95	73	100	76	73	80	93	73	120	89	99	79	101	78	66	61	76	88	81	71	73	66	79	91	83	100	109	73	74
100	48	79	123	62	91	68	97	86	75	107	116	101	67	75	93	74	115	77	48	75	82	69	85	64	91	95	79	132	135	61	67	168	116	78	98	58	67	81	80	106	89	99	53	100	83	81	133	NA	87	146	49	66	74	104	95	117	95	75	82	64	NA	105	54	108	103	77	93	94	81	65	153	81	86	71	87	86	62	77	67	98	95	71	128	70	108	112	58	65	72	96	71	77	78	87	82	80	78	165	85	74
105	46	81	159	64	72	44	75	75	69	67	106	101	73	71	76	77	81	68	37	80	80	47	49	121	117	87	74	95	69	84	108	89	82	57	69	61	61	57	66	91	120	78	46	82	60	71	69	NA	71	96	62	57	100	74	66	84	96	154	96	67	NA	63	67	60	70	79	94	47	87	116	97	128	77	74	59	81	76	65	54	84	77	106	148	54	63	57	44	114	79	121	85	81	63	99	67	72	72	66	100	109
110	37	39	63	49	83	61	75	71	129	84	95	61	49	53	79	61	41	79	81	66	77	70	59	156	59	82	56	82	124	62	70	86	60	41	107	39	76	96	66	82	94	57	28	56	119	77	141	NA	99	37	34	45	74	66	59	88	118	38	61	61	NA	38	114	41	57	61	56	44	75	49	67	110	60	55	58	81	94	66	46	91	73	85	91	73	48	71	28	68	72	80	50	61	49	71	53	60	45	78	67	93
115	31	58	103	27	58	37	70	83	82	53	66	73	34	45	83	43	46	52	23	55	50	31	35	91	52	49	40	61	56	50	80	36	66	33	90	84	71	64	77	62	66	63	33	52	81	34	62	NA	60	78	50	61	64	80	29	90	59	52	66	62	NA	49	67	36	44	38	44	44	66	58	53	83	73	44	54	56	95	51	49	72	72	36	55	43	46	54	24	75	67	72	35	52	47	59	44	50	42	67	80	54
120	9	32	47	49	72	43	85	63	91	50	56	45	16	31	58	35	36	30	15	45	44	12	36	68	75	42	18	45	39	37	61	56	56	39	93	39	32	19	56	69	61	15	8	42	46	34	54	NA	55	27	11	21	64	29	26	76	62	52	96	25	NA	31	84	25	35	53	36	26	53	54	60	61	60	27	59	56	87	53	26	45	60	41	61	34	27	45	10	40	46	73	34	87	84	68	34	58	33	70	49	52
125	9	35	56	18	73	16	77	124	71	64	36	23	14	67	63	17	9	29	3	31	31	8	18	95	53	32	8	44	33	16	37	38	28	11	50	39	27	11	33	46	65	10	8	30	21	10	40	NA	64	24	6	26	36	23	21	61	67	10	79	12	NA	17	78	8	34	20	57	12	32	27	35	27	40	25	32	57	63	63	10	53	30	43	37	32	30	91	7	32	43	41	15	26	12	33	32	52	30	59	55	32
130	9	18	27	18	34	5	48	48	68	30	49	14	11	18	67	23	6	12	11	12	36	4	16	61	39	24	6	11	13	6	16	23	17	11	76	15	28	20	17	20	44	13	2	32	31	16	43	NA	31	11	8	9	32	25	4	37	41	7	50	5	NA	8	91	8	51	24	19	14	31	10	22	25	35	33	11	27	55	22	5	59	17	13	19	46	7	11	7	31	74	29	9	13	12	37	9	20	11	48	48	29
135	11	8	17	11	24	2	39	57	38	12	13	23	5	3	27	12	2	4	4	8	16	0	4	40	8	12	6	8	19	10	46	11	32	3	55	6	9	9	23	7	18	3	0	24	11	4	41	NA	25	9	11	4	8	17	5	25	32	6	23	9	NA	8	69	4	11	9	8	7	9	8	22	6	12	3	6	29	37	16	1	16	11	8	11	17	6	9	5	7	19	17	5	7	3	27	2	24	3	34	26	12
140	5	4	17	1	23	2	41	38	34	6	12	4	1	0	46	11	NA	4	2	7	5	NA	2	33	5	5	1	7	15	12	8	3	8	1	25	6	2	13	11	10	7	1	NA	9	7	1	12	NA	38	6	7	3	5	8	1	14	16	3	14	9	NA	5	69	NA	7	5	5	1	5	6	8	5	7	0	9	10	26	5	NA	10	9	4	12	5	9	5	1	4	5	14	6	4	2	10	1	4	0	28	13	2
