0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	3	1	2	2	1	2	3	2	1	2	2	1	1	1	1	3	3	1	3	1	2	1	4	3	2	1	1	1	1	2	1	2	1	1	1	1	0	2	3	1	2	2	2	4	2	1	3	2	1	1	1	4	1	3	1	1	0	1	1	1	2	1	2	1	2	NA	2	1	2	2	1	1	2	1	1	1	1	2	2	3	2	1	1	1	2	3	3	4	2	2	1	3	1	3	1	5	3	2	1	2
10	4	3	4	1	1	3	5	5	5	3	1	2	1	2	3	4	3	1	2	1	2	1	7	5	6	5	3	4	7	4	4	3	1	6	3	1	NA	2	4	1	2	4	2	4	3	3	6	4	7	7	1	4	6	5	NA	2	NA	2	6	3	5	3	4	6	5	NA	3	3	4	6	3	2	3	3	3	2	2	10	7	3	3	4	7	3	3	2	3	4	2	2	1	3	2	6	6	6	5	4	3	3
15	5	11	11	2	1	3	7	3	4	5	0	5	1	5	4	12	6	1	6	1	3	1	5	11	5	5	3	2	11	5	3	7	3	6	10	3	NA	8	6	5	5	4	4	6	6	7	6	2	4	10	6	12	8	4	NA	1	NA	4	4	2	4	5	16	9	3	NA	7	5	5	7	7	3	3	4	8	1	4	12	8	4	4	6	14	5	7	8	9	6	8	3	2	4	4	9	4	19	6	5	6	5
20	10	7	15	5	1	11	5	5	10	12	NA	5	2	4	16	25	16	1	19	2	11	3	5	12	6	6	4	8	9	10	3	8	5	10	8	3	NA	14	11	2	6	9	9	4	9	16	10	3	5	13	6	16	21	6	NA	5	NA	3	6	5	4	6	13	11	5	NA	5	6	7	10	22	5	8	6	9	1	6	12	9	7	4	8	20	4	12	17	10	9	5	4	4	8	4	13	6	34	6	9	6	12
25	14	9	26	4	5	15	12	5	14	16	NA	6	4	8	10	34	21	2	18	8	15	2	7	16	10	5	7	13	15	15	10	14	7	11	5	8	NA	19	16	6	8	11	10	20	17	15	14	7	9	10	12	31	25	9	NA	6	NA	4	7	8	10	10	22	11	11	NA	11	8	7	12	16	7	11	5	12	4	10	19	9	5	2	9	34	21	14	21	6	12	13	4	10	7	3	19	9	43	12	13	9	9
30	23	11	21	6	3	14	14	11	14	20	NA	16	3	6	15	45	24	6	20	6	17	4	7	19	12	9	7	17	19	23	9	19	9	13	7	11	NA	26	19	11	16	16	7	26	19	24	11	10	12	12	22	51	30	11	NA	10	NA	7	9	10	12	21	36	16	11	NA	11	10	24	17	23	14	13	8	18	6	17	24	14	5	1	12	44	27	22	30	8	21	20	7	26	9	4	34	15	53	19	22	20	15
35	31	11	30	12	9	8	23	10	17	35	NA	25	15	10	25	56	31	4	40	10	38	4	10	21	21	6	13	20	31	27	11	33	23	19	10	14	NA	38	29	19	19	12	10	23	21	31	18	9	12	19	30	61	41	15	NA	10	NA	9	11	12	15	31	45	18	22	NA	18	16	31	23	30	24	14	10	18	7	20	43	16	10	NA	17	66	30	39	40	13	30	24	13	37	8	9	49	17	68	22	34	28	22
40	50	21	49	14	5	19	20	13	19	33	NA	35	14	23	50	62	45	5	31	16	36	9	21	25	24	16	19	27	29	37	13	33	23	25	18	25	NA	66	36	27	26	31	16	34	24	52	17	18	14	17	40	95	65	20	NA	10	NA	13	16	15	24	51	51	36	27	NA	14	30	41	23	40	35	15	9	23	18	20	58	25	15	NA	26	100	36	54	60	15	37	38	14	66	24	16	80	25	101	30	50	30	25
45	70	28	60	17	6	35	37	17	20	43	NA	59	13	21	72	92	40	6	48	13	57	11	19	28	30	23	17	44	40	47	18	32	24	36	26	33	NA	86	46	29	44	49	22	40	22	56	18	25	24	17	51	123	76	29	NA	19	NA	6	21	13	33	62	69	44	36	NA	21	34	48	30	49	54	16	10	32	14	29	94	24	14	NA	31	132	57	80	82	24	47	47	18	67	29	32	93	27	128	41	70	59	24
