0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	3	2	1	3	2	1	1	1	3	1	1	1	2	2	1	1	3	1	2	2	2	2	2	1	1	2	2	1	4	3	2	2	1	1	1	1	1	2	1	3	2	2	2	2	2	4	2	4	3	3	2	1	2	3	1	1	1	1	2	3	3	3	2	3	1	1	1	2	5	2	1	5	1	2	2	1	4	4	3	1	2	1	3	2	1	1	2	1	1	2	1	2	3	2	1	1	2	2	1	2
10	5	7	NA	5	10	5	4	5	5	8	7	3	3	5	12	4	2	3	6	5	4	3	2	4	2	5	1	12	NA	9	9	6	7	4	4	7	7	14	5	8	9	5	10	5	6	6	9	5	7	5	10	5	2	4	4	2	6	7	4	4	5	7	2	9	5	3	4	5	6	2	7	7	6	6	3	4	7	4	7	6	6	6	7	7	1	9	7	8	6	8	7	11	5	2	3	13	8	10	4	7
15	6	10	NA	8	14	7	13	6	13	17	12	3	9	11	13	9	6	4	11	11	3	5	7	12	5	7	2	15	NA	23	15	16	9	8	14	12	16	12	9	11	9	10	12	8	10	7	8	6	10	9	8	17	9	9	8	9	16	7	10	7	12	14	6	7	10	6	7	4	8	2	13	14	10	12	8	8	18	7	11	20	10	14	2	11	5	12	7	13	9	14	6	15	7	10	2	22	20	8	14	17
20	21	11	NA	20	20	11	17	17	28	15	41	11	17	17	26	26	9	6	10	21	16	13	7	19	18	14	5	27	NA	37	19	28	26	11	26	11	18	15	13	21	2	8	19	16	17	11	18	12	10	12	15	25	19	17	7	8	22	16	15	17	11	33	8	13	11	15	6	11	21	6	31	21	14	17	10	10	14	20	21	30	24	31	8	12	7	25	9	17	16	27	13	29	11	19	5	51	36	16	20	18
25	19	24	NA	23	19	14	32	20	31	33	52	9	26	29	35	33	22	19	25	39	20	26	6	20	31	28	10	43	NA	62	37	32	44	12	47	17	37	27	30	49	10	15	31	37	21	26	32	24	21	20	15	36	29	32	11	21	28	30	38	30	13	45	19	18	24	14	14	15	37	14	69	32	8	26	17	31	20	20	36	45	23	38	6	21	12	38	12	41	31	46	14	44	15	32	16	62	51	28	28	36
30	34	45	NA	38	37	13	53	32	55	51	94	21	48	62	47	44	32	28	23	65	20	26	8	37	55	39	15	52	NA	103	68	68	59	20	62	34	58	45	30	47	10	28	49	59	51	53	44	41	28	31	23	71	57	57	23	27	36	49	67	42	16	69	17	25	34	22	24	43	63	31	111	41	19	51	36	62	39	22	58	110	42	45	5	42	21	39	18	57	37	70	33	67	35	56	17	139	117	57	56	52
35	42	70	NA	47	78	18	99	55	59	70	175	37	80	84	76	63	59	49	51	112	44	51	6	64	92	73	25	104	NA	166	98	100	97	26	102	34	114	89	43	95	19	40	114	109	69	93	77	47	37	44	33	116	82	89	44	53	83	85	79	81	35	109	16	46	83	36	39	79	84	39	159	58	27	68	50	88	47	21	92	181	61	66	16	67	39	73	36	104	41	89	45	99	61	88	22	239	228	99	84	66
40	71	110	NA	77	119	35	170	72	86	111	261	39	124	173	124	91	89	60	105	179	63	82	17	113	108	74	39	189	NA	205	174	203	179	43	171	61	138	139	83	160	29	54	168	205	82	144	102	63	52	69	57	155	102	133	68	81	149	141	143	129	57	172	28	57	114	43	63	120	153	77	316	81	40	103	60	121	56	42	172	315	81	111	27	125	69	115	60	165	87	161	68	165	98	151	44	355	419	147	106	136
45	92	147	NA	138	212	63	256	105	158	183	382	65	176	273	208	166	138	101	166	273	109	124	16	164	181	132	71	325	NA	324	234	331	262	79	313	80	237	230	137	278	37	98	284	337	123	256	164	85	87	134	95	272	140	208	112	94	209	238	179	228	76	306	48	91	171	74	69	191	294	105	439	123	54	156	128	169	89	56	243	460	113	173	37	176	110	135	99	255	140	247	118	238	161	263	62	601	588	206	172	182
50	168	273	NA	242	310	97	392	164	245	251	560	93	294	465	290	216	205	151	237	435	160	223	22	245	271	211	97	501	NA	528	372	513	446	113	494	118	356	345	225	451	52	148	464	444	182	387	221	137	139	218	166	423	229	298	151	171	352	415	264	323	135	511	73	143	295	101	99	294	422	158	707	216	71	226	207	298	141	87	400	686	189	231	41	289	154	192	158	440	190	404	189	395	272	375	93	906	796	336	223	339
55	241	414	NA	388	472	162	682	239	328	373	880	160	546	732	491	349	343	217	364	690	257	325	48	405	395	334	153	814	NA	792	530	816	778	152	670	195	532	554	315	654	109	238	754	727	266	529	343	182	230	349	215	638	359	474	259	262	486	586	420	558	224	722	101	216	462	173	160	543	609	224	979	389	113	392	330	486	257	135	592	944	269	364	83	468	272	282	272	674	272	584	288	624	403	562	160	1316	1127	536	349	518
60	373	624	NA	573	686	273	960	355	531	566	1165	260	836	1132	744	499	508	321	574	982	396	490	63	656	629	530	227	1166	NA	1095	789	1178	1152	275	997	353	762	875	516	1054	171	421	1118	1085	453	837	483	300	361	543	334	926	551	638	416	374	783	905	685	852	357	1049	166	351	655	234	259	722	914	376	1335	603	212	602	524	683	421	196	823	1356	444	575	129	676	406	448	403	982	385	900	481	902	638	871	234	1961	1622	843	576	807
65	528	903	NA	869	1004	432	1407	534	870	899	1688	408	1194	1583	1127	812	729	481	914	1338	627	712	96	1006	926	804	391	1630	NA	1557	1101	1627	1604	476	1337	484	1067	1242	734	1461	268	596	1594	1395	674	1218	727	470	546	830	531	1295	844	900	634	559	1046	1272	1033	1262	551	1533	256	562	1064	348	418	1080	1288	568	1703	851	330	823	752	994	691	361	1223	1863	653	829	189	970	590	689	654	1365	577	1246	781	1283	979	1247	395	2537	2199	1218	826	1188
70	803	1307	NA	1250	1453	651	1871	746	1272	1341	2202	633	1772	2210	1519	1178	1154	717	1317	1830	904	1054	136	1357	1319	1119	577	2149	NA	2015	1521	2321	2138	650	1885	748	1396	1627	1127	2018	453	891	2207	1882	1005	1616	1007	736	791	1156	814	1780	1162	1327	922	803	1528	1704	1532	1752	887	2011	395	876	1521	490	696	1449	1775	910	2253	1292	486	1187	1205	1386	980	462	1691	2264	947	1185	299	1458	915	1084	980	1842	898	1718	1195	1787	1499	1751	598	3028	2552	1803	1189	1657
75	1273	1848	NA	1711	2015	945	2423	1109	1812	1708	2681	872	2434	2740	2095	1606	1643	1152	1738	2399	1271	1570	206	1899	1814	1609	902	2580	NA	2536	2164	2813	2571	938	2447	1137	1922	2196	1614	2523	719	1380	2716	2426	1382	2180	1396	1138	1178	1613	1127	2236	1694	1814	1257	1241	1977	2170	2131	2229	1216	2557	625	1303	2012	715	1003	1999	2367	1219	2609	1830	680	1628	1692	1896	1426	727	2206	2638	1375	1667	482	1928	1356	1545	1350	2462	1339	2181	1658	2355	2004	2228	919	3043	2851	2277	1657	2347
80	1801	2376	NA	2102	2408	1365	2748	1549	2359	2366	2911	1422	2791	3013	2656	2084	2157	1484	2070	2686	1808	2071	330	2298	2331	2083	1328	2943	NA	2825	2593	3063	2842	1429	2759	1530	2469	2585	2190	2940	1021	1809	2993	2812	1927	2633	1968	1572	1665	2200	1660	2734	2128	2346	1687	1609	2419	2640	2557	2812	1649	2829	931	1779	2542	1112	1390	2485	2819	1867	2744	2399	992	2192	2208	2418	1934	1084	2721	2948	1945	2249	650	2507	1944	1981	1867	2835	1808	2713	2307	2631	2427	2703	1381	2714	2861	2778	2090	2742
85	2290	2861	NA	2525	2679	1878	2893	1985	2801	2859	2722	1941	3046	2919	2926	2630	2707	2158	2556	2797	2382	2505	577	2715	2718	2598	1766	2831	NA	2741	2927	2871	2802	1917	2871	2030	2864	2799	2667	2942	1452	2319	2810	2952	2461	2927	2510	2128	2155	2668	2145	3006	2642	2798	2233	2170	2735	2855	2885	2969	2150	2867	1241	2273	2836	1659	1868	2906	2979	2318	2619	2928	1428	2609	2708	2714	2435	1486	2879	2550	2488	2691	978	2858	2446	2533	2334	2975	2319	2902	2956	2843	2767	2943	1880	2015	2389	2943	2680	3059
90	2740	2985	NA	2775	2719	2374	2637	2524	3019	2946	2247	2445	2894	2379	2859	3039	3032	2621	2779	2697	2798	2736	868	2845	2878	2799	2335	2416	NA	2415	2937	2355	2501	2337	2636	2583	2789	2686	2816	2562	2060	2773	2260	2635	2878	2814	2887	2512	2717	2868	2662	2535	2865	2995	2717	2661	2783	2854	3102	2744	2724	2479	1793	2641	2831	2221	2346	2885	2739	2931	2224	2922	1958	2939	2896	2812	2804	2043	2705	2094	2915	2874	1400	2960	2832	2859	2758	2724	2730	2799	3123	2658	2854	2823	2304	1310	1659	2738	2833	2892
95	2948	2711	NA	2657	2452	2857	2172	2766	2815	2728	1576	2826	2243	1682	2591	2950	2929	2969	2663	2105	2830	2801	1310	2563	2763	2839	2742	1763	NA	1755	2541	1619	1824	2700	2084	2877	2422	2334	2684	1919	2588	2829	1711	1954	2869	2273	2894	2897	3005	2851	2856	2066	2710	2694	2877	2760	2510	2390	2566	2207	2907	1905	2305	2892	2457	2582	2727	2529	2098	3036	1566	2686	2457	2759	2904	2591	3019	2530	2228	1426	3143	2732	1855	2550	2910	2984	2889	2043	2939	2155	2876	2176	2576	2299	2747	744	1061	2215	2701	2298
100	2749	2064	NA	2376	2010	2940	1425	2825	2141	2113	954	2862	1539	1044	1838	2380	2398	2934	2266	1465	2727	2363	1787	1992	2105	2354	2943	1112	NA	1109	1697	884	1190	2843	1373	2928	1785	1593	2309	1164	2901	2586	1113	1229	2594	1600	2436	2809	2858	2318	2855	1362	2183	2133	2692	2701	1922	1539	1910	1562	2800	1268	2723	2845	1906	2919	2900	1855	1413	2698	887	2090	2833	2274	2276	2060	2662	2870	1567	859	2661	2207	2438	1994	2583	2549	2621	1342	2619	1538	2231	1500	2061	1576	2923	325	614	1544	2276	1526
105	2184	1359	NA	1698	1338	2587	822	2415	1452	1368	490	2719	893	580	1101	1666	1601	2514	1627	871	2129	1885	2271	1412	1406	1771	2682	592	NA	606	1049	464	656	2568	736	2432	1162	994	1736	586	2982	2134	621	661	2002	951	1846	2378	2297	1688	2428	872	1657	1433	2190	2383	1268	925	1085	901	2294	706	2815	2254	1250	2841	2578	1143	808	2224	454	1393	2973	1559	1692	1342	1972	2851	926	430	1925	1554	2892	1304	2005	1858	2065	698	2154	842	1412	815	1358	865	2651	140	306	891	1715	868
110	1566	699	NA	1090	784	2074	366	1787	795	796	248	2099	408	284	524	998	968	1745	1061	372	1401	1229	2724	862	824	1080	2246	251	NA	325	532	249	331	2043	354	1792	704	593	1151	308	2498	1420	270	328	1315	563	1211	1841	1552	973	1718	451	1016	751	1554	1718	714	459	581	490	1580	334	2708	1571	669	2407	2095	657	438	1382	253	828	2585	929	984	777	1292	2498	459	167	1158	986	3050	750	1364	1170	1471	382	1438	430	819	439	676	439	2042	53	149	454	1011	385
115	962	337	NA	559	437	1427	184	1126	384	465	121	1336	191	143	232	468	537	1031	609	175	829	652	2851	432	417	656	1493	101	NA	139	222	95	144	1312	120	1103	364	252	655	149	1894	872	127	146	700	275	651	1182	948	521	1014	213	555	366	900	1079	353	213	303	232	961	162	2125	876	341	1816	1403	360	196	773	69	409	1902	545	522	402	755	1820	182	95	658	522	2673	321	826	562	801	193	807	208	472	214	358	230	1482	37	67	214	607	184
120	435	154	NA	267	243	764	71	593	154	215	29	742	80	58	90	237	233	536	293	69	421	346	2682	224	190	296	870	41	NA	58	103	48	60	754	64	623	182	104	308	74	1166	478	78	76	333	87	286	629	493	250	490	78	220	136	493	602	151	114	117	117	537	65	1444	451	144	971	754	167	92	384	22	217	1262	222	261	200	406	1122	122	43	309	272	2009	153	403	284	406	95	391	89	283	106	187	113	854	28	47	108	303	80
125	186	76	NA	143	110	413	41	319	65	89	12	427	40	11	25	94	100	311	152	31	182	134	2118	111	88	131	410	19	NA	32	48	26	20	397	30	303	82	66	169	35	639	233	28	48	140	29	104	269	236	98	220	47	111	64	235	284	76	61	59	50	267	31	913	170	67	494	412	77	43	157	3	87	744	101	115	91	205	644	47	17	143	108	1206	79	238	113	194	27	172	39	160	45	88	46	483	14	29	52	157	47
130	81	48	NA	55	50	196	24	127	29	48	1	257	21	9	12	45	39	148	85	18	75	71	1525	61	26	59	185	4	NA	15	34	17	8	176	17	132	36	20	59	23	282	115	12	23	47	12	44	103	90	41	69	12	49	40	98	131	48	34	19	23	116	15	456	79	20	212	176	31	15	89	NA	48	298	54	53	37	70	316	24	4	66	54	611	39	109	61	91	6	80	23	78	26	44	15	208	8	18	19	55	21
135	29	31	NA	20	10	94	17	67	13	16	NA	115	13	4	4	20	29	78	30	17	34	28	953	27	14	27	54	4	NA	7	13	8	5	85	9	53	20	13	31	18	137	53	7	6	38	6	25	42	48	21	28	3	22	21	30	52	12	13	18	10	53	11	204	47	14	97	60	11	5	42	NA	27	133	42	13	21	28	153	22	2	31	32	282	14	60	37	26	4	37	11	20	14	18	19	85	6	13	9	20	11
140	17	10	NA	4	6	42	8	35	5	18	NA	52	1	NA	4	12	21	33	12	7	8	7	515	6	9	13	27	4	NA	8	10	0	4	23	2	41	9	6	21	13	53	33	6	NA	14	2	14	14	37	11	18	0	11	7	7	21	5	7	9	6	19	4	80	28	2	47	28	5	1	18	NA	13	55	17	2	12	12	64	10	3	25	18	111	7	29	6	13	2	12	5	7	8	9	7	42	2	4	16	17	8
145	15	10	NA	1	2	10	6	12	3	11	NA	23	NA	NA	1	8	5	17	1	4	1	NA	222	7	3	3	20	8	NA	4	2	NA	1	12	NA	21	6	3	9	10	25	18	5	NA	8	1	4	10	13	1	14	NA	5	4	5	12	1	0	3	5	10	4	35	16	1	18	17	NA	NA	16	NA	2	19	4	2	5	1	23	7	NA	8	13	54	12	7	10	10	1	3	2	3	2	4	4	13	0	3	9	4	1
150	8	5	NA	NA	0	3	3	4	1	10	NA	10	NA	NA	1	3	5	13	NA	4	0	NA	94	1	NA	1	6	6	NA	NA	1	NA	1	6	NA	9	3	3	7	8	9	8	3	NA	1	NA	1	9	6	5	8	NA	8	0	NA	2	NA	NA	NA	7	4	1	23	1	NA	7	7	NA	NA	10	NA	NA	9	1	NA	NA	NA	14	8	NA	4	6	26	6	9	6	6	NA	8	2	1	NA	1	2	13	NA	1	3	1	NA
155	5	2	NA	NA	NA	2	NA	NA	1	1	NA	6	NA	NA	1	4	5	10	NA	1	NA	NA	42	NA	NA	1	6	3	NA	NA	1	NA	1	3	NA	3	0	NA	4	8	3	1	4	NA	NA	NA	NA	6	2	9	6	NA	9	NA	NA	1	NA	NA	NA	6	NA	NA	15	NA	NA	6	3	NA	NA	3	NA	NA	11	NA	NA	NA	NA	8	3	NA	3	1	16	7	4	3	4	NA	6	2	NA	NA	NA	NA	3	NA	NA	NA	NA	NA
160	2	1	NA	NA	NA	1	NA	NA	1	NA	NA	3	NA	NA	NA	1	13	4	NA	1	NA	NA	28	NA	NA	NA	4	0	NA	NA	NA	NA	1	NA	NA	1	NA	NA	0	2	3	0	NA	NA	NA	NA	NA	9	NA	3	4	NA	1	NA	NA	1	NA	NA	NA	3	NA	NA	6	NA	NA	6	2	NA	NA	3	NA	NA	13	NA	NA	NA	NA	8	2	NA	1	0	14	3	3	2	3	NA	4	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
165	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	4	1	NA	NA	NA	NA	9	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	5	NA	1	8	NA	NA	NA	NA	2	NA	NA	NA	1	NA	NA	3	NA	NA	5	1	NA	NA	2	NA	NA	6	NA	NA	NA	NA	5	0	NA	1	NA	10	2	2	1	0	NA	3	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
