0	4	2	2	2	3	1	2	1	3	2	3	3	3	4	4	3	4	1	3	2	3	2	3	2	1	3	3	2	1	2	1	2	2	2	2	3	3	4	3	4	3	4	3	2	2	4	2	4	4	3	4	2	1	3	1	2	2	1	2	4	4	2	4	4	2	2	3	2	3	1	2	4	4	2	2	2	3	2	4	4	2	2	5	4	2	3	1	2	2	3	2	4	2	1	3	4	3	3	2	4
5	18	21	2	20	30	8	15	12	24	28	24	6	14	16	39	13	14	4	25	21	22	13	11	10	10	16	8	23	4	38	11	16	19	18	28	24	15	36	15	23	21	30	29	20	17	25	16	14	25	19	21	24	7	16	8	6	24	13	20	19	8	8	14	27	22	9	20	19	31	4	30	19	25	20	7	21	19	18	19	22	10	28	24	22	3	29	13	22	14	21	21	37	24	10	13	32	32	25	23	29
10	21	52	NA	31	68	22	32	26	65	55	45	15	28	27	71	40	13	18	64	55	27	27	29	25	23	31	15	51	NA	83	53	60	26	35	52	61	56	48	23	40	33	31	66	29	31	30	47	19	33	30	31	49	36	31	26	24	44	42	39	47	32	37	27	41	23	20	17	26	43	8	73	46	29	36	19	28	54	39	40	72	32	71	18	45	7	53	21	57	36	36	39	67	29	27	10	66	67	29	67	46
15	65	45	NA	53	93	40	57	63	113	71	109	21	50	58	118	83	25	23	61	84	40	42	26	58	64	51	22	99	NA	115	86	111	69	58	77	81	58	86	53	78	26	57	102	55	67	52	101	29	50	49	44	95	61	66	25	39	98	69	59	77	56	114	47	59	51	53	29	51	82	7	97	84	59	66	38	63	68	67	65	110	82	111	25	51	28	83	29	65	59	110	49	100	45	53	12	162	136	52	91	80
20	84	104	NA	92	101	51	131	91	156	136	203	28	91	117	185	138	89	82	96	141	75	91	24	107	114	107	42	152	NA	260	125	127	151	62	164	94	115	134	113	157	39	66	137	127	88	95	148	85	101	68	66	136	134	100	48	63	151	87	130	120	62	181	72	86	98	59	75	63	145	35	243	105	60	102	68	159	112	105	159	201	125	189	56	57	46	135	59	138	112	165	67	169	80	109	32	270	235	127	175	156
25	133	185	NA	127	160	69	215	118	217	192	399	69	150	227	241	184	128	99	113	267	82	138	33	175	223	179	51	234	NA	441	182	233	220	82	284	136	209	213	137	240	47	101	207	216	150	211	177	158	129	94	82	281	247	197	91	129	165	168	253	182	75	279	72	112	129	87	127	165	251	111	412	150	89	170	130	238	146	112	232	385	183	216	27	152	85	160	62	245	146	284	108	273	129	227	67	484	436	205	237	185
30	196	285	NA	197	284	95	350	187	292	290	665	126	298	401	325	271	195	177	194	431	141	199	33	275	326	282	91	420	NA	713	397	410	366	119	433	181	360	358	208	398	68	173	407	417	230	410	295	203	150	171	116	417	303	299	174	224	324	304	328	350	147	454	81	216	275	160	160	317	342	184	655	255	117	318	239	322	198	95	367	674	254	269	57	294	143	267	125	395	232	420	196	389	220	374	105	916	787	385	341	296
35	269	455	NA	297	505	154	620	292	386	446	1128	183	482	703	539	476	318	254	382	719	263	322	66	438	431	352	157	729	NA	988	685	742	659	162	725	210	539	513	377	658	99	279	698	785	338	630	428	297	229	312	200	706	439	500	317	296	592	497	516	551	232	738	94	278	442	195	244	477	539	331	1160	334	163	411	272	520	245	166	676	1307	319	401	101	446	265	421	204	690	318	711	304	602	419	548	163	1461	1632	636	465	490
40	439	643	NA	531	881	224	988	448	613	720	1651	237	752	1121	805	624	561	397	706	1156	436	538	76	618	705	519	245	1295	NA	1413	1049	1339	1107	264	1245	348	967	865	564	1146	138	447	1012	1188	493	1077	644	380	394	520	352	1221	686	808	441	379	916	976	800	910	356	1153	175	392	764	237	334	798	1179	448	1873	487	230	635	408	745	332	252	1089	2077	488	674	136	663	394	592	387	1065	507	1045	464	1010	710	998	255	2512	2581	871	694	759
45	730	1102	NA	920	1301	396	1608	700	1006	956	2361	365	1207	1899	1177	994	855	603	1092	1750	633	909	86	1062	1152	899	379	2051	NA	2002	1576	2157	1906	447	1961	544	1479	1508	917	1758	234	654	1862	1936	719	1550	951	550	616	907	556	1840	1002	1163	631	670	1465	1643	1156	1459	561	2025	261	551	1147	376	423	1281	1834	723	2847	872	274	978	747	1322	570	363	1722	2926	730	1040	235	1090	620	886	681	1884	747	1659	703	1581	1109	1573	401	3743	3458	1393	1017	1239
50	1098	1800	NA	1556	2025	611	2762	1038	1488	1543	3692	604	2113	2998	2074	1440	1455	925	1570	2754	1093	1389	171	1718	1667	1284	630	3287	NA	3228	2247	3248	3128	646	2956	815	2263	2361	1323	2711	445	1079	3131	3118	1197	2193	1388	805	938	1485	961	2753	1483	1948	1062	1049	2121	2447	1672	2307	880	3119	418	872	1895	601	676	2239	2789	1012	4284	1467	437	1691	1279	1944	968	583	2597	4250	1118	1546	351	1779	1074	1166	1108	2874	1167	2663	1208	2738	1727	2447	601	5899	5066	2209	1519	2155
55	1549	2708	NA	2526	2943	945	4148	1518	2293	2303	5296	1105	3389	4822	3068	2172	2185	1334	2467	4110	1697	2083	261	2738	2505	2215	1002	5369	NA	4886	3198	5091	4901	1097	4258	1389	3387	3894	2017	4375	717	1706	4890	4493	1910	3375	2145	1273	1531	2320	1456	3981	2321	2786	1708	1733	3242	3750	2741	3624	1365	4489	668	1367	2880	929	1179	3265	3959	1544	5959	2368	777	2550	2037	2984	1550	805	3685	6138	1760	2397	539	2779	1726	1847	1705	4188	1610	3878	1995	3941	2721	3888	1011	8499	7172	3422	2395	3348
60	2362	4073	NA	3842	4280	1711	6097	2385	3692	3689	7844	1844	5244	7178	4756	3434	3116	2059	3822	5993	2667	3093	421	4377	3723	3369	1670	7657	NA	7192	4789	7537	6831	1846	5931	2190	4958	5495	3115	6501	1106	2535	6919	6267	2690	5312	3063	1826	2333	3443	2129	5923	3531	4040	2640	2442	4739	5459	4511	5449	2319	6755	977	2315	4608	1394	1826	4839	5720	2358	7906	3599	1239	3582	3261	4396	2684	1413	5512	8455	2703	3743	828	4180	2653	2908	2673	5978	2562	5673	3273	5788	4353	5716	1674	11717	9890	5347	3584	5224
65	3401	5762	NA	5506	6404	2722	8544	3350	5551	5771	10701	2791	7935	9952	7161	5001	4878	3174	5732	8312	3901	4463	622	6379	5658	5012	2488	9881	NA	9648	6798	10689	9754	2841	8688	3299	6765	7362	4851	9230	1789	3758	10073	8520	4308	7756	4385	3085	3467	5182	3244	8457	5182	5879	3941	3533	6859	7653	6603	7851	3799	9122	1602	3719	6733	2116	2824	6702	8052	3822	10699	5532	1829	5293	5033	6304	4146	2102	7619	10712	4269	5388	1259	6382	4070	4491	3942	8383	3881	8005	5140	8256	6671	8118	2621	15093	12381	7817	5375	7471
70	5286	8188	NA	7589	9183	4114	11575	4759	8287	7891	13513	3991	11360	13448	10167	7120	7234	4790	8041	11148	5804	6993	902	8672	8399	7278	3797	12380	NA	12581	9597	14002	13039	4119	11821	4953	9074	10169	7204	12480	2880	6000	13468	11556	6330	10461	6353	4866	5059	7235	4834	11126	7551	8145	5801	5213	9404	10107	9692	10495	5562	12218	2604	5481	9436	3110	4277	9006	11336	5608	13132	8397	2923	7432	7325	8689	6264	3075	10380	13629	5922	7542	1872	9122	6014	6759	5896	11476	5581	10451	7409	11269	9210	10590	3874	16716	14646	10879	7502	10724
75	7880	11459	NA	9941	11731	6008	13858	6787	11445	11354	15600	6199	14224	16118	12968	9860	9933	6560	10109	13829	8477	9795	1363	11259	11210	9886	5723	15247	NA	14641	12657	16228	15233	6154	14250	6832	11959	12866	10128	15202	4458	8592	16175	14535	9178	13186	8793	7144	7251	10310	7386	13954	10209	11208	8005	7466	11904	13339	12631	13863	7921	14928	4009	7969	12354	4718	6217	12208	14564	8202	15223	11679	4306	10189	10413	11421	8907	4547	13555	15898	8414	10504	2830	12031	8731	9338	8612	14510	7977	13429	10425	13818	11806	13400	5935	16254	15924	13911	10094	13778
80	10883	14774	NA	12473	14027	8563	15558	9335	13942	14348	15930	8869	16460	16778	15320	13142	13248	9537	12846	15507	11438	12368	2334	14023	13664	12748	8256	16087	NA	15784	15108	16409	15965	8787	15965	9387	14603	14964	13302	16453	6555	11531	16113	16012	12185	15584	12288	9861	10219	13237	10271	15569	13495	14210	10914	10369	13882	15546	15167	15879	10532	15727	5595	11008	15035	7395	8890	14824	16207	11259	15431	14669	6087	13046	13550	13649	11622	6568	15430	15343	11799	13506	4287	14455	11950	12237	11511	16669	10914	15467	14467	15373	14189	15656	8530	13338	15048	15923	12981	16809
85	13816	16629	NA	14701	15204	11448	15858	12143	16294	16441	13594	11560	16956	14724	16407	15844	15904	12630	14806	15433	14219	14288	3778	15510	15900	14823	11124	14444	NA	14624	16622	14756	14910	11656	15405	12540	16089	15894	15133	15325	9310	14323	14105	15994	14714	16246	15095	12459	13642	15684	13640	15475	15769	16129	13586	13156	15531	16446	16705	15822	13131	15061	8235	13455	15808	10370	11399	16115	15710	14730	13597	15989	8819	15367	15887	15530	14552	9245	15644	12774	15257	15457	6234	16216	14430	14538	14304	15956	14091	16233	17032	15409	15793	15724	11322	8934	10957	16082	14643	16792
90	15858	16131	NA	15587	14853	14593	13543	15049	16437	16132	10251	14039	14208	10967	15048	16531	16834	15540	14942	13449	15582	15454	5707	14834	16166	15618	14035	11287	NA	11466	15591	10616	11612	14539	13131	14958	14598	14774	15303	12538	12845	15517	10996	12807	15963	13900	16303	14776	16226	16237	15823	12905	15580	15912	15276	15085	14799	14829	15590	13530	15196	12035	11240	15700	14971	13148	14025	15052	13010	16482	10334	15389	11990	16236	16582	15430	16589	12393	13669	9462	17334	15287	8524	15341	16083	16308	15734	12991	16166	13845	17139	13332	15133	13988	13886	5294	7071	13998	15316	14306
95	16107	12812	NA	14344	12098	16236	9532	15898	13785	13351	6553	15589	9943	6879	11630	14527	14688	16585	13583	9598	15710	14736	7953	12519	13522	14511	15816	7594	NA	7496	11514	6320	7855	15971	9173	16192	11497	10730	13687	8036	15354	15005	7677	8494	15308	10404	15011	15741	16299	14257	15893	9315	13406	13093	15470	15092	12223	10270	12182	10164	15665	8281	13993	16424	12150	15235	15621	12153	9354	15827	6400	13148	14714	14387	14261	13147	15967	15267	10940	6088	16245	13613	11556	12411	15125	15629	15602	8938	15903	10251	14298	9783	12632	9961	15676	2474	4344	10276	13885	10507
100	13765	9022	NA	11185	8767	15348	5628	14699	9687	8959	3530	15484	6033	4133	7638	10933	10618	14990	10527	6054	13568	11745	10944	9041	9294	11378	15400	4230	NA	4370	7129	3270	4545	15382	5307	14777	7858	6605	11096	4250	16711	12817	4359	4797	12530	6595	11788	14770	14169	10975	14662	5875	10115	9392	13496	14021	8383	6304	7593	6416	14074	4871	15567	13967	8415	16087	15240	7710	5794	13683	3295	9730	16494	10467	11321	8814	12352	16225	6730	3237	12661	10318	14724	8683	12213	12489	13028	4858	13569	6129	9489	5897	9194	6180	15743	1014	2175	6438	10816	6264
105	9985	5234	NA	7212	5361	12851	2669	11549	5745	5394	1705	13040	3031	2010	3941	6954	6683	11152	6936	2979	9596	8172	13794	5970	5860	7354	13381	1911	NA	2207	3795	1599	2306	13003	2573	11382	4792	3925	7812	1977	15491	9312	1947	2369	8679	3939	8089	11886	10155	6975	11324	3336	7064	5616	9748	10769	4843	3375	4170	3458	10251	2390	15473	10212	4663	15127	13069	4592	3046	9461	1622	5867	15500	6656	6955	5257	8581	14818	3247	1271	7951	6695	16560	5312	8845	7850	9429	2502	9743	2967	5522	3230	5325	3491	13007	415	990	3343	6880	3018
110	6426	2552	NA	4072	3060	9465	1163	7711	2853	3073	821	9146	1352	916	1747	3558	3782	7193	4305	1241	5492	4668	15567	3135	3069	4347	10183	737	NA	1011	1724	657	1069	8773	951	7474	2445	2096	4605	1159	12103	5669	946	1175	5011	1897	4794	7944	6416	3743	7300	1537	3913	2667	6235	7096	2497	1608	2113	1723	6580	1087	13191	6235	2414	11666	9197	2466	1472	5172	648	3021	12357	3566	3493	2754	5042	11863	1463	542	4448	3798	16255	2494	5665	4175	5750	1251	5727	1413	2995	1496	2456	1661	9469	179	456	1520	4070	1269
115	3389	1184	NA	2020	1671	5474	558	4147	1180	1455	276	4883	634	444	689	1715	1747	4032	2005	566	3001	2574	15598	1617	1411	2193	6060	265	NA	413	636	298	422	5176	389	4234	1126	746	2205	568	7800	3261	449	457	2387	758	2255	4471	3498	1703	3605	651	1899	1081	3452	4273	1084	766	903	780	3727	465	9637	3162	975	6947	5431	1173	612	2751	199	1546	8520	1698	1690	1274	2866	7782	697	272	2225	1844	12935	1042	2932	1935	2902	572	2852	601	1902	667	1211	782	5934	133	210	616	2182	532
120	1417	473	NA	935	821	2783	218	2086	445	635	81	2684	240	129	235	660	746	2015	974	213	1386	1157	13182	811	615	998	3090	118	NA	178	289	155	126	2631	190	2213	570	323	1015	256	4359	1719	197	287	1023	252	791	2020	1711	693	1509	260	785	429	1691	1912	484	305	362	325	1977	189	6194	1362	404	3466	2757	519	266	1204	45	597	4975	746	800	596	1430	4516	322	109	1013	799	8642	464	1478	884	1393	218	1273	250	1067	294	537	309	3097	87	119	342	1027	297
125	650	286	NA	357	332	1307	127	974	189	263	17	1575	109	52	69	279	303	976	570	87	603	367	9941	363	238	409	1397	53	NA	89	144	76	56	1322	102	1021	216	143	478	135	2021	819	65	161	372	75	299	812	638	294	553	114	327	252	730	789	244	189	152	183	936	88	3264	505	156	1519	1391	193	102	529	4	301	2340	285	291	283	594	2201	160	32	436	383	4577	237	762	388	663	49	535	135	511	123	252	123	1551	38	85	149	402	150
130	232	167	NA	121	128	648	90	437	77	123	1	796	59	34	23	142	134	450	264	60	248	188	6489	163	82	159	461	25	NA	39	89	51	21	490	47	365	106	74	202	79	938	348	35	54	196	29	149	305	290	148	190	26	124	106	263	354	112	100	78	62	377	45	1545	258	64	630	466	74	37	254	NA	218	927	158	138	120	214	1118	93	10	194	173	2046	101	397	205	252	23	184	68	231	100	95	58	750	31	42	58	150	70
135	105	76	NA	44	32	252	56	215	32	65	NA	317	19	7	17	69	98	222	83	64	70	68	3622	45	41	71	172	24	NA	37	58	24	9	198	27	180	65	35	99	52	359	173	20	7	125	13	71	89	171	72	107	11	66	50	79	147	40	33	54	31	130	25	616	139	25	297	174	22	12	91	NA	92	378	115	19	63	71	443	83	6	132	100	804	49	150	82	92	7	99	27	43	54	53	37	304	13	25	55	70	40
140	82	32	NA	9	14	86	31	85	17	59	NA	169	1	NA	10	40	44	104	21	27	11	10	1757	29	24	32	94	21	NA	21	19	0	6	78	3	102	29	7	66	50	147	92	21	NA	35	7	30	50	72	14	70	0	26	34	31	68	10	11	25	27	52	16	233	108	6	156	64	5	1	68	NA	16	146	39	13	22	28	165	48	5	67	48	318	34	71	40	46	4	27	9	12	15	26	23	87	2	16	52	35	20
145	46	25	NA	1	5	32	26	28	8	46	NA	65	NA	NA	4	18	19	60	1	22	1	NA	664	15	4	4	60	23	NA	6	4	NA	6	33	NA	50	15	13	29	28	67	51	16	NA	17	2	10	29	48	24	54	NA	28	6	7	19	1	0	5	35	22	5	88	33	1	45	39	NA	NA	56	NA	2	50	6	5	5	1	73	23	NA	27	38	164	32	21	35	22	1	31	5	7	2	6	12	37	0	8	21	14	1
150	29	14	NA	NA	0	14	4	4	2	17	NA	24	NA	NA	3	12	29	48	NA	9	0	NA	294	1	NA	3	26	15	NA	NA	2	NA	2	19	NA	25	5	3	19	34	16	17	21	NA	1	NA	1	39	18	28	33	NA	31	0	NA	3	NA	NA	NA	26	5	1	57	1	NA	22	11	NA	NA	45	NA	NA	35	1	NA	NA	NA	43	20	NA	7	17	92	21	18	21	15	NA	24	6	2	NA	2	2	17	NA	1	4	1	NA
155	15	3	NA	NA	NA	5	NA	NA	2	3	NA	16	NA	NA	1	6	30	24	NA	3	NA	NA	143	NA	NA	1	15	10	NA	NA	1	NA	2	6	NA	6	0	NA	5	13	12	6	6	NA	NA	NA	NA	35	2	24	15	NA	26	NA	NA	5	NA	NA	NA	21	NA	NA	39	NA	NA	28	11	NA	NA	14	NA	NA	53	NA	NA	NA	NA	26	7	NA	5	3	75	12	14	9	12	NA	25	2	NA	NA	NA	NA	9	NA	NA	NA	NA	NA
160	2	13	NA	NA	NA	1	NA	NA	1	NA	NA	6	NA	NA	NA	1	21	7	NA	1	NA	NA	67	NA	NA	NA	10	0	NA	NA	NA	NA	2	NA	NA	3	NA	NA	0	3	3	0	NA	NA	NA	NA	NA	17	NA	5	22	NA	3	NA	NA	3	NA	NA	NA	11	NA	NA	17	NA	NA	26	6	NA	NA	8	NA	NA	39	NA	NA	NA	NA	24	5	NA	15	0	46	11	11	5	5	NA	9	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA
165	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	7	1	NA	NA	NA	NA	23	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	8	NA	4	14	NA	NA	NA	NA	2	NA	NA	NA	6	NA	NA	4	NA	NA	9	2	NA	NA	5	NA	NA	13	NA	NA	NA	NA	16	0	NA	1	NA	34	4	5	1	0	NA	4	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
170	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	8	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	3	NA	NA	2	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	22	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
180	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
