0	1	3	2	1	1	2	3	3	1	2	1	2	3	1	2	3	4	3	2	3	2	1	4	3	2	2	2	2	3	4	2	1	2	1	2	2	2	2	4	2	2	2	1	2	1	2	1	2	1	1	4	2	1	1	3	1	2	3	2	1	3	3	1	2	3	4	2	2	2	2	1	3	1	1	2	2	3	1	2	4	2	4	3	2	3	1	3	2	3	2	2	4	4	2	3	3	3	1	1	3
5	12	15	6	10	8	14	20	1	19	7	3	16	9	10	7	6	23	7	15	3	26	17	16	19	8	6	15	15	13	16	11	NA	2	12	21	9	30	20	4	14	16	13	2	18	17	18	7	22	NA	5	23	16	9	10	14	9	15	32	9	NA	12	14	2	10	11	21	7	15	15	8	14	8	8	6	19	14	4	8	13	22	15	10	14	11	16	11	16	16	20	11	5	21	19	11	9	23	19	15	12	26
10	20	35	13	11	18	27	35	0	38	16	12	52	16	6	1	4	33	2	19	NA	33	28	21	14	23	5	43	16	12	34	15	NA	2	15	40	9	49	22	11	26	37	19	3	55	26	13	6	33	NA	13	23	37	27	24	18	14	31	63	12	NA	13	27	12	9	28	19	9	29	49	2	31	13	23	6	42	27	12	18	27	37	35	12	14	22	20	22	15	21	15	6	10	45	30	11	11	33	28	11	28	39
15	36	38	8	19	7	37	24	NA	45	21	24	67	25	24	NA	17	38	NA	33	NA	47	33	32	5	16	4	49	17	24	61	25	NA	8	25	71	16	74	19	18	17	57	31	0	94	34	3	17	39	NA	20	40	36	44	67	32	28	50	86	23	NA	21	66	15	4	55	11	12	47	83	NA	34	13	24	4	76	31	18	20	41	58	56	24	29	11	13	48	19	11	27	8	28	65	34	27	11	57	42	13	61	58
20	55	42	14	12	11	40	40	NA	57	14	14	63	62	39	NA	27	47	NA	53	NA	49	47	44	21	19	12	70	32	22	111	39	NA	23	40	86	14	109	23	19	13	58	33	NA	116	32	5	18	46	NA	25	45	55	69	89	45	27	84	114	38	NA	27	119	20	1	95	15	13	50	96	NA	57	10	31	13	101	41	30	20	66	44	96	63	34	21	5	43	27	1	34	19	34	96	46	60	11	55	68	26	59	55
25	93	64	18	3	4	34	44	NA	97	19	17	83	95	53	NA	27	69	NA	70	NA	53	53	31	38	10	9	104	69	27	177	24	NA	28	88	81	21	127	16	28	16	67	55	NA	167	17	7	17	53	NA	71	49	94	116	101	51	54	114	141	52	NA	38	153	31	8	128	28	29	56	137	NA	111	6	52	15	182	82	49	25	141	43	134	136	37	53	1	43	61	6	29	27	49	119	65	75	3	99	74	38	48	78
30	124	54	29	NA	1	70	56	NA	125	26	25	128	137	85	NA	34	91	NA	77	NA	84	91	41	40	9	15	106	100	31	230	33	NA	39	159	137	32	145	16	65	23	88	99	NA	181	14	3	5	67	NA	120	78	112	144	124	42	42	100	185	78	NA	57	156	43	8	209	33	31	56	161	NA	145	7	62	19	293	94	54	20	207	56	160	180	56	53	NA	44	77	2	44	44	75	125	69	100	7	152	105	53	63	75
35	159	87	42	NA	NA	114	104	NA	181	46	33	154	155	97	NA	39	145	NA	98	NA	118	66	35	49	1	13	125	100	45	299	66	NA	39	200	201	42	167	27	86	37	131	110	NA	241	20	NA	12	73	NA	171	167	141	220	199	43	58	159	253	100	NA	47	169	37	2	274	46	27	64	186	NA	188	6	105	23	388	89	47	28	244	57	252	272	96	46	NA	83	126	2	78	43	132	167	101	142	40	185	167	31	79	137
40	180	105	60	NA	NA	140	161	NA	255	56	37	184	203	126	NA	70	194	NA	99	NA	164	68	56	57	NA	14	149	122	64	364	138	NA	35	301	250	25	196	56	95	32	146	117	NA	343	15	NA	23	76	NA	252	218	190	319	253	54	66	218	333	141	NA	56	221	79	NA	335	47	33	86	276	NA	246	8	147	15	458	84	33	30	356	96	338	351	113	31	NA	72	151	2	91	43	198	252	151	200	43	214	194	58	109	158
45	193	114	68	NA	NA	169	222	NA	301	76	48	249	301	171	NA	127	250	NA	137	NA	212	81	80	72	NA	25	204	150	50	477	182	NA	70	353	346	31	230	91	116	53	151	108	NA	368	37	NA	24	100	NA	286	253	261	392	285	64	79	262	401	180	NA	102	236	144	NA	450	75	39	102	436	NA	388	5	193	36	574	102	33	29	459	154	395	482	124	70	NA	71	191	3	112	51	284	392	220	252	57	319	230	80	188	207
50	229	140	120	NA	NA	233	285	NA	369	93	75	341	423	254	NA	186	338	NA	240	NA	278	99	102	94	NA	25	263	223	72	590	218	NA	105	395	481	35	353	157	181	49	142	175	NA	535	60	NA	38	130	NA	325	281	279	467	369	65	89	397	488	238	NA	122	275	179	NA	561	89	40	119	606	NA	566	15	264	54	786	137	56	41	580	151	434	629	155	137	NA	102	298	3	142	72	364	515	296	343	82	513	331	97	204	265
55	301	130	143	NA	NA	290	403	NA	556	126	69	477	581	345	NA	208	417	NA	281	NA	338	161	184	131	NA	18	351	348	75	737	261	NA	140	549	582	61	501	255	233	75	230	178	NA	674	41	NA	69	182	NA	440	388	400	528	428	90	137	610	629	296	NA	158	394	259	NA	635	62	60	152	851	NA	683	28	316	89	1021	223	67	44	790	188	462	789	183	242	NA	121	410	6	164	82	391	625	337	453	102	599	496	198	269	305
60	411	146	163	NA	NA	404	503	NA	761	142	75	629	716	433	NA	220	558	NA	404	NA	406	215	244	175	NA	33	440	500	124	966	261	NA	191	810	775	68	608	372	289	111	285	221	NA	915	37	NA	97	252	NA	546	479	575	681	664	188	150	782	843	403	NA	172	535	341	NA	855	73	83	154	1211	NA	832	25	407	100	1339	254	97	72	1025	242	531	1124	242	368	NA	168	378	17	226	83	519	769	421	572	163	754	637	235	326	407
65	566	178	204	NA	NA	508	630	NA	912	201	106	791	917	645	NA	277	823	NA	477	NA	524	280	316	250	NA	42	505	635	154	1267	284	NA	200	1158	966	98	884	563	428	127	374	329	NA	1241	70	NA	144	386	NA	693	581	591	912	920	275	207	1093	969	547	NA	161	706	474	NA	1119	120	75	209	1686	NA	1053	41	517	121	1645	411	139	117	1179	232	710	1420	268	511	NA	278	418	20	301	126	709	893	583	684	200	923	786	222	476	507
70	743	199	274	NA	NA	729	835	NA	1183	263	196	1104	999	941	NA	419	1254	NA	573	NA	589	324	439	310	NA	29	510	772	201	1596	346	NA	311	1553	1203	140	1228	641	483	181	445	512	NA	1650	117	NA	177	465	NA	845	716	685	1164	1181	327	295	1398	1078	632	NA	203	986	688	NA	1459	149	130	230	2107	NA	1251	71	578	160	2059	529	213	134	1432	311	999	1828	345	697	NA	300	612	25	373	145	1031	1187	799	879	186	1258	937	343	699	548
75	898	233	358	NA	NA	904	1012	NA	1495	358	290	1327	1294	1343	NA	511	1534	NA	733	NA	808	353	580	384	NA	29	586	1155	217	2020	419	NA	364	2069	1534	221	1530	716	595	192	521	727	NA	1809	127	NA	217	623	NA	1079	986	971	1335	1515	370	313	1683	1347	740	NA	285	1323	932	NA	1859	164	177	279	2622	NA	1545	63	737	229	2457	601	286	182	1651	430	1329	2114	489	927	NA	338	925	33	485	180	1262	1556	947	1050	264	1669	1127	415	919	696
80	1171	308	484	NA	NA	1114	1203	NA	1869	454	353	1721	1636	1555	NA	688	1805	NA	929	NA	1022	504	761	466	NA	34	811	1653	309	2395	594	NA	448	2633	1984	343	1857	916	770	262	663	972	NA	2382	160	NA	229	773	NA	1288	1263	1231	1590	1873	457	399	2157	1745	819	NA	386	1620	1188	NA	2260	247	243	324	3240	NA	1967	62	947	259	3040	839	355	284	1949	564	1657	2516	662	1023	NA	443	1180	36	570	196	1409	1902	1196	1205	322	2097	1199	522	1202	881
