0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	9	8	9	8	8	8	8	8	9	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	8	8	8	8	8	9	9	8	8	8	8	8	8	8	8	9	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	8	8	8	12	8	8	8	8	8	8	8
2	16	13	17	12	12	12	12	12	16	12	13	12	12	12	12	12	12	12	12	12	12	12	12	12	16	12	12	12	12	12	16	17	12	12	12	12	12	12	12	12	16	13	12	12	13	12	12	12	12	12	13	12	13	12	12	13	12	13	12	12	12	16	12	12	12	13	13	12	12	12	12	13	12	12	12	12	12	12	12	12	12	13	12	12	12	13	12	12	16	12	13	13	20	12	12	12	12	14	12	12
3	24	20	29	17	16	16	16	16	24	16	20	16	17	16	16	17	16	16	16	16	16	16	16	16	24	16	16	16	17	16	24	28	16	16	16	17	16	16	16	16	24	20	16	16	20	16	16	16	16	16	20	16	20	16	16	20	16	20	16	16	17	24	16	16	16	20	20	18	17	16	16	20	18	16	16	17	17	16	16	19	16	20	16	17	16	20	16	16	24	16	21	21	29	16	16	16	16	24	16	16
4	33	28	46	25	22	21	21	21	32	21	28	21	24	20	20	24	21	20	20	20	20	20	21	21	33	21	20	21	24	20	32	40	20	20	20	24	20	20	22	20	32	28	21	21	30	20	20	20	21	21	29	21	29	21	20	28	20	28	20	20	24	32	20	20	20	29	30	29	25	20	20	28	28	20	21	24	24	21	20	34	20	28	21	24	20	28	21	20	32	20	32	32	40	20	20	20	20	36	20	20
5	45	36	68	37	33	28	29	29	40	29	36	28	33	25	24	32	31	24	24	24	24	24	29	29	44	29	24	28	32	25	43	52	24	24	24	32	24	24	33	24	40	36	29	29	44	26	24	24	28	28	40	28	41	28	25	36	24	36	24	24	32	40	24	24	26	41	45	44	36	25	24	36	40	24	28	32	33	28	24	56	25	38	28	32	24	36	28	26	41	24	45	44	53	25	24	24	25	49	24	24
6	60	44	93	54	49	36	40	41	48	41	44	37	45	33	28	42	48	29	29	28	29	28	40	40	57	40	28	36	40	32	60	65	29	29	31	43	28	28	50	29	49	44	40	42	60	37	28	28	37	37	53	36	56	36	32	44	29	44	28	28	40	49	28	28	36	57	65	60	48	32	28	44	54	28	36	40	44	37	28	80	32	53	36	40	28	44	37	36	52	28	61	57	68	32	28	28	32	66	28	28
7	78	55	122	77	69	45	53	57	57	57	53	48	60	44	33	57	69	36	36	32	36	32	53	53	73	54	32	44	49	41	82	83	36	37	46	61	32	32	72	36	62	53	53	61	79	52	33	35	49	48	68	44	72	45	40	53	36	52	32	33	50	62	32	33	49	77	89	79	60	40	32	52	72	33	45	49	56	49	32	105	40	73	44	48	32	54	51	51	65	34	81	73	85	40	32	32	42	91	32	32
8	104	72	158	104	92	58	70	77	69	76	67	60	78	56	41	76	94	44	44	39	46	37	68	68	92	72	36	53	61	52	111	109	44	49	68	86	38	37	98	44	83	64	69	85	104	70	40	49	65	60	89	53	90	57	51	65	45	60	37	41	66	80	36	41	66	102	116	105	73	48	38	60	93	41	56	62	68	65	36	132	48	97	52	56	37	70	73	72	83	44	104	93	109	48	37	38	56	125	37	36
9	142	94	205	135	118	77	92	102	88	98	89	73	101	71	50	97	124	52	52	52	60	44	87	87	114	92	40	65	76	64	150	143	53	64	92	118	49	44	130	52	114	80	91	112	135	95	48	69	84	74	121	66	113	72	68	83	60	70	45	54	90	102	40	52	91	132	146	138	88	56	48	70	119	52	70	80	82	87	42	162	57	130	61	64	45	92	101	98	110	58	130	120	147	57	46	48	72	169	44	41
