0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	6	5	5	5
1	8	8	8	8	8	9	8	8	8	8	8	8	9	8	8	8	8	8	12	8	8	8	9	8	8	8	8	8	8	8	9	8	8	8	9	8	8	8	8	9	8	8	8	8	8	8	8	8	8	8	8	8	8	9	8	8	8	8	8	8	8	8	8	8	8	9	8	8	8	8	9	8	8	8	12	8	8	9	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	12	8	12	8	8	8
2	12	13	12	12	12	16	12	12	13	12	12	12	17	12	12	13	12	12	20	12	13	12	16	13	12	12	13	12	12	12	16	12	13	12	16	12	12	12	12	16	12	12	12	12	12	12	12	12	12	12	12	12	12	16	12	12	12	12	12	12	12	12	12	12	12	16	12	12	12	12	16	13	12	12	20	12	12	16	12	13	12	12	12	13	12	12	12	12	12	12	12	12	12	12	20	12	20	12	12	13
3	16	21	16	16	17	24	16	16	20	16	16	16	29	16	16	20	16	16	29	16	20	16	24	21	16	16	20	16	17	16	24	16	20	17	24	16	16	17	16	25	17	16	16	16	16	16	16	16	17	16	17	17	16	24	16	17	17	16	16	16	16	16	16	16	16	24	17	17	16	17	24	22	17	16	28	16	16	24	16	20	16	17	17	20	17	16	16	16	17	16	16	17	16	17	28	16	28	16	16	20
4	21	32	21	20	24	33	20	20	28	20	20	20	45	21	20	29	21	21	40	20	28	20	34	32	20	20	28	20	24	20	32	21	28	24	32	21	20	24	20	36	24	20	20	20	20	22	20	21	24	21	25	24	20	33	21	24	24	21	20	20	21	20	20	21	20	34	25	25	20	24	33	36	24	20	36	20	20	32	20	28	21	24	24	29	24	20	20	20	24	20	20	24	20	24	36	20	36	20	21	28
5	29	46	28	26	32	44	25	24	37	25	24	24	65	28	24	40	31	28	53	24	36	24	48	44	24	24	36	24	33	24	41	29	36	32	41	28	24	32	24	48	33	25	24	24	25	33	24	30	32	28	37	32	25	44	29	33	32	28	24	25	29	24	24	29	25	48	36	36	25	33	44	52	34	24	45	24	24	41	27	36	29	33	33	40	32	24	24	24	32	24	25	34	25	32	46	24	44	24	28	37
6	40	67	36	36	40	57	32	28	48	32	29	28	88	37	28	52	48	36	69	29	44	29	65	58	28	28	44	29	44	28	52	40	44	40	52	38	28	41	29	60	45	33	28	28	33	48	28	44	41	37	52	40	32	58	41	44	40	36	28	32	40	28	29	41	33	67	50	49	33	44	57	68	48	28	57	29	28	53	41	44	40	44	44	52	41	29	28	28	40	28	32	49	34	41	60	28	53	28	36	49
7	52	96	44	48	50	74	42	32	61	41	36	33	113	49	32	64	69	44	89	36	54	37	84	79	33	32	53	36	56	32	65	52	52	49	65	52	33	53	38	72	60	45	34	32	44	65	33	64	54	48	68	49	41	76	58	58	48	44	33	40	53	32	36	57	45	93	68	66	44	57	73	87	65	32	73	36	33	71	60	53	55	57	56	67	52	36	32	32	50	33	42	68	48	53	77	32	64	34	45	64
8	64	129	53	60	66	97	57	36	78	53	45	41	144	67	37	77	94	53	114	45	69	48	106	111	41	36	65	44	68	37	85	64	60	60	80	68	41	70	49	84	77	60	45	36	58	85	40	94	72	63	86	60	53	97	80	76	58	52	40	49	68	37	45	77	61	127	89	90	59	72	95	114	84	37	94	45	41	97	76	67	78	74	70	90	64	44	36	36	65	41	57	89	66	68	96	37	78	45	56	81
9	76	169	68	73	90	128	78	41	101	68	56	53	190	93	45	93	124	64	146	57	90	61	134	154	53	40	80	52	80	44	120	76	70	74	99	87	53	95	60	97	96	76	61	40	77	109	48	132	96	85	110	74	69	121	104	97	73	64	50	60	84	44	56	102	80	173	114	123	80	90	124	149	106	45	124	59	52	129	90	89	109	97	88	120	79	52	40	41	85	53	81	113	93	86	117	44	98	60	68	102
10	89	220	94	90	122	170	105	49	128	87	68	68	257	127	58	114	158	76	187	74	119	80	168	207	69	46	99	60	92	52	170	94	88	95	124	113	69	130	73	114	118	94	81	46	106	136	57	173	128	115	143	92	89	151	130	121	94	86	66	61	103	54	69	135	102	236	146	168	106	114	160	189	135	57	167	80	67	168	107	119	147	127	112	155	100	61	45	49	112	69	117	141	133	112	143	53	127	77	82	131
11	106	281	130	113	161	229	141	60	157	113	81	86	346	169	78	142	197	88	238	98	159	110	206	271	89	58	126	69	105	61	233	124	117	124	154	145	89	173	89	137	145	117	104	57	150	165	69	218	168	154	186	114	114	191	166	149	120	118	88	70	130	68	85	179	130	313	188	226	138	146	206	238	173	75	221	105	89	221	127	157	194	166	144	198	125	72	52	61	153	90	163	172	181	149	180	66	165	97	101	172
12	130	356	176	142	207	311	194	73	191	151	96	110	463	218	110	177	245	103	299	128	211	152	255	347	114	78	165	84	121	74	312	164	152	157	189	180	116	221	112	166	180	148	133	73	207	199	87	275	220	201	237	143	147	247	219	181	149	157	114	82	167	86	109	239	169	404	241	294	178	191	264	305	220	100	283	133	118	295	154	203	252	218	183	251	152	86	61	76	212	116	218	207	237	195	232	84	215	120	124	228
13	161	450	232	178	265	416	267	93	233	207	115	141	617	276	158	216	313	128	370	164	274	205	324	440	145	106	220	110	143	92	409	214	190	193	236	220	155	275	145	201	226	190	174	93	279	243	118	350	288	258	293	181	189	324	290	219	183	203	149	97	213	111	153	323	222	517	304	369	226	255	339	393	285	131	358	169	154	392	193	261	324	287	227	317	187	108	73	96	287	146	282	254	311	252	302	104	286	145	151	301
14	203	570	298	220	340	549	359	125	288	277	141	180	815	349	217	261	408	164	455	211	348	272	413	539	184	143	293	150	176	113	530	276	239	233	303	272	206	341	183	244	285	244	228	117	374	301	168	444	371	333	354	229	237	420	380	267	231	262	198	117	271	145	224	438	293	656	381	457	283	337	438	505	379	170	453	220	200	519	245	335	414	373	278	405	240	140	89	127	374	184	358	322	406	322	393	126	380	172	187	392
15	263	732	384	268	432	712	474	168	362	363	174	235	1053	446	279	318	525	207	568	263	445	360	520	692	234	191	387	205	225	140	690	354	312	280	387	339	268	427	227	301	361	311	295	145	493	380	239	559	462	431	425	294	292	536	484	332	301	338	260	146	351	187	317	593	389	820	482	572	351	439	560	656	508	219	574	291	260	685	311	422	526	484	345	518	310	179	109	174	472	233	454	413	525	409	501	154	495	199	236	506
16	341	949	497	326	549	918	625	221	458	472	215	312	1343	579	358	392	672	263	718	334	582	478	655	888	296	255	507	272	294	177	895	454	415	340	484	419	345	540	285	377	458	392	375	179	637	489	330	698	570	550	514	381	362	683	610	428	394	430	336	185	460	243	428	798	515	1036	613	714	434	570	701	853	678	280	728	382	338	884	398	530	663	637	433	667	393	230	136	242	592	293	574	529	680	533	631	191	635	236	298	653
17	439	1219	636	398	708	1187	834	283	590	598	268	412	1707	759	455	492	863	343	914	420	758	640	806	1135	370	342	656	350	381	222	1155	582	548	420	604	518	449	683	361	473	578	492	472	224	810	636	444	848	712	687	628	494	456	877	761	565	507	551	430	240	599	319	555	1059	673	1317	771	898	537	738	864	1115	889	359	926	489	434	1119	508	676	835	834	541	865	497	302	176	333	755	372	722	677	879	710	788	240	807	287	375	837
18	565	1543	813	480	915	1530	1110	360	771	764	330	538	2144	1001	584	626	1105	449	1157	529	986	852	989	1467	457	455	847	443	498	276	1491	746	719	529	762	647	589	859	457	597	731	630	596	282	1041	810	589	1057	896	866	774	642	580	1121	938	738	639	719	543	319	773	412	699	1377	864	1687	965	1147	670	958	1076	1454	1135	461	1181	618	547	1431	648	861	1063	1087	673	1114	631	393	231	448	975	477	894	853	1128	935	978	304	1028	357	480	1078
19	728	1943	1042	592	1178	1961	1446	464	1006	980	408	685	2684	1313	754	797	1414	582	1470	672	1284	1115	1230	1881	573	603	1100	559	650	337	1923	947	933	679	967	822	762	1090	585	763	938	827	757	361	1339	1048	764	1327	1130	1106	960	829	737	1435	1179	945	793	944	677	420	996	527	870	1785	1101	2160	1213	1464	841	1240	1362	1847	1430	588	1494	782	689	1837	823	1068	1374	1408	841	1425	797	509	304	594	1252	603	1126	1060	1439	1213	1210	383	1310	455	623	1391
20	944	2442	1337	735	1532	2490	1850	597	1300	1260	513	874	3358	1696	966	1015	1790	755	1861	856	1659	1434	1529	2377	742	799	1421	704	841	417	2463	1197	1191	879	1232	1066	972	1378	753	979	1200	1085	962	476	1693	1360	975	1691	1422	1419	1204	1059	930	1835	1476	1209	980	1235	844	539	1283	676	1080	2268	1404	2755	1530	1856	1047	1591	1731	2349	1787	748	1879	993	877	2323	1045	1319	1781	1807	1064	1809	1001	665	400	772	1581	761	1437	1310	1838	1571	1507	491	1660	585	803	1796
21	1231	3055	1718	931	1994	3130	2358	775	1652	1616	642	1114	4126	2185	1232	1287	2241	973	2356	1089	2102	1826	1908	2977	975	1039	1807	887	1086	521	3125	1529	1500	1133	1572	1387	1238	1732	964	1246	1526	1395	1226	625	2117	1735	1237	2168	1782	1830	1531	1334	1174	2319	1847	1553	1217	1593	1068	686	1640	866	1337	2873	1781	3445	1933	2354	1308	2035	2207	2961	2213	955	2346	1266	1112	2943	1321	1620	2281	2290	1356	2270	1267	870	517	981	1989	962	1825	1615	2332	2005	1896	633	2123	751	1018	2283
22	1568	3779	2216	1184	2558	3941	2993	1021	2097	2036	795	1413	4984	2830	1569	1648	2824	1240	2991	1398	2678	2284	2421	3669	1268	1340	2271	1129	1405	660	3883	1973	1884	1456	1990	1751	1570	2168	1229	1581	1925	1747	1574	810	2644	2193	1540	2780	2242	2341	1959	1696	1488	2936	2313	1974	1512	2029	1358	874	2084	1111	1648	3586	2228	4320	2444	2975	1656	2566	2803	3695	2769	1209	2923	1621	1395	3694	1674	2017	2899	2824	1711	2822	1614	1123	657	1259	2481	1221	2295	2017	2961	2527	2379	816	2708	972	1296	2867
23	2009	4670	2833	1512	3257	4898	3735	1314	2646	2512	989	1798	6003	3653	1975	2114	3529	1580	3796	1806	3387	2841	3040	4545	1625	1722	2863	1433	1805	847	4736	2500	2332	1853	2484	2201	1968	2697	1563	2004	2444	2192	2032	1039	3308	2741	1975	3548	2827	2977	2507	2165	1900	3702	2855	2496	1907	2572	1728	1117	2622	1423	2034	4376	2793	5381	3085	3736	2116	3226	3550	4635	3456	1525	3639	2086	1739	4559	2102	2507	3630	3499	2163	3533	2051	1428	825	1632	3084	1549	2875	2523	3708	3201	2994	1061	3436	1233	1637	3565
24	2597	5626	3583	1947	4097	5997	4599	1651	3312	3130	1260	2286	7126	4661	2463	2649	4350	1997	4749	2281	4285	3535	3853	5643	2080	2196	3587	1838	2285	1081	5754	3139	2849	2326	3109	2753	2469	3334	1964	2536	3072	2739	2625	1327	4148	3416	2528	4501	3530	3740	3213	2773	2422	4651	3476	3176	2407	3248	2202	1436	3238	1823	2529	5339	3499	6523	3854	4660	2666	4075	4463	5772	4272	1901	4540	2669	2172	5604	2650	3112	4500	4318	2752	4390	2584	1817	1028	2110	3807	1956	3590	3145	4666	4021	3752	1380	4255	1573	2066	4410
25	3312	6723	4433	2536	5066	7279	5609	2073	4118	3928	1634	2915	8417	5811	3036	3305	5290	2509	5867	2855	5334	4359	4818	6932	2667	2760	4441	2338	2849	1357	6967	3889	3519	2925	3829	3444	3100	4072	2498	3245	3858	3398	3342	1683	5163	4200	3168	5616	4397	4642	4067	3549	3062	5768	4230	3987	3033	4025	2734	1848	4002	2340	3178	6449	4369	7843	4816	5698	3329	5088	5493	7084	5242	2352	5537	3386	2708	6796	3338	3837	5559	5312	3446	5400	3249	2287	1274	2687	4663	2432	4422	3894	5735	4966	4651	1800	5168	2003	2603	5371
26	4134	7926	5328	3258	6129	8685	6692	2551	5089	4881	2111	3642	9860	7067	3747	4127	6481	3143	7106	3529	6570	5340	5899	8257	3401	3462	5405	2957	3547	1682	8244	4761	4325	3672	4730	4229	3899	4972	3166	4093	4804	4221	4194	2130	6345	5185	3894	6899	5427	5674	5103	4443	3859	6988	5135	4968	3811	4927	3392	2359	4939	2988	3980	7715	5450	9308	5966	6835	4113	6219	6733	8497	6311	2901	6655	4253	3334	8140	4169	4793	6689	6450	4287	6522	4066	2884	1576	3338	5645	3000	5418	4831	6887	6059	5697	2319	6295	2535	3283	6519
