#x	R0Mean
10	1.39232
20	1.140278
30	1.115231
40	1.118457
50	1.093538
60	1.06384
70	1.045181
80	1.046526
90	1.042814
100	1.034796
110	1.02685
120	1.032632
130	1.024148
140	1.020474
150	1.018175
160	1.019855
170	1.017225
180	1.015328
190	1.011187
200	1.012236
210	1.017598
220	1.02123
230	1.024834
240	1.022867
250	1.019379
260	1.02737
270	1.023857
280	1.021639
290	1.016696
300	1.015584
310	1.017677
320	1.016764
330	1.016479
340	1.016335
350	1.014497
360	1.013739
370	1.012526
380	1.009678
390	1.011563
400	1.012384
410	1.011219
420	1.01196
430	1.011558
440	1.012117
450	1.01081
460	1.010564
470	1.009807
480	1.010393
490	1.011014
500	1.009071
510	1.008741
520	1.00817
530	1.007492
540	1.006771
550	1.006022
560	1.005851
570	1.006575
580	1.006228
590	1.007347
600	1.00744
610	1.008463
620	1.00773
630	1.008134
640	1.006962
650	1.00669
660	1.006701
670	1.006493
680	1.005622
690	1.00637
700	1.006455
710	1.006758
720	1.006639
730	1.007088
740	1.006336
750	1.006712
760	1.006601
770	1.006883
780	1.006321
790	1.005569
800	1.00545
810	1.005334
820	1.005635
830	1.005644
840	1.005736
850	1.005516
860	1.005004
870	1.005027
880	1.004839
890	1.004951
900	1.00434
910	1.004545
920	1.003728
930	1.00341
940	1.003458
950	1.003103
960	1.003049
970	1.003042
980	1.002761
990	1.002343
1000	1.002737
1010	1.002394
1020	1.002561
1030	1.002972
1040	1.002952
1050	1.002975
1060	1.002604
1070	1.002171
1080	1.002328
1090	1.002224
1100	1.00191
1110	1.001721
1120	1.001683
1130	1.001753
1140	1.001428
1150	1.001597
1160	1.001896
1170	1.001802
1180	1.001636
1190	1.00133
1200	1.001756
1210	1.001962
1220	1.002132
1230	1.001635
1240	1.001441
1250	1.001113
1260	1.000923
1270	1.000994
1280	1.000865
1290	1.000761
1300	1.000664
1310	1.000596
1320	1.000517
1330	1.000482
1340	1.000483
1350	1.000386
1360	1.000346
1370	1.000436
1380	1.000401
1390	1.000326
1400	1.000263
1410	1.000246
1420	1.000105
1430	1.000096
1440	1.000074
1450	1.000113
1460	1.000139
1470	1.000148
1480	1.000082
1490	1.0001
1500	1.000196
1510	1.000192
1520	1.000256
1530	1.000174
1540	1.000131
1550	1.000128
1560	1.000178
1570	1.000181
1580	1.000148
1590	1.000201
1600	1.000213
1610	1.000144
1620	1.000197
1630	1.000274
1640	1.000328
1650	1.000292
1660	1.000259
1670	1.000163
1680	1.000219
1690	1.000036
1700	1.000049
1710	1.000094
1720	1
