#x	R0Mean
10	1.350202
20	1.270436
30	1.158593
40	1.105933
50	1.069866
60	1.054741
70	1.048474
80	1.048104
90	1.038614
100	1.039784
110	1.026641
120	1.021116
130	1.016605
140	1.019186
150	1.015585
160	1.013661
170	1.02013
180	1.018969
190	1.017035
200	1.017764
210	1.010264
220	1.011045
230	1.013079
240	1.011836
250	1.012066
260	1.013124
270	1.009778
280	1.013187
290	1.013232
300	1.009821
310	1.012521
320	1.011652
330	1.008345
340	1.008705
350	1.010418
360	1.009827
370	1.009178
380	1.008852
390	1.008644
400	1.008384
410	1.010308
420	1.010622
430	1.009082
440	1.007444
450	1.006057
460	1.005922
470	1.004824
480	1.00571
490	1.004896
500	1.005325
510	1.005403
520	1.006136
530	1.006327
540	1.006814
550	1.005561
560	1.005815
570	1.006614
580	1.006488
590	1.008417
600	1.007864
610	1.007015
620	1.006813
630	1.008459
640	1.007043
650	1.007015
660	1.008136
670	1.007051
680	1.006258
690	1.00695
700	1.006275
710	1.00738
720	1.00647
730	1.007325
740	1.007268
750	1.007498
760	1.007326
770	1.007927
780	1.007863
790	1.008519
800	1.007414
810	1.006848
820	1.006397
830	1.00679
840	1.005503
850	1.005079
860	1.004873
870	1.004913
880	1.00456
890	1.004232
900	1.004401
910	1.004385
920	1.004579
930	1.004445
940	1.004643
950	1.004341
960	1.00363
970	1.004099
980	1.004673
990	1.005306
1000	1.004788
1010	1.00509
1020	1.005612
1030	1.005549
1040	1.004899
1050	1.004434
1060	1.004777
1070	1.004666
1080	1.004594
1090	1.003843
1100	1.004161
1110	1.004203
1120	1.004209
1130	1.003728
1140	1.003338
1150	1.00325
1160	1.003813
1170	1.004332
1180	1.003541
1190	1.003495
1200	1.004128
1210	1.003884
1220	1.003773
1230	1.003476
1240	1.003012
1250	1.002833
1260	1.003037
1270	1.002856
1280	1.002765
1290	1.00239
1300	1.00342
1310	1.002746
1320	1.002576
1330	1.002225
1340	1.002343
1350	1.002261
1360	1.002532
1370	1.002357
1380	1.002164
1390	1.002134
1400	1.002532
1410	1.002331
1420	1.002235
1430	1.002486
1440	1.002027
1450	1.002216
1460	1.002118
1470	1.001636
1480	1.001817
1490	1.001896
1500	1.001881
1510	1.001352
1520	1.001416
1530	1.001267
1540	1.001313
1550	1.001522
1560	1.001516
1570	1.001023
1580	1.000697
1590	1.000846
1600	1.000746
1610	1.000653
1620	1.00075
1630	1.0007
1640	1.000652
1650	1.000558
1660	1.000473
1670	1.000574
1680	1.000726
1690	1.000539
1700	1.000622
1710	1.000534
1720	1.000529
1730	1.000457
1740	1.000361
1750	1.00042
1760	1.000323
1770	1.000285
1780	1.000293
1790	1.000333
1800	1.000255
1810	1.000265
1820	1.000086
1830	1.000096
1840	1.000103
1850	1.000066
1860	1.000178
1870	1.0002
1880	1.000096
1890	1.000032
1900	1
1910	1
