#x	R0Mean
10	1.467677
20	1.015625
30	1.066667
40	1.085563
50	1.076202
60	1.07274
70	1.08438
80	1.054398
90	1.065556
100	1.065103
110	1.083547
120	1.08569
130	1.076719
140	1.065748
150	1.074449
160	1.079346
170	1.083446
180	1.070541
190	1.066244
200	1.069288
210	1.067233
220	1.062633
230	1.061551
240	1.055466
250	1.049926
260	1.0413
270	1.035653
280	1.029522
290	1.024005
300	1.018291
310	1.012948
320	1.009387
330	1.00616
340	1.003981
350	1.002913
360	1.002015
370	1.001306
380	1.000804
390	1.000444
400	1.000273
410	1.000134
420	1.000108
430	1.000114
440	1.000122
450	1.000038
460	1.000012
