#x	R0Mean
1	NaN
2	NaN
3	NaN
4	NaN
5	NaN
6	NaN
7	NaN
8	NaN
9	NaN
10	2.950872
11	2.512829
12	2.809723
13	2.494842
14	2.320698
15	2.084333
16	1.974086
17	1.880696
18	1.820285
19	1.81251
20	1.784832
21	1.776784
22	1.759987
23	1.752166
24	1.757432
25	1.762004
26	1.766901
27	1.779578
28	1.780875
29	1.780046
30	1.773914
31	1.76241
32	1.746618
33	1.736383
34	1.729412
35	1.719693
36	1.706986
37	1.683551
38	1.661042
39	1.643361
40	1.628245
41	1.614325
42	1.600261
43	1.587287
44	1.575691
45	1.55599
46	1.544998
47	1.536296
48	1.530889
49	1.525763
50	1.522031
51	1.51726
52	1.514618
53	1.509302
54	1.508644
55	1.506417
56	1.505602
57	1.504742
58	1.504655
59	1.504306
60	1.503957
61	1.50364
62	1.505151
63	1.50582
64	1.505807
65	1.50596
66	1.506696
67	1.505374
68	1.504992
69	1.505626
70	1.505429
71	1.503663
72	1.502485
73	1.501581
74	1.499663
75	1.498665
76	1.496839
77	1.49585
78	1.494249
79	1.492412
80	1.490916
81	1.489548
82	1.487974
83	1.486092
84	1.484127
85	1.481892
86	1.479171
87	1.475204
88	1.470947
89	1.466371
90	1.461083
91	1.455508
92	1.448793
93	1.44278
94	1.436308
95	1.429298
96	1.421964
97	1.414367
98	1.405769
99	1.396899
100	1.387775
101	1.378197
102	1.367439
103	1.356594
104	1.345233
105	1.333753
106	1.321489
107	1.308933
108	1.296798
109	1.283989
110	1.270883
111	1.257657
112	1.244326
113	1.230594
114	1.217181
115	1.203808
116	1.190111
117	1.176487
118	1.163488
119	1.150315
120	1.137661
121	1.125342
122	1.113337
123	1.102033
124	1.091178
125	1.080861
126	1.07131
127	1.062723
128	1.054661
129	1.04719
130	1.040609
131	1.034596
132	1.029053
133	1.024111
134	1.020032
135	1.016358
136	1.013184
137	1.010515
138	1.008169
139	1.006317
140	1.004817
141	1.003682
142	1.002741
143	1.001999
144	1.001428
145	1.00102
146	1.000793
147	1.000568
148	1.000426
149	1.000287
150	1.000224
151	1.000149
152	1.000078
153	1.00003
154	1.000024
155	1.000024
156	1.000012
157	1
158	1
159	1
