#x	accInfections
0	2.5e-05
10	0.00033125
20	0.00070625
30	0.00115625
40	0.00209375
50	0.0031125
60	0.00403125
70	0.00499375
80	0.0061
90	0.00730625
100	0.0087625
110	0.0098875
120	0.01135625
130	0.0127375
140	0.0139
150	0.01496875
160	0.01626875
170	0.01754375
180	0.01866875
190	0.019625
200	0.0208125
210	0.02236875
220	0.024425
230	0.0270875
240	0.0299875
250	0.0328
260	0.03676875
270	0.0405375
280	0.0447875
290	0.04820625
300	0.05185625
310	0.05579375
320	0.060275
330	0.06483125
340	0.06980625
350	0.07463125
360	0.0793125
370	0.0841
380	0.08803125
390	0.0926625
400	0.09775625
410	0.1029687
420	0.1087313
430	0.114025
440	0.1202562
450	0.1262312
460	0.1322437
470	0.1379375
480	0.1441437
490	0.1513625
500	0.1576625
510	0.1639625
520	0.1697687
530	0.1754188
540	0.1805875
550	0.1854812
560	0.1903375
570	0.195475
580	0.2008625
590	0.2071375
600	0.2139437
610	0.2216812
620	0.2294188
630	0.2375687
640	0.2447625
650	0.2522875
660	0.2597687
670	0.2675438
680	0.2740375
690	0.2811625
700	0.2892312
710	0.297725
720	0.306525
730	0.3158813
740	0.3248875
750	0.3343375
760	0.3442188
770	0.3547438
780	0.364375
790	0.3733625
800	0.3822437
810	0.3911438
820	0.4004687
830	0.4104437
840	0.4206375
850	0.4308375
860	0.4406813
870	0.450425
880	0.4598937
890	0.4698125
900	0.478975
910	0.4883125
920	0.49685
930	0.5044062
940	0.5120313
950	0.5190875
960	0.526025
970	0.5329687
980	0.5397125
990	0.545275
1000	0.551675
1010	0.5574125
1020	0.5636625
1030	0.5704187
1040	0.57795
1050	0.5853563
1060	0.5923188
1070	0.5984687
1080	0.60435
1090	0.6102812
1100	0.6153875
1110	0.6200562
1120	0.6246563
1130	0.6293625
1140	0.6334062
1150	0.6378
1160	0.6428438
1170	0.6479687
1180	0.6525937
1190	0.6564562
1200	0.6612813
1210	0.6669375
1220	0.6731187
1230	0.678575
1240	0.6832812
1250	0.6868875
1260	0.6898062
1270	0.6927437
1280	0.6954
1290	0.6978937
1300	0.6999062
1310	0.7017562
1320	0.7033938
1330	0.70485
1340	0.7064063
1350	0.7076938
1360	0.70875
1370	0.70995
1380	0.7112437
1390	0.7123312
1400	0.713175
1410	0.7140313
1420	0.7144312
1430	0.71475
1440	0.715
1450	0.7153312
1460	0.71575
1470	0.716175
1480	0.7165
1490	0.7168562
1500	0.7174375
1510	0.718125
1520	0.7188813
1530	0.7195125
1540	0.7199375
1550	0.7203
1560	0.7208375
1570	0.7215375
1580	0.7219937
1590	0.7225687
1600	0.723175
1610	0.7237125
1620	0.7242937
1630	0.7252063
1640	0.7262688
1650	0.7271375
1660	0.7280688
1670	0.7286812
1680	0.729325
1690	0.7295687
1700	0.7297562
1710	0.7300375
1720	0.7301375
