#x	accInfections
0	2e-04
1	3e-04
2	5e-04
3	7e-04
4	0.001
5	0.0012
6	0.0013
7	0.0017
8	0.0021
9	0.0028
10	0.0036
11	0.0044
12	0.0057
13	0.0065
14	0.0077
15	0.0095
16	0.0121
17	0.0151
18	0.018
19	0.0222
20	0.0273
21	0.0324
22	0.0394
23	0.0483
24	0.0578
25	0.0708
26	0.0839
27	0.1031
28	0.1242
29	0.1528
30	0.1821
31	0.2159
32	0.2573
33	0.3065
34	0.3565
35	0.4118
36	0.4769
37	0.5424
38	0.6068
39	0.6731
40	0.7286
41	0.7842
42	0.8325
43	0.8743
44	0.9072
45	0.9337
46	0.9542
47	0.9711
48	0.9809
49	0.9864
50	0.9913
51	0.9943
52	0.9966
53	0.9979
54	0.9984
55	0.9989
56	0.9991
57	0.9991
58	0.9991
59	0.9991
60	0.9991
61	0.9991
62	0.9991
63	0.9991
64	0.9991
65	0.9991
66	0.9991
67	0.9991
