#x	accInfections
0	1.25e-05
10	2e-04
20	0.0007375
30	0.00164375
40	0.00268125
50	0.0037875
60	0.00485625
70	0.00594375
80	0.00728125
90	0.008825
100	0.0104
110	0.01165625
120	0.01293125
130	0.0141
140	0.01529375
150	0.016575
160	0.017575
170	0.01906875
180	0.0207625
190	0.02235625
200	0.02415625
210	0.02538125
220	0.02669375
230	0.02806875
240	0.02975
250	0.03140625
260	0.03328125
270	0.03481875
280	0.03684375
290	0.039
300	0.0407125
310	0.0430125
320	0.04545
330	0.04736875
340	0.0492625
350	0.0515625
360	0.053825
370	0.05618125
380	0.05844375
390	0.0607375
400	0.06318125
410	0.066025
420	0.06905
430	0.07185
440	0.074475
450	0.07645
460	0.0784875
470	0.08029375
480	0.08231875
490	0.084275
500	0.086175
510	0.088375
520	0.09049375
530	0.0931
540	0.09588125
550	0.09845
560	0.1009188
570	0.1038188
580	0.1067375
590	0.1106313
600	0.1144938
610	0.1179625
620	0.1214875
630	0.1259375
640	0.129925
650	0.1340813
660	0.1388875
670	0.1434
680	0.1472875
690	0.1516812
700	0.1557875
710	0.1606375
720	0.1653187
730	0.1703813
740	0.175725
750	0.181575
760	0.1872437
770	0.193575
780	0.2004188
790	0.2078812
800	0.21485
810	0.221575
820	0.2281938
830	0.2351125
840	0.2409062
850	0.2464125
860	0.2518063
870	0.2574
880	0.2628375
890	0.2677312
900	0.2728875
910	0.2782062
920	0.2837125
930	0.2893938
940	0.29515
950	0.3007687
960	0.3057187
970	0.311075
980	0.3173563
990	0.3245375
1000	0.3313687
1010	0.3387062
1020	0.3470813
1030	0.3555687
1040	0.3636063
1050	0.3706563
1060	0.3786563
1070	0.3866688
1080	0.3945812
1090	0.4014063
1100	0.408525
1110	0.4160875
1120	0.4237625
1130	0.4308375
1140	0.4374688
1150	0.44375
1160	0.4508687
1170	0.4592938
1180	0.4668562
1190	0.474
1200	0.48205
1210	0.4904875
1220	0.4984875
1230	0.5064062
1240	0.5134937
1250	0.5197812
1260	0.5266312
1270	0.5333125
1280	0.5397
1290	0.5452
1300	0.5529375
1310	0.5600812
1320	0.566175
1330	0.5720688
1340	0.5777625
1350	0.5833875
1360	0.589575
1370	0.5955625
1380	0.6011875
1390	0.606975
1400	0.61335
1410	0.6196687
1420	0.62575
1430	0.631925
1440	0.6375688
1450	0.6435312
1460	0.6492938
1470	0.6542062
1480	0.6592375
1490	0.6644437
1500	0.6698688
1510	0.6741438
1520	0.6781687
1530	0.6820812
1540	0.6858812
1550	0.6903375
1560	0.6946625
1570	0.6979937
1580	0.7005
1590	0.7028875
1600	0.7050812
1610	0.7071875
1620	0.7094563
1630	0.7115938
1640	0.713575
1650	0.715425
1660	0.7170125
1670	0.7188375
1680	0.7210375
1690	0.7229188
1700	0.7247562
1710	0.7265063
1720	0.7282375
1730	0.7298813
1740	0.730925
1750	0.7322875
1760	0.7334375
1770	0.7344
1780	0.7353812
1790	0.7365
1800	0.7373563
1810	0.73825
1820	0.738675
1830	0.7389875
1840	0.739325
1850	0.7396187
1860	0.7401313
1870	0.7408187
1880	0.7412
1890	0.7413937
1900	0.74145
1910	0.7414937
