#x	accInfections
0	6.25e-06
10	0.00011875
20	0.0002125
30	0.000275
40	0.0005125
50	0.00075
60	0.0010375
70	0.00144375
80	0.00194375
90	0.002625
100	0.0035625
110	0.00516875
120	0.007575
130	0.01073125
140	0.0141875
150	0.0190875
160	0.02664375
170	0.03766875
180	0.052025
190	0.0688
200	0.09190625
210	0.123825
220	0.1626188
230	0.2117563
240	0.2694875
250	0.3351188
260	0.4032625
270	0.4722062
280	0.5388625
290	0.600325
300	0.6519563
310	0.6921063
320	0.7229
330	0.7437875
340	0.758325
350	0.7683937
360	0.775825
370	0.7806312
380	0.7836937
390	0.7855062
400	0.786625
410	0.7872313
420	0.7877063
430	0.7880938
440	0.7884562
450	0.7886813
460	0.7887812
