#x	largeOverTotal
0	1
10	0.3181818
20	0.1363636
30	0.2121212
40	0.1428571
50	0.1363636
60	0.09836066
70	0.08928571
80	0.09722222
90	0.1341463
100	0.08108108
110	0.1466667
120	0.09090909
130	0.1315789
140	0.1447368
150	0.1038961
160	0.1860465
170	0.1184211
180	0.1585366
190	0.137931
200	0.08571429
210	0.1057692
220	0.05925926
230	0.122807
240	0.0867052
250	0.05978261
260	0.07058824
270	0.0490566
280	0.05462185
290	0.0531401
300	0.04035874
310	0.05813953
320	0.06374502
330	0.0625
340	0.05555556
350	0.03135889
360	0.04713805
370	0.02919708
380	0.03587444
390	0.03900709
400	0.03323263
410	0.04290429
420	0.03592814
430	0.02586207
440	0.02666667
450	0.03523035
460	0.05382436
470	0.0286533
480	0.0275
490	0.03432494
500	0.0359116
510	0.03403141
520	0.05571031
530	0.02366864
540	0.06542056
550	0.02807018
560	0.04827586
570	0.03703704
580	0.03539823
590	0.02743142
600	0.03818616
610	0.02272727
620	0.02631579
630	0.02222222
640	0.02422907
650	0.02850356
660	0.02494802
670	0.02417582
680	0.0245098
690	0.03131524
700	0.02489627
710	0.01908397
720	0.02671756
730	0.02675585
740	0.0202952
750	0.01886792
760	0.02134647
770	0.02201258
780	0.02348993
790	0.02464789
800	0.0293578
810	0.02185792
820	0.02222222
830	0.02134647
840	0.03536977
850	0.0446571
860	0.02222222
870	0.01854975
880	0.02725724
890	0.02013423
900	0.02824859
910	0.02977233
920	0.02569593
930	0.02207506
940	0.02966102
950	0.03953488
960	0.05854801
970	0.0228833
980	0.04010695
990	0.0327381
1000	0.02463054
1010	0.02785515
1020	0.02459016
1030	0.02991453
1040	0.02068966
1050	0.02863436
1060	0.02843602
1070	0.02949853
1080	0.03645833
1090	0.033241
1100	0.03858521
1110	0.04577465
1120	0.03558719
1130	0.03900709
1140	0.03846154
1150	0.04044118
1160	0.03647416
1170	0.04590164
1180	0.04255319
1190	0.04166667
1200	0.04180064
1210	0.03932584
1220	0.03664921
1230	0.03412969
1240	0.04330709
1250	0.05076142
1260	0.05113636
1270	0.06521739
1280	0.05421687
1290	0.0729927
1300	0.07518797
1310	0.06603774
1320	0.09
1330	0.1372549
1340	0.1382979
1350	0.1052632
1360	0.1492537
1370	0.1325301
1380	0.1538462
1390	0.1142857
1400	0.1153846
1410	0.1219512
1420	0.4444444
1430	0.2631579
1440	0.3888889
1450	0.2903226
1460	0.2222222
1470	0.2068966
1480	0.3529412
1490	0.2
1500	0.2
1510	0.1714286
1520	0.122449
1530	0.1351351
1540	0.24
1550	0.1875
1560	0.1578947
1570	0.1764706
1580	0.2258065
1590	0.2325581
1600	0.2439024
1610	0.16
1620	0.2051282
1630	0.09259259
1640	0.1269841
1650	0.1746032
1660	0.14
1670	0.2058824
1680	0.1777778
1690	0.625
1700	0.7
1710	0.2352941
1720	1
