#x	largeOverTotal
0	1
10	0.3076923
20	0.1388889
30	0.1694915
40	0.1343284
50	0.2096774
60	0.1688312
70	0.1428571
80	0.1011236
90	0.1058824
100	0.1047619
110	0.1294118
120	0.1230769
130	0.09433962
140	0.1111111
150	0.07692308
160	0.1267606
170	0.07070707
180	0.07619048
190	0.07843137
200	0.1142857
210	0.08333333
220	0.1604938
230	0.1386139
240	0.1758242
250	0.05769231
260	0.06603774
270	0.07526882
280	0.0703125
290	0.1232877
300	0.1415929
310	0.07246377
320	0.08888889
330	0.0776699
340	0.06140351
350	0.05839416
360	0.07534247
370	0.08571429
380	0.06617647
390	0.08029197
400	0.09859155
410	0.03592814
420	0.06
430	0.0441989
440	0.04511278
450	0.1147541
460	0.05343511
470	0.1028037
480	0.05932203
490	0.04587156
500	0.07964602
510	0.07377049
520	0.0955414
530	0.06711409
540	0.06593407
550	0.05517241
560	0.07894737
570	0.05555556
580	0.05235602
590	0.04819277
600	0.04845815
610	0.04109589
620	0.04424779
630	0.04832714
640	0.05084746
650	0.03515625
660	0.03654485
670	0.05617978
680	0.06692913
690	0.05514706
700	0.04230769
710	0.04516129
720	0.03914591
730	0.0358209
740	0.03519062
750	0.03151862
760	0.03551913
770	0.04950495
780	0.03044496
790	0.03950104
800	0.03685504
810	0.03282828
820	0.02645503
830	0.02884615
840	0.02832861
850	0.03363914
860	0.03738318
870	0.03692308
880	0.03896104
890	0.03082192
900	0.03915663
910	0.03603604
920	0.04034582
930	0.02915452
940	0.03013699
950	0.03197674
960	0.03
970	0.02857143
980	0.05339806
990	0.03595506
1000	0.0259434
1010	0.0375
1020	0.03925234
1030	0.02425373
1040	0.02637363
1050	0.02777778
1060	0.04048583
1070	0.02736842
1080	0.03112033
1090	0.01980198
1100	0.02838428
1110	0.03017241
1120	0.02813853
1130	0.02576112
1140	0.04043127
1150	0.02406417
1160	0.03050109
1170	0.02095238
1180	0.03066038
1190	0.03416856
1200	0.02727273
1210	0.03629032
1220	0.02626263
1230	0.03253796
1240	0.03473945
1250	0.02849741
1260	0.02784223
1270	0.02798982
1280	0.04134367
1290	0.03089888
1300	0.02808989
1310	0.0255102
1320	0.0345679
1330	0.04
1340	0.02816901
1350	0.03055556
1360	0.03174603
1370	0.0467033
1380	0.0443787
1390	0.02898551
1400	0.03473945
1410	0.04244032
1420	0.02445652
1430	0.03546099
1440	0.03313253
1450	0.03208556
1460	0.05929919
1470	0.04210526
1480	0.0477707
1490	0.0494186
1500	0.04037267
1510	0.03797468
1520	0.03937008
1530	0.04444444
1540	0.04291845
1550	0.03484321
1560	0.04379562
1570	0.06349206
1580	0.08130081
1590	0.08333333
1600	0.0625
1610	0.0952381
1620	0.06711409
1630	0.06766917
1640	0.08943089
1650	0.07619048
1660	0.08695652
1670	0.07142857
1680	0.06617647
1690	0.07619048
1700	0.09917355
1710	0.11
1720	0.1057692
1730	0.1125
1740	0.1111111
1750	0.1309524
1760	0.1967213
1770	0.147541
1780	0.08474576
1790	0.1388889
1800	0.1929825
1810	0.1764706
1820	0.2
1830	0.45
1840	0.2272727
1850	0.375
1860	0.1666667
1870	0.2564103
1880	0.2
1890	0.6666667
1900	1
1910	1
