#x	largeOverTotal
0	1
10	0.6666667
20	0.5
30	0.5714286
40	0.5454545
50	0.3333333
60	0.2857143
70	0.1612903
80	0.2
90	0.1162791
100	0.122807
110	0.08737864
120	0.05479452
130	0.05820106
140	0.0460251
150	0.03551913
160	0.02718447
170	0.02948718
180	0.01611047
190	0.0136612
200	0.009481669
210	0.007526342
220	0.006102522
230	0.005649718
240	0.005695688
250	0.004602713
260	0.004378497
270	0.004302103
280	0.005757196
290	0.008234971
300	0.007702612
310	0.01107665
320	0.009456265
330	0.01359388
340	0.01500682
350	0.02065404
360	0.04092072
370	0.03717472
380	0.06024096
390	0.09411765
400	0.09433962
410	0.1851852
420	0.1428571
430	0.25
440	0.2857143
450	0.625
460	0.6666667
