#x	largeOverTotal
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	0.8148148
13	0.8571429
14	1
15	0.9090909
16	0.6666667
17	0.9090909
18	0.5131579
19	0.4719101
20	0.3084112
21	0.6967213
22	0.796748
23	0.7785714
24	0.7658228
25	0.741573
26	0.7317073
27	0.7256637
28	0.7058824
29	0.5017794
30	0.495082
31	0.3636364
32	0.295977
33	0.2287918
34	0.2436782
35	0.45625
36	0.4372549
37	0.28327
38	0.2119565
39	0.1789298
40	0.18542
41	0.1918009
42	0.2591093
43	0.2098765
44	0.2450867
45	0.1563555
46	0.1569647
47	0.2785783
48	0.2636684
49	0.211175
50	0.1966463
51	0.1528074
52	0.1473272
53	0.131068
54	0.1212634
55	0.1423358
56	0.08057554
57	0.1001773
58	0.06905055
59	0.0637648
60	0.08333333
61	0.07831715
62	0.09937519
63	0.09025669
64	0.06611783
65	0.086408
66	0.09763054
67	0.06961124
68	0.0513834
69	0.08108108
70	0.04721863
71	0.05475939
72	0.05327755
73	0.04787997
74	0.09583082
75	0.1184961
76	0.1483029
77	0.1373308
78	0.05301875
79	0.03887635
80	0.04085588
81	0.03070017
82	0.03451524
83	0.05156908
84	0.06666667
85	0.06286091
86	0.1186772
87	0.1234976
88	0.1222395
89	0.09883043
90	0.1602611
91	0.1872613
92	0.1405001
93	0.4100292
94	0.1951203
95	0.4435248
96	0.6074521
97	0.6646303
98	0.633434
99	0.6505272
100	0.7129392
101	0.7631706
102	0.7740096
103	0.7444108
104	0.7434864
105	0.7585292
106	0.7789355
107	0.8465845
108	0.8727482
109	0.8345939
110	0.8136821
111	0.8051897
112	0.8070817
113	0.7950422
114	0.7594244
115	0.7601138
116	0.6828496
117	0.6890302
118	0.6474098
119	0.6654088
120	0.6191609
121	0.2754897
122	0.1729445
123	0.1511443
124	0.1981038
125	0.0943809
126	0.0466794
127	0.0512491
128	0.05330254
129	0.04203849
130	0.05549278
131	0.05688046
132	0.06479174
133	0.07241977
134	0.07336313
135	0.07692308
136	0.08786269
137	0.0672182
138	0.1231494
139	0.1512753
140	0.1883721
141	0.2179878
142	0.2669405
143	0.3229462
144	0.388
145	0.4067797
146	0.3623188
147	0.3061224
148	0.3287671
149	0.4285714
150	0.2564103
151	0.2692308
152	0.5
153	0.6666667
154	0.4
155	0.4
156	0.3333333
157	1
158	1
159	NaN
