#x	maxWeight
0	1
10	7
20	8
30	7
40	9
50	3
60	8
70	7
80	4
90	11
100	10
110	7
120	9
130	12
140	10
150	16
160	8
170	8
180	8
190	6
200	13
210	7
220	13
230	10
240	22
250	7
260	11
270	8
280	8
290	15
300	10
310	13
320	12
330	14
340	12
350	14
360	11
370	12
380	12
390	11
400	8
410	17
420	10
430	9
440	12
450	9
460	9
470	6
480	12
490	12
500	13
510	14
520	12
530	10
540	13
550	11
560	13
570	9
580	19
590	12
600	10
610	12
620	11
630	13
640	11
650	15
660	12
670	11
680	12
690	10
700	9
710	11
720	10
730	13
740	9
750	12
760	13
770	14
780	15
790	12
800	23
810	14
820	15
830	25
840	15
850	15
860	19
870	9
880	13
890	13
900	11
910	16
920	17
930	8
940	17
950	16
960	15
970	14
980	15
990	12
1000	14
1010	12
1020	12
1030	12
1040	19
1050	11
1060	9
1070	23
1080	12
1090	8
1100	11
1110	13
1120	20
1130	14
1140	17
1150	21
1160	12
1170	11
1180	13
1190	16
1200	12
1210	15
1220	13
1230	18
1240	15
1250	16
1260	19
1270	9
1280	13
1290	10
1300	13
1310	10
1320	9
1330	7
1340	8
1350	13
1360	9
1370	25
1380	10
1390	12
1400	10
1410	12
1420	10
1430	7
1440	9
1450	9
1460	13
1470	7
1480	8
1490	4
1500	3
1510	4
