#x	maxWeight
0	2
10	4
20	5
30	10
40	9
50	13
60	13
70	10
80	9
90	9
100	11
110	11
120	8
130	5
140	9
150	5
160	9
170	7
180	8
190	8
200	12
210	6
220	13
230	14
240	16
250	6
260	7
270	7
280	9
290	18
300	16
310	10
320	12
330	8
340	7
350	8
360	11
370	12
380	9
390	11
400	14
410	6
420	12
430	8
440	6
450	14
460	7
470	11
480	7
490	5
500	9
510	9
520	15
530	10
540	12
550	8
560	12
570	10
580	10
590	12
600	11
610	9
620	10
630	13
640	12
650	9
660	11
670	15
680	17
690	15
700	11
710	14
720	11
730	12
740	12
750	11
760	13
770	20
780	13
790	19
800	15
810	13
820	10
830	12
840	10
850	11
860	12
870	12
880	12
890	9
900	13
910	12
920	14
930	10
940	11
950	11
960	9
970	10
980	22
990	16
1000	11
1010	18
1020	21
1030	13
1040	12
1050	12
1060	20
1070	13
1080	15
1090	8
1100	13
1110	14
1120	13
1130	11
1140	15
1150	9
1160	14
1170	11
1180	13
1190	15
1200	15
1210	18
1220	13
1230	15
1240	14
1250	11
1260	12
1270	11
1280	16
1290	11
1300	15
1310	10
1320	14
1330	13
1340	10
1350	11
1360	12
1370	17
1380	15
1390	10
1400	14
1410	16
1420	9
1430	15
1440	11
1450	12
1460	22
1470	12
1480	15
1490	17
1500	13
1510	9
1520	10
1530	10
1540	10
1550	10
1560	12
1570	12
1580	10
1590	14
1600	9
1610	12
1620	10
1630	9
1640	11
1650	8
1660	8
1670	8
1680	9
1690	8
1700	12
1710	11
1720	11
1730	9
1740	8
1750	11
1760	12
1770	9
1780	5
1790	10
1800	11
1810	9
1820	3
1830	9
1840	5
1850	6
1860	6
1870	10
1880	4
1890	4
1900	1
1910	1
