0	3	2	2	1	2	2	1	2	1	2
5	10	8	10	2	6	12	1	7	2	8
10	12	12	14	7	10	6	NA	7	12	19
15	11	8	12	7	9	9	NA	6	11	10
20	12	8	14	16	8	11	NA	7	6	13
25	11	7	9	13	11	18	NA	6	26	19
30	9	9	15	12	14	22	NA	9	13	9
35	12	15	16	9	13	19	NA	18	15	17
40	14	13	12	10	13	21	NA	30	18	12
45	15	10	20	11	9	20	NA	14	13	20
50	15	12	16	14	17	18	NA	38	19	15
55	23	23	17	34	22	22	NA	16	22	15
60	26	25	41	13	18	27	NA	21	26	17
65	29	21	37	17	16	31	NA	24	23	22
70	25	15	22	22	30	28	NA	21	19	25
75	30	21	24	18	27	31	NA	23	21	29
80	36	18	27	25	31	31	NA	33	26	29
85	20	16	26	26	22	36	NA	29	29	21
90	22	30	24	23	28	26	NA	28	24	24
95	26	22	26	27	26	50	NA	27	23	29
100	25	47	35	26	26	37	NA	46	35	35
105	27	28	33	26	29	32	NA	28	24	27
110	32	36	38	27	22	44	NA	35	37	31
115	38	43	31	35	41	39	NA	40	34	42
120	33	25	35	32	54	45	NA	57	36	51
125	43	42	38	33	52	55	NA	46	37	48
130	41	38	32	44	38	45	NA	46	40	41
135	35	34	50	56	39	47	NA	45	55	54
140	41	39	51	43	38	47	NA	43	44	42
145	47	39	57	40	54	40	NA	60	52	41
150	57	41	66	41	68	37	NA	57	52	40
155	44	54	59	58	42	49	NA	41	57	44
160	48	42	46	49	44	28	NA	42	43	59
165	59	45	48	43	54	41	NA	35	47	45
170	42	40	38	51	38	37	NA	38	40	50
175	37	52	43	45	35	31	NA	26	35	43
180	52	50	26	46	41	25	NA	28	25	35
185	27	45	42	45	33	22	NA	15	23	24
190	30	41	23	48	34	20	NA	16	28	37
195	22	24	16	36	30	16	NA	19	16	43
200	29	55	17	28	17	4	NA	7	12	12
205	7	26	12	21	10	5	NA	10	16	10
210	16	18	14	32	24	7	NA	7	14	6
215	16	21	10	23	9	2	NA	6	5	11
220	12	20	6	10	10	3	NA	5	2	4
225	7	11	4	12	4	6	NA	2	5	2
230	7	9	2	9	3	6	NA	2	4	3
235	4	3	1	8	8	1	NA	1	2	NA
240	5	2	NA	6	1	NA	NA	0	2	NA
245	3	1	NA	4	NA	NA	NA	NA	NA	NA
250	2	NA	NA	1	NA	NA	NA	NA	NA	NA
255	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
