0	3	1	2	2	1	2	2	1	1	1	3	2	2	2	3	2	1	2	2	3	3	3	2	3	2	2	1	1	1	2	3	3	3	1	1	1	1	2	1	2	1	2	3	1	2	1	2	2	3	3
5	8	3	10	2	2	7	4	5	5	2	13	5	15	8	7	12	6	6	5	8	14	4	3	5	4	9	5	3	4	6	9	6	3	4	8	2	4	16	6	3	6	7	5	16	5	14	8	13	2	7
10	8	6	13	3	3	12	7	10	4	4	13	6	8	9	5	4	7	9	16	17	8	2	8	6	7	7	6	6	3	3	5	5	5	5	9	4	9	8	13	11	4	13	6	18	8	18	11	10	3	8
15	5	4	11	3	9	3	2	11	6	7	8	9	15	4	12	6	10	8	11	9	20	19	7	14	6	10	20	10	6	12	6	4	11	5	16	6	14	9	8	9	4	8	14	6	7	9	12	16	13	7
20	8	8	10	2	5	7	7	19	10	9	6	7	10	14	6	7	12	18	15	10	6	9	8	14	5	8	9	6	14	10	9	5	6	7	13	6	8	8	7	9	3	16	7	6	14	13	13	10	9	11
25	8	11	13	3	14	9	6	12	5	18	20	7	11	17	5	10	10	8	13	15	9	13	7	25	10	23	6	6	10	22	8	3	12	15	11	14	10	10	9	12	11	10	8	8	16	9	6	20	5	7
30	21	14	14	12	11	12	12	9	13	12	9	18	13	12	14	12	10	5	12	8	16	5	11	19	12	14	9	19	6	10	14	13	14	6	20	11	15	9	20	17	5	14	11	12	12	13	11	13	5	19
35	9	17	17	4	13	11	9	23	9	13	14	11	22	8	20	15	17	16	16	14	11	9	7	18	12	10	10	15	9	10	7	11	16	18	12	16	13	17	15	18	10	18	13	18	16	13	14	9	13	14
40	10	12	17	3	17	13	23	11	12	18	15	11	19	14	13	15	9	34	14	19	12	14	9	24	10	21	8	12	10	12	11	10	22	16	12	16	14	14	12	24	8	16	22	28	11	17	21	12	10	15
45	14	10	24	11	14	7	13	16	14	17	17	13	18	14	13	21	16	14	13	12	16	20	16	21	10	14	12	13	9	20	13	11	14	10	17	14	13	12	16	19	12	19	18	12	16	15	14	13	20	16
50	11	15	23	4	16	9	11	23	15	14	25	14	13	15	16	10	17	14	15	15	14	13	7	29	15	19	13	12	21	9	12	9	11	11	24	16	14	18	18	18	15	19	20	10	19	13	14	27	27	13
55	18	18	20	11	19	9	11	19	22	18	17	11	21	34	15	23	21	19	22	16	24	8	13	23	24	15	13	14	13	21	15	12	22	21	14	31	12	38	15	14	16	16	20	17	18	15	14	18	18	25
60	17	17	26	9	22	13	16	19	24	15	18	11	16	18	17	21	15	12	23	23	14	17	11	25	19	20	17	13	13	19	26	12	17	20	17	25	34	20	29	19	23	20	20	14	21	21	21	15	19	17
65	20	16	31	5	23	12	12	23	23	18	33	11	28	16	17	16	18	21	22	16	29	21	19	22	15	23	12	14	16	17	14	16	18	19	32	23	20	26	20	17	18	24	25	16	20	15	22	16	22	20
70	16	16	18	9	17	13	16	19	22	16	23	13	25	22	30	19	11	28	22	34	18	22	17	23	24	17	28	25	20	17	16	11	17	15	19	22	24	24	13	16	18	42	24	22	21	19	23	18	20	22
75	23	20	25	10	20	21	20	23	16	31	23	22	23	29	18	21	18	24	22	17	37	22	16	24	24	27	21	22	20	16	17	13	30	19	18	23	27	28	19	26	24	23	17	25	27	21	23	17	23	25
80	20	25	37	17	26	14	15	17	16	22	22	23	24	19	18	24	19	20	22	20	23	31	18	43	20	26	18	21	19	14	23	14	27	28	21	30	33	29	22	27	30	28	24	20	23	26	29	31	19	26
85	22	24	23	24	19	22	22	26	21	25	29	15	24	31	25	30	22	20	21	28	28	25	19	30	20	20	25	26	19	19	27	19	23	19	26	25	27	30	16	33	22	25	43	25	26	27	24	23	21	25
90	27	22	29	11	26	19	21	27	21	23	23	16	33	26	25	22	22	23	30	27	28	22	19	31	21	36	24	36	19	21	23	12	25	27	41	27	22	31	21	22	28	31	24	19	31	20	34	23	22	27
95	28	31	37	17	25	15	21	32	29	27	32	19	29	25	31	26	23	20	28	27	27	22	28	29	22	23	29	26	20	24	25	23	23	28	29	27	27	30	28	26	23	36	42	21	30	29	29	36	18	23
100	34	27	35	11	33	19	21	43	25	26	25	23	32	35	21	32	27	28	33	45	32	27	22	25	22	27	31	29	19	26	32	14	31	22	29	32	29	46	36	39	23	30	25	26	32	25	34	35	20	33
105	32	27	29	19	27	29	26	37	23	32	42	25	41	35	34	25	25	35	35	26	33	33	23	26	30	33	26	29	33	36	29	19	34	23	39	36	40	38	29	30	36	40	46	28	36	29	30	33	29	36
110	30	30	36	17	31	22	36	30	36	34	36	31	31	39	30	38	30	38	55	34	43	31	29	47	28	31	29	26	21	27	27	17	32	32	36	35	26	35	28	27	30	51	29	30	38	32	56	32	23	34
115	32	32	47	17	40	29	38	34	34	34	37	35	35	36	24	36	38	46	41	37	49	35	26	42	33	32	35	54	25	30	38	16	39	36	36	53	36	40	35	31	32	34	30	41	32	40	29	26	29	41
120	30	31	39	25	54	20	50	32	31	30	32	25	36	34	36	36	36	36	34	39	35	57	25	41	34	38	36	38	29	28	42	20	34	30	40	34	31	39	37	27	25	39	38	28	36	27	68	46	27	35
125	33	29	32	20	53	18	32	24	30	35	52	39	40	39	39	34	36	31	36	42	40	43	30	42	37	32	45	32	30	33	39	24	42	25	48	27	38	40	33	38	33	43	35	32	44	46	40	35	40	38
130	35	50	28	21	41	27	37	39	30	41	33	30	35	39	33	40	31	33	38	47	36	33	37	34	30	29	31	50	36	42	38	24	40	37	32	28	44	36	41	39	63	32	33	33	37	31	35	37	36	27
135	36	41	35	34	37	29	35	37	36	35	37	28	55	52	28	37	35	46	35	38	31	35	30	24	37	39	37	38	47	40	41	24	28	49	32	46	38	28	31	32	32	38	41	37	41	37	44	33	33	32
140	45	37	29	30	42	29	33	34	40	34	33	33	28	44	45	54	41	43	29	46	25	35	33	26	45	43	32	35	39	33	41	18	34	40	34	41	36	34	34	29	30	37	43	43	31	43	39	43	35	29
145	56	34	26	35	36	29	33	29	33	52	27	29	54	29	43	39	39	42	34	26	26	31	49	22	45	43	35	31	35	33	38	32	29	30	26	26	32	31	35	35	52	23	27	37	26	25	33	28	32	32
150	28	35	24	33	41	33	36	32	34	33	30	38	29	25	32	35	33	30	37	31	45	44	40	18	45	36	32	35	55	52	35	26	34	48	27	26	39	29	33	33	31	21	24	35	19	30	41	28	30	27
155	27	31	20	31	38	32	38	23	37	27	23	52	14	25	31	35	34	33	41	32	41	38	34	17	27	33	38	39	31	55	34	49	28	31	27	28	26	15	35	28	27	19	27	32	20	28	29	24	33	24
160	25	20	18	41	30	26	26	30	30	23	16	46	15	27	38	32	35	28	22	21	25	25	38	16	25	27	33	23	39	37	24	36	28	36	22	20	49	21	37	26	48	13	24	40	17	20	40	25	32	27
165	26	21	14	38	18	39	22	28	30	21	14	28	23	12	24	19	34	25	37	18	17	30	26	10	24	24	33	19	32	44	28	37	21	28	15	15	22	12	19	19	24	20	21	32	15	23	16	17	34	12
170	22	14	11	53	18	37	19	18	35	15	18	34	11	13	31	20	34	25	18	12	15	21	40	7	27	13	26	22	26	23	25	42	18	32	15	9	18	7	24	21	31	19	15	26	17	15	15	23	30	9
175	22	14	5	41	11	32	13	11	21	22	9	28	5	12	24	22	16	13	21	8	10	23	31	5	26	26	28	18	29	21	20	62	8	28	10	10	36	7	17	16	25	13	7	24	7	14	9	12	21	14
180	14	10	3	32	10	40	14	9	24	20	9	24	5	17	20	14	22	17	35	5	7	28	26	4	19	13	17	12	24	26	13	32	3	17	8	5	10	5	16	16	21	8	12	16	6	10	7	10	18	18
185	16	5	7	38	17	35	9	10	13	10	5	27	3	10	21	10	14	7	10	2	4	12	20	8	16	7	23	12	20	17	13	34	6	21	5	3	6	8	10	13	18	5	10	13	4	7	8	11	9	11
190	8	11	3	39	14	30	9	8	13	12	7	18	7	5	18	21	8	10	7	3	2	9	16	2	8	9	20	7	11	12	12	31	2	20	9	2	5	3	14	9	16	5	8	10	3	5	6	5	15	3
195	8	5	1	36	7	31	4	16	13	8	3	22	4	5	18	20	10	9	6	1	4	15	16	4	13	4	8	3	10	14	12	34	NA	9	3	5	7	4	5	5	16	3	6	6	3	5	5	7	8	5
200	12	1	NA	25	5	21	8	5	8	2	5	14	4	1	14	4	10	8	8	6	1	22	10	NA	6	2	12	11	8	8	10	28	NA	4	NA	2	8	3	15	9	14	5	5	7	4	10	3	6	6	NA
205	9	NA	NA	24	3	33	3	1	6	1	4	13	2	1	6	6	6	5	5	1	NA	5	5	NA	9	1	8	6	11	10	9	23	NA	3	NA	1	3	4	6	3	12	7	3	6	2	3	1	4	8	NA
210	3	NA	NA	43	3	25	2	1	4	NA	4	11	3	NA	9	4	3	7	2	NA	NA	8	6	NA	8	NA	7	7	4	6	5	16	NA	4	NA	0	4	1	7	NA	7	0	7	2	1	8	NA	4	4	NA
215	4	NA	NA	43	4	22	1	NA	1	NA	1	9	0	NA	4	6	7	3	1	NA	NA	6	7	NA	3	NA	6	2	11	4	8	15	NA	7	NA	NA	10	2	4	NA	3	NA	7	2	NA	4	NA	0	5	NA
220	3	NA	NA	16	2	13	NA	NA	1	NA	2	3	NA	NA	2	6	4	1	0	NA	NA	9	3	NA	2	NA	5	NA	3	9	2	13	NA	9	NA	NA	6	0	2	NA	7	NA	2	3	NA	1	NA	NA	4	NA
225	1	NA	NA	15	0	11	NA	NA	2	NA	NA	5	NA	NA	0	6	3	NA	NA	NA	NA	7	2	NA	2	NA	1	NA	2	6	5	11	NA	5	NA	NA	7	NA	3	NA	1	NA	NA	3	NA	2	NA	NA	0	NA
230	NA	NA	NA	13	NA	7	NA	NA	0	NA	NA	2	NA	NA	NA	2	0	NA	NA	NA	NA	3	0	NA	1	NA	NA	NA	NA	3	0	12	NA	8	NA	NA	5	NA	1	NA	NA	NA	NA	1	NA	0	NA	NA	NA	NA
235	NA	NA	NA	12	NA	5	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	1	NA	12	NA	11	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
240	NA	NA	NA	8	NA	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	2	NA	8	NA	3	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
245	NA	NA	NA	6	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	8	NA	3	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
250	NA	NA	NA	8	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	7	NA	5	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
255	NA	NA	NA	3	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	4	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
260	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	4	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
265	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
270	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
275	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
