0	1	2
5	8	1
10	5	NA
15	8	NA
20	3	NA
25	6	NA
30	4	NA
35	4	NA
40	6	NA
45	7	NA
50	5	NA
55	3	NA
60	6	NA
65	8	NA
70	5	NA
75	6	NA
80	7	NA
85	5	NA
90	8	NA
95	4	NA
100	8	NA
105	7	NA
110	5	NA
115	5	NA
120	5	NA
125	7	NA
130	6	NA
135	8	NA
140	7	NA
145	3	NA
150	9	NA
155	8	NA
160	7	NA
165	8	NA
170	4	NA
175	4	NA
180	3	NA
185	6	NA
190	6	NA
195	7	NA
200	3	NA
205	6	NA
210	14	NA
215	7	NA
220	9	NA
225	5	NA
230	3	NA
235	4	NA
240	4	NA
245	12	NA
250	5	NA
255	6	NA
260	16	NA
265	11	NA
270	6	NA
275	6	NA
280	15	NA
285	10	NA
290	10	NA
295	5	NA
300	8	NA
305	7	NA
310	8	NA
315	10	NA
320	9	NA
325	7	NA
330	10	NA
335	8	NA
340	10	NA
345	10	NA
350	12	NA
355	18	NA
360	9	NA
365	12	NA
370	11	NA
375	12	NA
380	15	NA
385	10	NA
390	10	NA
395	11	NA
400	12	NA
405	12	NA
410	20	NA
415	14	NA
420	19	NA
425	13	NA
430	15	NA
435	14	NA
440	13	NA
445	16	NA
450	16	NA
455	16	NA
460	19	NA
465	21	NA
470	17	NA
475	16	NA
480	14	NA
485	17	NA
490	18	NA
495	17	NA
500	15	NA
505	17	NA
510	20	NA
515	17	NA
520	16	NA
525	23	NA
530	16	NA
535	14	NA
540	20	NA
545	24	NA
550	16	NA
555	23	NA
560	24	NA
565	25	NA
570	20	NA
575	14	NA
580	19	NA
585	15	NA
590	19	NA
595	13	NA
600	17	NA
605	17	NA
610	22	NA
615	13	NA
620	14	NA
625	16	NA
630	16	NA
635	15	NA
640	17	NA
645	13	NA
650	16	NA
655	16	NA
660	16	NA
665	14	NA
670	19	NA
675	13	NA
680	17	NA
685	16	NA
690	22	NA
695	14	NA
700	12	NA
705	11	NA
710	15	NA
715	15	NA
720	9	NA
725	10	NA
730	9	NA
735	11	NA
740	12	NA
745	9	NA
750	8	NA
755	10	NA
760	13	NA
765	12	NA
770	8	NA
775	7	NA
780	8	NA
785	8	NA
790	5	NA
795	8	NA
800	5	NA
805	7	NA
810	6	NA
815	4	NA
820	5	NA
825	4	NA
830	4	NA
835	3	NA
840	4	NA
845	3	NA
850	1	NA
855	1	NA
