0	3	2	2	2	1	2	2	3	1	2
5	26	21	8	15	22	10	16	25	12	17
10	24	20	9	28	12	19	27	20	25	26
15	14	31	19	23	46	12	25	30	14	30
20	12	24	13	17	23	20	32	41	11	26
25	34	53	18	32	29	21	35	38	28	32
30	25	41	27	37	39	54	34	50	19	41
35	41	37	33	34	39	41	39	42	41	32
40	39	63	33	50	44	40	32	59	42	64
45	87	46	39	81	61	54	35	56	46	46
50	58	55	46	63	50	47	50	92	77	67
55	71	111	42	61	64	45	57	93	72	45
60	50	91	55	66	82	65	64	64	117	122
65	168	103	76	91	70	81	85	76	89	78
70	127	122	124	88	90	82	62	75	67	131
75	103	117	116	71	101	114	94	171	101	92
80	109	139	102	88	143	131	99	156	113	103
85	98	129	193	125	156	162	138	120	134	136
90	172	97	190	106	117	147	102	120	121	107
95	115	99	113	111	110	146	275	55	116	93
100	193	82	95	121	51	121	117	91	73	105
105	76	58	59	115	53	60	90	53	52	28
110	37	38	74	30	49	30	76	24	24	21
115	24	19	60	35	20	39	35	8	19	10
120	34	3	32	8	2	15	27	1	7	2
125	35	2	17	2	NA	3	3	NA	5	2
130	4	6	6	NA	NA	2	0	NA	2	1
135	1	1	2	NA	NA	NA	NA	NA	NA	1
140	2	NA	2	NA	NA	NA	NA	NA	NA	NA
145	3	NA	1	NA	NA	NA	NA	NA	NA	NA
150	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
