#x	maxWeight
0	4
1	5
2	9
3	14
4	19
5	23
6	28
7	35
8	39
9	42
10	46
11	53
12	44
13	48
14	57
15	50
16	40
17	60
18	39
19	42
20	33
21	85
22	98
23	109
24	121
25	132
26	150
27	164
28	180
29	141
30	151
31	116
32	103
33	89
34	106
35	219
36	223
37	149
38	117
39	107
40	117
41	131
42	192
43	170
44	212
45	139
46	151
47	290
48	299
49	257
50	258
51	215
52	226
53	216
54	215
55	273
56	168
57	226
58	168
59	167
60	237
61	242
62	334
63	327
64	257
65	363
66	445
67	342
68	273
69	465
70	292
71	363
72	382
73	367
74	793
75	1059
76	1420
77	1420
78	591
79	465
80	527
81	424
82	513
83	820
84	1135
85	1143
86	2304
87	2538
88	2668
89	2290
90	3928
91	4854
92	3832
93	11799
94	5902
95	14093
96	20134
97	22955
98	22663
99	24063
100	27230
101	30059
102	31085
103	30500
104	30990
105	32016
106	33044
107	35990
108	37159
109	35310
110	34029
111	33078
112	32435
113	30982
114	28606
115	27526
116	23503
117	22430
118	19858
119	19044
120	16396
121	6709
122	3843
123	3038
124	3573
125	1510
126	660
127	638
128	577
129	391
130	442
131	384
132	364
133	334
134	279
135	236
136	215
137	130
138	183
139	172
140	162
141	143
142	130
143	114
144	97
145	72
146	50
147	30
148	24
149	21
150	10
151	7
152	7
153	4
154	2
155	2
156	1
157	1
158	1
159	0
