0	2	2	2	3	3	3	3	1	4	1	3	2	3	1	3	2	2	3	2	2
10	22	13	9	12	13	11	11	17	9	5	19	44	25	10	12	6	14	9	12	10
20	13	15	14	18	18	34	18	14	15	19	22	13	15	19	21	11	17	19	16	22
30	32	19	32	21	23	19	27	23	20	30	26	25	25	31	22	22	25	22	24	26
40	41	32	35	40	39	30	25	38	34	27	39	22	27	29	35	32	38	29	41	39
50	40	55	31	56	51	41	51	42	33	39	55	46	51	39	42	40	63	55	49	44
60	56	79	66	58	63	49	66	44	57	52	62	37	56	50	56	63	56	46	48	68
70	53	58	82	42	75	49	49	75	61	57	55	56	57	65	68	50	47	62	76	62
80	42	37	40	40	43	48	29	51	80	44	15	49	28	39	35	46	25	39	62	28
90	13	2	23	2	3	18	27	12	48	32	1	34	4	9	11	23	2	5	30	9
100	0	NA	NA	NA	NA	1	2	NA	3	1	NA	16	1	NA	NA	NA	NA	NA	1	NA
