0	4	5	4	3	5	2	4	4	3	5	3	3	3	4	4	3	3	2	3	4	4	3	2	4	4	2	5	3	3	4	3	5	3	2	3	5	4	2	2	4	4	2	3	5	2	5	3	3	3	3
5	59	52	57	49	62	39	62	47	46	52	56	60	44	45	58	52	56	47	53	67	52	52	51	67	52	43	66	56	58	60	46	46	63	58	41	54	41	47	53	54	50	36	54	53	50	54	59	46	44	52
10	88	134	131	127	142	117	135	119	127	107	131	126	119	93	129	121	158	94	133	144	132	115	121	122	100	112	137	122	118	121	113	123	123	133	110	118	79	108	127	136	129	113	123	131	111	139	112	116	117	134
15	235	200	203	223	196	218	149	196	195	196	186	233	199	189	209	200	103	191	143	196	203	211	183	200	202	183	147	123	223	195	186	203	219	205	199	134	184	148	190	196	200	177	193	207	188	208	200	197	219	190
20	190	288	282	248	307	259	259	277	254	263	155	286	285	257	309	245	279	244	300	328	170	299	299	128	266	293	282	249	269	274	258	269	275	286	272	287	273	198	247	353	272	269	273	176	263	302	221	188	292	156
25	678	377	368	366	510	175	352	374	335	353	308	399	396	321	242	228	408	365	554	368	372	397	331	435	371	342	270	543	393	340	225	331	415	435	370	243	286	327	464	659	557	265	359	405	444	366	548	358	534	338
30	2087	1399	444	1206	507	495	3114	794	659	618	445	601	537	651	795	999	788	569	892	5051	593	398	569	514	671	660	2325	627	860	811	414	380	5171	1379	1589	1080	495	670	2358	846	1401	327	699	1132	669	527	1231	528	1926	437
35	5177	8350	2209	2926	2037	1687	29421	7991	2702	3277	1576	3386	781	3446	1441	4660	10237	2153	21344	25129	8398	1587	10586	1675	7469	798	18283	18891	1898	551	913	412	21058	15022	6727	10444	5163	8587	21116	6978	15353	1094	894	2711	2383	510	22037	963	17774	982
40	38900	32089	19164	23881	26708	13487	41412	31974	31629	23127	17860	35868	2465	33241	21366	33559	40489	6601	42750	41706	32722	17444	34162	24192	31514	10358	41487	41797	20191	3290	15062	2754	40997	36865	34258	40414	31120	32734	40411	41158	38143	19994	17223	31188	32455	5184	43501	36119	39416	2255
45	33133	39552	42897	40703	42916	37370	9125	40013	40338	41289	39843	38572	30969	39100	41249	38025	30450	31758	22614	8939	39956	41746	39174	42563	38873	39465	27422	27010	40321	33717	38211	31379	22287	34130	38741	32217	40983	38530	25969	28479	33814	40441	42808	40293	40468	32676	11099	40752	28385	33160
50	727	3346	21587	19896	14809	33602	199	5661	8121	16891	27706	2487	42011	4051	22800	3075	707	38857	349	197	3056	26100	1425	14616	2931	33338	418	383	29366	38678	32019	40335	538	1036	1293	553	9230	3841	401	720	1028	26639	18041	2554	2244	41257	285	1831	710	39887
55	184	158	272	645	215	473	33	201	137	338	1288	113	3054	405	871	170	102	5967	59	26	179	745	134	244	313	726	100	66	386	2440	571	2898	62	96	284	28	256	259	93	92	134	602	440	185	225	2025	41	219	217	7979
60	6	24	32	97	20	101	0	19	2	39	77	5	269	57	49	20	1	313	1	NA	9	29	6	41	99	94	2	1	51	220	153	203	0	23	70	1	16	47	1	4	15	48	79	40	78	147	0	3	6	232
65	NA	0	0	1	NA	2	NA	NA	NA	0	3	NA	48	1	3	NA	NA	17	NA	NA	NA	0	NA	0	0	2	NA	NA	0	9	1	24	NA	NA	1	NA	NA	1	NA	NA	NA	1	3	NA	5	14	NA	NA	NA	49
70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
