0	2	2	1	1	1	3	1	2	2	1	2	1	1	1	1	1	1	3	4	3	1	2	2	2	2	2	2	1	3	1	1	2	1	2	3	1	1	2	3	2	1	1	2	2	1	3	3	3	1	1
5	12	5	5	1	5	4	3	1	6	4	6	4	4	4	1	2	3	12	3	2	4	7	6	9	15	3	4	2	5	8	2	9	4	4	9	1	2	2	5	3	4	1	5	4	NA	6	3	8	4	NA
10	4	6	6	3	1	6	4	1	3	2	8	6	14	4	4	5	7	4	5	4	7	6	19	4	10	7	NA	6	8	7	7	4	6	4	7	5	3	2	6	1	3	5	12	10	NA	17	6	5	6	NA
15	5	7	4	3	4	6	6	1	12	3	8	12	8	7	6	8	6	7	9	7	6	4	6	9	4	6	NA	3	6	2	9	13	3	6	10	11	5	1	8	6	3	10	7	9	NA	8	4	6	6	NA
20	7	6	6	9	5	11	10	6	10	12	4	4	12	12	5	5	18	5	5	12	19	5	14	10	9	5	NA	6	7	3	5	8	4	16	7	9	11	1	9	5	5	4	6	5	NA	13	8	12	8	NA
25	4	8	5	6	3	6	11	3	11	11	11	4	8	6	6	9	6	5	4	5	10	5	12	4	11	4	NA	14	6	6	15	6	12	8	8	6	4	1	5	8	5	6	12	10	NA	8	10	5	7	NA
30	11	6	13	9	12	13	13	3	13	12	12	6	6	8	7	8	6	11	6	7	8	6	13	5	9	18	NA	8	11	7	9	6	8	6	4	10	6	2	7	6	5	13	8	9	NA	13	11	11	4	NA
35	10	10	9	14	7	24	10	3	12	18	9	9	8	8	13	5	7	10	21	15	11	8	9	5	16	6	NA	7	11	8	10	9	13	17	5	10	8	5	8	8	9	11	8	16	NA	10	11	5	4	NA
40	21	18	6	7	4	13	13	11	8	11	12	11	20	17	10	13	19	9	14	10	14	6	19	4	11	10	NA	12	11	4	8	14	9	11	10	10	9	6	28	9	10	8	12	9	NA	23	9	8	2	NA
45	11	13	8	8	9	7	12	4	13	15	12	8	17	15	14	26	10	5	8	13	14	7	15	4	8	9	NA	6	15	8	7	8	15	7	8	8	15	5	12	11	9	17	9	9	NA	15	9	11	5	NA
50	22	14	14	11	10	15	14	15	10	19	8	10	13	9	22	10	9	11	19	13	13	10	10	8	20	9	NA	14	15	9	9	11	23	13	8	9	10	4	19	12	9	12	10	13	NA	15	10	12	7	NA
55	13	7	21	12	11	11	15	10	12	11	17	7	26	15	14	9	12	5	15	16	12	10	11	12	14	15	NA	14	15	10	11	8	12	11	13	10	30	1	13	10	11	20	12	8	NA	19	16	10	8	NA
60	22	12	13	11	16	18	13	15	12	18	18	6	9	18	12	11	9	8	13	10	15	9	20	12	24	19	NA	10	12	7	17	8	12	19	8	11	11	7	22	12	13	18	15	10	NA	15	14	8	9	NA
65	15	18	11	11	10	15	11	9	26	23	15	14	11	14	17	16	10	11	14	22	12	8	14	9	12	13	NA	11	16	11	15	11	18	18	8	16	15	11	16	22	8	12	11	14	NA	13	17	11	18	NA
70	13	13	15	21	14	18	12	8	18	18	10	8	13	16	17	25	13	19	28	16	13	12	14	15	24	18	NA	12	22	11	10	18	13	17	11	13	18	8	21	20	10	12	10	12	NA	20	12	18	18	NA
75	19	14	12	14	17	16	13	10	14	22	12	10	16	14	16	26	17	13	24	25	16	16	16	19	18	17	NA	16	24	13	12	11	14	14	9	9	12	15	17	13	11	18	9	11	NA	24	17	13	9	NA
80	19	22	12	17	15	13	25	10	16	21	15	12	15	18	18	28	12	20	15	15	26	16	19	13	14	17	NA	12	18	11	14	20	23	12	10	16	14	24	20	16	11	15	10	17	NA	15	19	15	17	NA
85	17	16	17	14	28	20	16	14	17	21	18	11	13	13	20	17	14	15	18	19	17	14	15	18	15	15	NA	16	25	15	12	15	34	19	10	16	21	10	27	15	17	25	21	21	NA	32	18	17	10	NA
90	18	22	19	13	15	14	19	12	16	19	18	18	13	18	25	21	16	16	27	14	24	17	18	20	18	23	NA	19	23	15	29	16	27	13	14	15	19	13	20	17	11	13	22	12	NA	17	19	17	12	NA
95	15	18	13	17	12	16	17	18	17	33	17	18	17	17	26	17	15	17	23	28	21	25	17	12	13	16	NA	16	20	28	16	16	21	22	11	21	19	13	28	17	17	25	17	15	NA	23	23	19	14	NA
100	20	34	20	18	14	14	18	14	16	18	15	12	24	17	22	16	15	20	19	27	28	15	16	13	15	20	NA	18	19	18	21	18	23	21	20	18	17	15	20	30	16	17	22	15	NA	22	17	23	12	NA
105	22	25	19	15	18	18	25	20	19	27	19	17	19	18	24	22	15	17	22	26	20	15	21	15	16	23	NA	18	22	15	17	15	31	14	14	25	30	12	28	30	27	17	15	18	NA	23	22	21	18	NA
110	27	24	24	12	25	18	21	15	23	27	19	17	16	15	20	18	17	13	15	30	21	20	26	18	19	23	NA	17	27	14	25	19	23	35	19	17	27	10	22	22	13	22	14	24	NA	20	20	21	13	NA
