#x	numberCluster
0	1
10	4
20	6
30	6
40	7
50	8
60	13
70	14
80	17
90	25
100	30
110	40
120	44
130	44
140	41
150	52
160	43
170	30
180	25
190	29
200	41
210	33
220	34
230	43
240	51
250	66
260	70
270	86
280	67
290	85
300	74
310	72
320	60
330	67
340	78
350	71
360	79
370	85
380	75
390	60
400	70
410	65
420	67
430	55
440	43
450	48
460	58
470	71
480	62
490	74
500	84
510	107
520	112
530	116
540	110
550	136
560	155
570	156
580	129
590	132
600	134
610	128
620	111
630	120
640	100
650	92
660	80
670	97
680	95
690	119
700	132
710	149
720	148
730	126
740	155
750	166
760	190
770	185
780	198
790	215
800	194
810	182
820	194
830	190
840	207
850	200
860	182
870	184
880	214
890	233
900	235
910	219
920	209
930	255
940	250
950	222
960	203
970	196
980	169
990	154
1000	149
1010	138
1020	133
1030	134
1040	138
1050	164
1060	185
1070	162
1080	168
1090	188
1100	168
1110	164
1120	180
1130	198
1140	205
1150	204
1160	190
1170	212
1180	201
1190	214
1200	230
1210	216
1220	239
1230	193
1240	168
1250	172
1260	177
1270	169
1280	158
1290	147
1300	118
1310	123
1320	110
1330	85
1340	83
1350	87
1360	87
1370	90
1380	69
1390	65
1400	47
1410	38
1420	39
1430	39
1440	30
1450	33
1460	20
1470	19
1480	13
1490	16
1500	4
1510	4
