#x	numberCluster
0	1
10	5
20	17
30	15
40	22
50	22
60	21
70	28
80	36
90	32
100	37
110	32
120	34
130	29
140	32
150	34
160	29
170	40
180	46
190	40
200	44
210	31
220	33
230	38
240	36
250	40
260	42
270	43
280	51
290	43
300	40
310	50
320	59
330	48
340	47
350	60
360	60
370	51
380	60
390	55
400	62
410	82
420	61
430	64
440	60
450	48
460	59
470	42
480	53
490	54
500	49
510	50
520	40
530	65
540	68
550	59
560	65
570	69
580	75
590	98
600	83
610	81
620	92
630	102
640	104
650	114
660	124
670	99
680	92
690	116
700	96
710	123
720	117
730	110
740	144
750	156
760	118
770	155
780	180
790	183
800	161
810	158
820	151
830	155
840	142
850	139
860	133
870	131
880	139
890	134
900	123
910	128
920	125
930	136
940	136
950	133
960	131
970	130
980	137
990	170
1000	166
1010	170
1020	211
1030	213
1040	184
1050	169
1060	182
1070	179
1080	192
1090	173
1100	175
1110	179
1120	171
1130	172
1140	151
1150	151
1160	189
1170	217
1180	168
1190	180
1200	195
1210	190
1220	194
1230	175
1240	171
1250	157
1260	168
1270	164
1280	141
1290	147
1300	180
1310	158
1320	145
1330	140
1340	151
1350	140
1360	156
1370	134
1380	131
1390	132
1400	162
1410	152
1420	147
1430	146
1440	135
1450	140
1460	137
1470	111
1480	129
1490	136
1500	124
1510	102
1520	108
1530	102
1540	90
1550	113
1560	103
1570	78
1580	53
1590	58
1600	51
1610	52
1620	61
1630	47
1640	51
1650	47
1660	41
1670	42
1680	53
1690	42
1700	42
1710	42
1720	43
1730	39
1740	30
1750	31
1760	26
1770	21
1780	25
1790	23
1800	20
1810	20
1820	10
1830	5
1840	10
1850	6
1860	16
1870	19
1880	12
1890	3
1900	1
1910	1
