0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	1	3	2	1	2	3	1	3	4	2	2	2	4	4	1	4	3	3	2	3	2	2	4	3	1	1	3	2	3	2	1	2	2	1	1	1	1	3	2	5	2	3	3	1	1	1	2	1	3	3
10	2	2	2	9	10	6	5	4	4	4	3	4	6	3	4	8	2	5	5	3	3	6	5	4	3	5	8	4	5	6	3	4	3	4	5	3	2	5	3	9	6	5	6	5	3	NA	4	5	7	7
15	2	2	3	8	13	8	8	9	6	5	7	6	7	8	6	4	5	9	4	4	5	5	14	6	11	6	15	7	4	7	5	7	5	4	9	6	2	9	3	14	6	15	6	7	3	NA	8	9	7	7
20	3	5	8	15	20	11	10	19	5	10	11	4	10	7	10	9	10	8	7	7	7	6	22	9	8	8	17	12	11	7	12	8	9	12	15	10	5	10	6	25	10	14	10	13	2	NA	11	11	9	11
25	4	6	11	28	26	14	12	37	9	14	12	4	13	12	13	13	12	9	3	6	10	9	28	10	10	7	16	18	11	11	15	9	8	19	11	15	4	9	11	30	9	24	17	18	2	NA	12	18	16	12
30	6	8	13	33	42	21	20	30	14	20	17	10	25	13	22	7	16	10	12	6	9	12	34	17	10	11	27	16	19	31	18	14	16	17	24	19	10	16	13	45	15	24	16	43	7	NA	18	14	20	14
35	12	8	22	48	56	20	29	47	23	22	23	10	34	18	26	9	13	15	18	7	11	15	34	18	19	10	27	27	19	35	18	22	9	21	23	23	10	19	18	51	18	33	24	59	18	NA	22	26	26	17
40	13	19	26	61	78	24	42	63	25	29	41	18	51	31	39	10	19	18	27	9	26	20	44	27	22	14	39	27	21	42	34	29	10	23	35	24	14	27	16	62	18	47	30	92	24	NA	23	30	26	29
45	15	21	44	68	105	37	66	89	28	29	55	25	55	33	49	17	24	17	37	7	35	27	65	41	19	9	43	39	30	43	51	45	6	18	36	44	24	38	22	77	23	62	19	105	31	NA	37	46	42	23
50	20	39	60	83	151	42	75	102	33	35	58	34	66	41	83	18	30	26	45	6	48	38	80	55	31	13	48	50	39	70	72	59	15	20	51	57	32	58	37	113	31	94	32	139	42	NA	58	51	52	34
55	29	52	74	101	198	66	112	135	47	35	88	34	98	48	102	35	31	37	68	9	58	51	114	69	38	22	62	63	52	89	122	85	15	32	77	73	53	82	50	135	47	108	39	189	67	NA	73	69	44	45
60	31	61	84	122	249	83	146	177	66	48	126	61	103	72	136	46	30	54	72	13	65	98	155	83	36	28	79	81	55	125	192	93	29	36	108	87	69	108	61	185	50	139	55	253	93	NA	96	100	60	54
65	46	76	106	189	335	106	190	238	89	59	165	84	137	109	167	73	49	82	109	20	93	111	232	97	55	40	92	103	76	156	235	121	35	47	135	135	95	143	80	273	74	223	58	340	115	NA	130	113	76	78
70	56	117	148	242	427	141	239	296	105	77	230	102	188	142	223	106	51	105	131	26	132	144	274	145	79	53	122	141	112	214	323	175	51	63	174	167	128	190	113	366	96	302	68	461	154	NA	157	168	112	94
75	77	143	176	330	519	178	334	398	152	102	290	139	251	206	316	121	63	143	162	48	154	179	351	212	97	79	164	176	138	296	431	210	65	87	245	261	179	245	159	474	154	391	104	668	188	NA	193	226	175	123
80	95	198	214	416	693	223	413	506	182	143	395	187	354	241	396	176	88	198	229	56	208	249	449	285	123	104	217	221	182	373	569	259	99	113	352	314	273	334	217	622	183	495	125	859	239	NA	281	308	202	170
85	135	245	308	512	869	309	552	661	244	178	514	260	401	315	506	227	104	274	289	55	280	357	588	379	178	148	290	291	240	488	724	370	131	157	495	391	345	386	287	765	264	645	168	1057	316	NA	358	390	236	217
90	176	354	404	723	1075	417	779	826	308	248	682	351	526	403	667	285	127	393	391	84	348	426	726	474	216	210	399	360	335	650	874	433	167	190	608	536	480	484	375	1005	364	850	228	1378	419	NA	488	502	355	262
95	238	463	505	897	1336	550	1029	1081	460	319	865	440	633	490	888	378	179	516	478	104	484	590	904	607	288	276	522	444	412	805	1075	573	219	256	797	685	595	647	498	1194	458	1081	294	1729	533	NA	643	666	469	380
100	347	615	650	1123	1708	766	1302	1326	595	424	1099	561	795	611	1126	528	228	679	652	147	575	759	1118	750	389	353	670	599	571	1040	1407	679	317	335	956	861	740	915	618	1444	590	1329	392	2048	713	NA	879	836	615	507
105	443	849	813	1400	1929	967	1567	1562	793	526	1269	712	1012	773	1439	710	289	863	809	202	750	949	1400	974	481	435	842	797	709	1361	1845	958	402	459	1198	1080	1030	1142	779	1765	819	1684	536	2401	964	NA	1139	1093	809	679
