0	1	1	1	1	1	1	1	1	1	1
5	2	1	1	1	1	1	2	1	2	1
10	5	3	8	5	10	9	8	11	12	4
15	18	15	14	12	17	25	19	17	23	6
20	40	31	29	29	32	52	45	26	34	6
25	85	53	64	41	71	90	99	58	74	12
30	185	83	137	69	152	210	176	114	153	32
35	336	166	237	126	304	406	368	243	302	77
40	631	378	448	237	691	719	702	441	591	164
45	1083	685	772	421	1246	1299	1164	853	1119	335
50	1765	1235	1422	875	2054	2087	1892	1371	1795	623
55	2606	1940	2376	1426	2905	2763	2681	2157	2659	1155
60	3084	2767	3142	2270	3322	3314	3254	2861	3232	1847
65	2937	3074	3278	3019	2701	2661	2873	3248	2998	2674
70	1802	2696	2336	3230	1467	1375	1760	2499	1831	3186
75	821	1609	1056	2434	500	419	591	1173	640	3000
80	243	539	282	1204	87	80	108	336	131	1859
85	48	117	32	388	19	10	14	73	22	710
90	2	8	2	84	1	1	2	4	6	134
95	1	2	0	8	NA	NA	NA	1	NA	11
100	NA	NA	NA	1	NA	NA	NA	NA	NA	1
