0	1	1	1	1	1	1	1	1	1	1
5	1	2	1	1	1	1	3	2	1	3
10	6	3	4	4	3	1	5	3	1	3
15	5	2	6	3	5	3	4	2	2	4
20	7	3	6	7	5	5	2	5	1	7
25	7	6	8	13	7	5	2	9	1	9
30	6	4	5	16	11	5	2	14	1	14
35	5	7	8	14	10	7	5	13	1	13
40	9	7	9	23	14	10	4	16	2	16
45	13	7	9	28	21	12	6	22	3	26
50	13	7	9	37	18	14	11	32	5	20
55	16	12	15	44	26	13	7	39	5	36
60	14	12	13	31	33	18	6	49	9	51
65	15	18	17	34	33	20	8	51	6	51
70	28	16	18	45	42	22	9	58	7	75
75	32	21	21	55	46	23	7	51	9	70
80	40	16	23	68	58	34	9	65	13	78
85	49	20	23	73	65	32	10	76	16	99
90	48	30	26	94	61	31	9	74	11	111
95	65	31	26	89	83	38	16	104	18	101
100	78	40	38	86	96	46	12	113	26	124
105	86	36	40	93	97	50	21	131	28	133
110	99	39	49	124	103	62	22	156	35	156
115	125	48	51	134	111	65	26	192	37	168
120	141	46	72	147	135	76	26	196	39	195
125	143	57	94	165	132	83	31	250	33	231
130	146	71	96	177	157	87	36	277	38	250
135	182	76	103	194	160	110	35	329	37	286
140	191	97	125	236	181	117	42	341	38	298
145	222	108	145	236	227	140	51	366	51	328
150	232	138	170	285	251	147	44	410	68	359
155	236	176	180	298	272	169	58	432	78	389
160	272	169	192	334	280	185	61	511	83	439
165	296	206	208	373	309	193	80	560	92	485
170	309	220	211	423	341	239	84	605	109	512
175	384	265	222	486	354	266	115	650	129	559
180	422	290	238	538	395	298	111	697	161	631
185	452	360	249	583	444	331	141	754	183	693
190	528	393	274	657	485	387	175	852	188	765
195	610	412	320	722	517	481	206	929	211	827
200	672	485	358	784	591	572	249	1040	210	899
205	727	564	378	899	622	630	266	1063	230	951
210	768	617	397	932	672	676	326	1102	267	1004
215	821	676	443	1034	695	779	382	1165	287	1030
220	856	746	492	1076	789	801	404	1151	309	1106
225	924	908	528	1168	781	816	492	1273	366	1162
230	1001	944	621	1211	867	822	527	1323	400	1174
235	1072	1044	645	1190	942	909	617	1358	426	1148
240	1157	1084	706	1225	1020	970	588	1329	496	1252
245	1195	1134	783	1205	1024	1002	687	1344	539	1227
250	1280	1183	794	1224	1065	1057	764	1288	578	1209
255	1270	1243	864	1207	1094	1118	780	1288	680	1210
260	1293	1292	880	1189	1087	1126	868	1228	698	1151
265	1277	1299	921	1123	1094	1147	942	1162	781	1163
270	1322	1320	952	1086	1125	1189	1005	1104	857	1142
275	1255	1326	1009	1080	1145	1167	971	1026	899	1033
280	1227	1313	1044	1039	1151	1192	1083	925	953	932
285	1164	1313	1089	1009	1126	1189	1051	783	1044	860
290	1090	1273	1117	929	1117	1187	1133	696	1073	779
295	996	1173	1108	848	1117	1143	1169	637	1158	683
300	907	1096	1105	723	1028	1081	1190	521	1188	620
305	813	988	1114	681	956	1014	1274	426	1245	587
310	724	951	1075	611	905	944	1232	343	1251	516
315	646	902	1031	537	841	885	1242	291	1290	417
320	600	840	978	496	714	816	1193	267	1244	368
325	555	783	936	439	645	703	1200	228	1179	360
330	474	669	876	373	557	647	1168	196	1093	317
335	422	551	835	348	508	555	1122	182	1050	277
340	377	542	766	321	435	519	1076	155	1000	241
345	339	497	728	256	384	459	1007	124	960	188
350	287	390	706	214	365	387	938	108	911	177
355	261	313	653	168	324	373	841	99	893	144
360	233	275	578	158	286	318	772	92	813	155
365	191	258	496	146	249	296	715	71	773	132
370	159	198	474	101	220	277	603	67	696	115
375	146	165	457	92	200	229	546	48	639	94
380	126	159	365	79	183	187	512	28	587	89
