#x	numberCluster
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	2
13	2
14	1
15	2
16	3
17	2
18	3
19	3
20	5
21	3
22	3
23	3
24	3
25	3
26	4
27	4
28	4
29	7
30	6
31	6
32	7
33	8
34	8
35	10
36	10
37	14
38	17
39	21
40	20
41	16
42	16
43	19
44	20
45	25
46	25
47	23
48	23
49	26
50	31
51	34
52	42
53	43
54	47
55	49
56	56
57	59
58	71
59	68
60	67
61	70
62	73
63	89
64	90
65	97
66	108
67	117
68	122
69	127
70	139
71	142
72	169
73	184
74	181
75	186
76	182
77	215
78	246
79	280
80	297
81	305
82	330
83	323
84	346
85	381
86	395
87	389
88	421
89	446
90	452
91	495
92	501
93	525
94	544
95	542
96	525
97	554
98	591
99	581
100	614
101	623
102	627
103	672
104	709
105	707
106	757
107	773
108	777
109	814
110	871
111	851
112	887
113	976
114	1015
115	997
116	1030
117	1064
118	1084
119	1034
120	1027
121	1061
122	1069
123	1037
124	1029
125	1039
126	991
127	951
128	859
129	781
130	751
131	694
132	663
133	582
134	523
135	468
136	408
137	355
138	305
139	251
140	196
141	163
142	118
143	93
144	70
145	52
146	43
147	34
148	31
149	21
150	23
151	18
152	8
153	3
154	4
155	4
156	3
157	1
158	1
159	0
