0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10	1	6	2	4	3	3	NA	2	5	4	6	1	2	4	4	10	3	4	5	4
20	2	10	17	6	6	4	NA	6	8	12	7	10	2	11	7	14	15	5	11	3
30	7	14	35	9	19	19	NA	10	20	18	14	15	4	17	15	41	32	22	17	8
40	17	47	73	27	59	26	NA	17	32	35	25	28	7	29	34	87	38	52	19	19
50	22	102	144	37	98	46	NA	32	49	54	40	51	10	65	62	153	65	81	29	39
60	41	141	246	69	188	74	NA	52	85	114	56	107	18	102	112	248	98	170	51	60
70	69	210	381	136	357	106	NA	98	155	243	104	181	35	165	172	414	175	257	82	76
80	118	363	595	245	617	176	NA	165	264	354	169	354	37	330	287	799	269	495	154	144
90	222	671	1046	440	1005	322	NA	267	511	652	269	582	56	589	458	1343	500	900	241	234
100	414	1067	1654	758	1626	630	NA	494	923	1021	496	1007	111	961	839	2075	817	1532	399	390
110	693	1604	2363	1305	2494	1098	NA	798	1483	1656	869	1610	225	1637	1341	2780	1315	2359	722	709
120	1164	2335	3122	2105	3216	1703	NA	1444	2325	2543	1512	2332	422	2471	1953	3407	2096	3290	1165	1230
130	1712	3037	3517	3021	3499	2430	NA	2255	3175	3275	2330	3109	708	3255	2779	3399	2958	3677	1841	2000
140	2592	3474	3096	3563	3039	3341	NA	3252	3591	3552	3091	3499	1242	3504	3487	2621	3575	3296	2591	2738
150	3287	3171	2093	3419	2037	3634	NA	3615	3367	3040	3438	3120	1985	3114	3494	1647	3468	2242	3366	3341
160	3556	2197	1051	2627	1068	3077	NA	3336	2457	2007	3248	2147	2960	2125	2715	781	2466	1137	3559	3390
170	2922	1108	453	1588	427	1872	NA	2362	1207	981	2410	1253	3557	1063	1589	321	1318	546	2961	2817
180	1890	424	160	648	190	951	NA	1296	469	387	1262	513	3415	413	671	110	589	231	1900	1774
190	851	113	55	203	70	358	NA	570	168	125	513	173	2727	160	257	41	209	68	884	825
200	350	35	14	77	19	106	NA	151	60	27	189	85	1602	50	81	14	50	24	320	309
210	133	8	2	22	6	23	NA	45	19	3	54	44	696	14	25	4	20	NA	83	80
220	44	2	1	5	4	9	NA	26	5	NA	13	15	251	7	4	2	4	NA	18	25
230	18	NA	1	NA	NA	NA	NA	6	NA	NA	1	18	101	0	4	NA	NA	NA	2	7
240	4	NA	1	NA	NA	NA	NA	2	NA	NA	NA	9	20	NA	2	NA	NA	NA	NA	3
250	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	7	NA	NA	NA	NA	NA	NA	NA
260	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA
270	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA
280	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
