0	1	1	1	1	1	1	1	1	1	1
5	2	2	1	1	1	1	2	2	2	3
10	3	5	5	6	4	3	4	2	7	4
15	6	5	12	8	8	8	6	7	6	9
20	4	9	14	14	13	8	17	10	7	15
25	6	15	32	36	17	11	20	11	16	25
30	17	24	32	35	25	13	29	33	18	25
35	18	46	55	53	40	37	53	47	36	48
40	23	81	91	91	61	54	66	77	57	60
45	42	144	128	131	107	78	111	109	84	87
50	60	206	193	230	145	112	168	183	138	186
55	87	338	307	318	241	159	250	261	191	264
60	103	504	445	437	338	278	382	415	344	376
65	181	726	704	626	558	353	532	597	512	605
70	250	1051	1007	944	826	537	816	879	796	879
75	375	1509	1375	1347	1151	790	1210	1205	1048	1186
80	563	1873	1872	1751	1603	1151	1612	1664	1488	1691
85	813	2499	2337	2285	2116	1613	2220	2289	1909	2265
90	1115	2950	2843	2851	2513	2117	2728	2833	2386	2587
95	1579	3080	3030	3151	3002	2715	3053	3242	2827	2977
100	2110	3051	3066	3162	3237	3007	3185	3256	3181	3140
105	2581	2663	2822	2846	2972	3217	2899	2930	2982	2950
110	3061	1981	2120	2294	2592	3053	2410	2265	2601	2341
115	3142	1284	1467	1470	1860	2433	1675	1451	1930	1644
120	2924	706	819	761	1150	1723	980	741	1221	1023
125	2483	270	397	329	531	979	520	270	622	477
130	1749	119	170	110	194	510	186	87	245	183
135	1130	45	52	41	52	198	58	19	91	61
140	577	11	14	11	6	57	9	7	14	12
145	304	NA	0	1	1	17	NA	2	5	3
150	76	NA	NA	NA	NA	3	NA	0	0	NA
155	32	NA	NA	NA	NA	NA	NA	NA	NA	NA
160	5	NA	NA	NA	NA	NA	NA	NA	NA	NA
